	287ADJQ	174ALBQ	004AWZY	388ADHL	206AZFD	243AHZH	083AYGC	351AZDY	358AWXC	347APZL	227AZMH	361ATLX	379ALJJ	215ATKH	331ALDY	325ALRY	C002HHP	C009HHR	C010WL	C013MJH	C014LWG	C018LJP	C022SMR	C024XHR	322VCHL	362VLBJ	040VYDY	348VYQM	392VWLL	235VDBJ	388VDHL	367VWSY	031VPYH	357VLTS	363VLH	220VDXP	173VHJW	155VCHJ	390VNFD	195VXXY	373VHXR	361VTLX	364VCZ	325VLRY	086VHMX	331VLDY	366VZMY	309VHJD	002VWWX	358VWXC	004VWZY	047VLRL	359VYSH	342VCSL	347VPZL	243VHZH	370VLZW	393VZLH	083VYGC	199VOZQ	350VLYY	180VHMQ	314VLLY	178VYDM	174VLBQ	317VYL	316VYJH	211VLT	027VYMX	006VHQK	287VDJQ	275VLSX	250VSJJ	136VZXQ	063VWZB	038VLWS	349VZNL	188VZJH	206VZFD	338VHJY	190VFYK	153VWG	395VGSQ	253VXXJ	372VJHK	379VLJJ	371VTYJ	319VLY	149VYYD	214VGWJ	351VZDY	227VZMH	021VLSF	139VLTW	254VLXR	215VTKH	354VPYM	353VGSZ	230VLSH
MEdeepskyblue4	-0.112539487	-0.005979525	-0.015827768	-0.029471406	0.043054241	-0.004371453	-0.00343726	0.019408534	0.079845608	-0.020546129	0.04352078	0.052083272	0.046875122	0.080744682	0.018596148	0.063471755	-0.231834229	-0.424779445	-0.217980089	-0.294967012	-0.231534788	-0.158781442	-0.282659763	-0.339440973	0.061776726	-0.115725006	0.024767877	-0.061344519	0.059802031	-0.004721645	0.010646214	-0.001728465	0.097827345	-0.037780413	-0.023845242	-0.060963207	0.072121555	0.025880305	-0.089549545	0.016096584	0.012710694	-0.013408453	0.000585924	-0.040364304	0.05499021	-0.07218979	0.088009838	0.02932249	0.054985473	0.066236429	0.081804254	0.064010252	-0.024492248	0.113128671	0.018761903	0.057713347	0.017469779	0.037229804	0.038041367	0.029474554	-0.003832417	-0.090260146	0.010468721	0.003348373	0.057800859	-0.082149252	0.059163222	-0.006816804	0.113019359	-0.026976356	0.035894457	0.015787796	0.01335258	0.090478566	0.179089086	-0.06997702	-0.002236574	0.025906978	0.033759076	0.092506637	-0.001044589	0.163977135	-0.00926458	0.081316282	-0.003253865	0.018146241	-0.005781462	0.069130842	0.012521706	0.062251262	0.081777088	0.029916592	0.033430188	-0.048692655	0.205354811	0.104788606	0.053297266	0.037680206	0.005391623
MElightslateblue	0.071787675	-0.060611616	0.055827771	0.034614004	0.075056295	-0.055955854	0.103303569	0.000657992	0.042779394	-0.020789157	-0.068005041	-0.054522515	-0.037000183	0.036558717	-0.061776663	0.177816872	0.085596252	-0.057693817	-0.1168295	-0.043775784	-0.053254996	0.045843952	0.006958342	0.007003136	-0.149500017	-0.073993289	-0.085532818	-0.121575528	-0.084622737	-0.041930901	-0.121695859	-0.151220665	0.02073169	-0.144813263	-0.098765029	-0.128587063	-0.077437103	-0.059603437	-0.137077536	-0.096280681	-0.034145219	-0.121248516	-0.132481673	-0.128057037	0.044412915	-0.161961576	-0.025455751	0.009383635	0.0618805	0.020276959	-0.038902409	-0.152357269	-0.066337548	0.042883278	-0.015135388	-0.016936495	-0.096783992	0.033194151	0.088721077	-0.067905288	-0.083887326	-0.097750339	-0.101848945	-0.089298737	-0.075601074	-0.053763054	-0.038113081	-0.081217584	0.123574398	-0.164372981	0.107167973	0.056438732	-0.082528009	0.027389037	0.143827195	0.17270959	0.025600071	0.122960622	0.060744475	0.123877227	0.100813294	0.050229842	0.206141276	0.07201901	-0.018479741	0.082396011	-0.034662209	0.169118051	-0.0760776	0.162398437	0.183282997	0.075484391	0.116134879	0.240526128	0.223320193	0.176470274	0.105884216	0.142556782	0.121806616
MEchocolate4	0.009098462	-0.074334773	-0.029089513	-0.065314728	0.0329618	-0.058444873	0.023964531	-0.017492819	0.023249023	0.06019916	-0.033658842	-0.052199501	0.016890382	-0.041375922	-0.070993439	0.142078333	0.152370688	-0.246307711	-0.266367345	-0.149908215	-0.17709164	-0.115396007	-0.120500316	-0.151991756	-0.12737977	-0.072216942	-0.061623155	-0.080811142	0.003752385	-0.109948865	-0.068454774	-0.110488667	0.019980624	-0.077198263	-0.076594619	-0.086969301	-0.063587739	-0.081463959	-0.118254329	-0.051826304	-0.032688725	-0.080177661	-0.038937643	-0.071175821	0.087559097	-0.136979955	-0.063208792	-0.02335976	0.114527868	-0.069467347	-0.07496187	-0.107373457	0.063241936	0.060654662	-0.065901751	-0.027553879	-0.03586745	0.039472749	0.106159666	-0.069103032	-0.026321868	0.028583431	-0.042876811	-0.040432077	-0.063562166	-0.021525201	-0.068270588	0.000324592	0.109345112	0.003338517	0.137660349	0.045627573	0.007081081	0.014482714	0.124303025	0.176599752	-0.018037648	0.102837	0.027034846	0.073486071	-0.008346667	0.108179073	0.161576565	0.078265949	0.0817595	0.087633432	0.023401119	0.088546724	0.029156645	0.164510858	0.166652438	0.075399362	0.05766838	0.279891954	0.216852102	0.190809463	0.092461342	0.147312977	0.186472084
MEgreen4	0.002107698	-0.06466722	0.034022768	0.007269133	0.108577191	-0.036204878	0.115175779	0.049245888	0.066364419	0.054179884	-0.012120651	-0.045116438	0.031954462	0.036707408	-0.060275706	0.144898366	0.045737783	-0.154737823	-0.249712117	-0.14518615	-0.194402205	-0.162475937	-0.219739959	-0.177368869	-0.131446865	-0.121994179	-0.109197069	-0.147180766	-0.072592908	-0.099323223	-0.106440332	-0.122488654	-8.43E-05	-0.118329696	-0.133163848	-0.141046291	-0.07138769	-0.091063797	-0.135849036	-0.058461817	-0.018411201	-0.113962942	-0.076839031	-0.114744708	0.092308336	-0.127714576	0.012371646	0.024768173	0.070988064	0.01674683	-0.01798774	-0.070510931	0.012251204	0.046530286	0.005624059	0.022122539	-0.043788249	0.071273581	0.137763578	-0.03054848	-0.001234643	-0.006420211	-0.068781317	-0.001822983	-0.047660093	-0.059194723	-0.022976655	-0.028825708	0.084520851	-0.065602111	0.09992621	0.087181024	-0.028685948	0.045882061	0.108781326	0.134198682	0.044107546	0.155132853	0.068003253	0.093315931	0.097174544	0.054408131	0.1140343	0.048051732	0.041097792	0.112395818	0.013444578	0.149809966	0.016917103	0.132239348	0.134284176	0.122783332	0.062429304	0.246668669	0.176736575	0.122152295	0.078244001	0.133734135	0.141126086
MEbisque1	0.082899593	0.080150086	0.119469574	-0.023282588	0.056953741	0.036965574	0.118262625	0.023339544	0.058036681	0.069380587	-0.086154643	0.03097168	0.005515531	0.110893084	0.045936325	0.061829291	-0.213431341	-0.139367097	-0.384338826	-0.28857331	-0.267024836	-0.109930257	-0.241278164	-0.261437627	-0.0668575	0.028446539	0.008120517	0.012989278	0.054474773	-0.298034665	-0.05364446	-0.00375429	-0.071337858	-0.008038184	-0.031409056	-0.031345424	-0.009190656	-0.03036973	-0.033669194	-0.03468334	0.035775854	-0.011672208	-0.070238776	-0.021981289	0.073380449	-0.103635811	0.044878223	0.134480185	0.034569247	0.053580175	0.052105962	-0.071557295	0.00760044	0.047116001	0.079681999	0.025979105	-0.052741856	0.095355536	0.088235661	0.067678193	-0.022401324	-0.061743765	0.026443657	0.036470666	-0.006319124	-0.039327332	0.016884957	-0.040572405	0.127087277	-0.022211259	0.163711005	0.016158489	0.082555791	0.099687821	0.135640129	0.014101369	0.070569372	0.097321392	-0.042796129	0.059436097	-0.011631523	0.007024008	0.023650616	0.051040647	-0.058325666	-0.065912058	-0.026033679	-0.043204193	-0.035330772	0.069519366	0.113130367	-0.037453658	-0.014805375	0.09366281	0.039331654	0.19739585	0.109802696	0.086116292	-0.034745839
MEmaroon	-0.022130203	0.049454088	-0.007077511	0.079260555	0.0419725	-0.031064907	0.091029039	-0.016459307	0.074634456	0.022690019	-0.035295156	-0.052905326	-0.002802183	-0.027077728	0.001583091	0.198867307	-0.052254665	-0.254433204	-0.235301716	-0.190056145	-0.251465101	-0.27509009	-0.268362236	-0.23613044	-0.012426095	-0.021338987	-0.0421456	-0.005532316	-0.149163882	-0.08910036	-0.011964458	-0.005055729	-0.227362379	-0.032405921	-0.082393121	0.014392043	0.044830631	-0.03811672	-0.05270756	0.004020992	-0.058500583	-0.017069023	0.000571982	-0.014424346	0.011456274	-0.027120333	0.061007999	0.008958078	0.060055296	0.023407293	0.018631883	-0.006069949	-0.055799577	0.013810216	-0.000782936	0.01400576	0.044247737	0.04296932	0.066879854	0.016526517	0.056148116	-0.038532596	-0.089982024	-0.010478506	0.01664585	-0.163172291	-0.063370446	-0.068579654	-0.016172435	-0.12341225	0.021969142	0.116285734	0.040558391	0.066112583	-0.072375031	0.026563086	0.004393953	0.182981586	0.095288931	0.072299375	0.118968169	-0.026870933	0.144283822	0.048908665	0.107860135	0.102977386	0.089494885	0.147208076	-0.028392429	0.127150009	0.106779206	0.147457076	0.111584343	0.215152698	0.144573989	0.062874168	0.065007592	0.069261803	0.094672691
MEfirebrick4	0.132756446	0.010329799	0.032049192	0.02503981	-0.003281693	0.043573953	0.098042175	0.016619711	-0.010343397	0.04175965	-0.002686777	-0.05361661	0.099997152	0.038364558	-0.021437165	0.166908921	-0.04410629	-0.249149895	-0.396288461	-0.316898267	-0.177101443	-0.245829517	-0.221646817	-0.238617799	0.0235326	0.077733778	0.025798304	0.029026807	-0.041416273	-0.293542431	-0.001241276	0.044798519	-0.151984084	0.001985613	0.060988892	-0.008111043	-0.019015335	0.050095862	-0.005897643	0.036271246	-0.038218072	0.009136433	0.0009089	0.048593046	0.005082125	-0.020741781	-0.021068147	0.096504708	-0.000986206	-0.040417291	-0.044891059	-0.075243735	0.004450626	-0.048705295	-0.048439502	0.066252569	0.018122222	0.07395288	0.05678459	0.037307936	-0.090222906	-0.047325821	-0.03693682	0.100665904	0.015707638	-0.102555078	-0.088136745	-0.05247883	0.053918074	-0.003161369	0.119745416	0.038908484	0.038100207	-0.025895698	0.023314721	0.08398965	0.021267221	0.09733777	-0.043126304	0.067556819	0.004903119	-0.022682251	0.039901672	0.022394816	0.010278781	0.045264405	0.015048588	0.017821212	0.019238998	0.111260236	0.111349928	0.084050525	0.04144425	0.215078452	0.150234669	0.114743002	0.103628354	0.000101905	0.113421282
MElightcoral	0.137809529	0.001742957	0.065529177	-0.014389686	0.083700959	0.048716125	0.109257208	0.011382568	0.03683427	0.094354435	0.045899585	-0.006128873	0.083016606	0.090732439	-0.013005773	0.140496199	-0.079369752	-0.208347947	-0.308725718	-0.217984962	-0.315710555	-0.296609526	-0.214964979	-0.319437843	-0.023646763	0.023659009	-0.032885395	0.01172733	-0.071826672	-0.242073856	-0.030700134	0.017523209	-0.088875908	-0.019209471	-0.019333555	-0.018534941	0.017184231	0.036693511	-0.02595236	0.008019464	0.009770128	-0.028282609	-0.032377357	-0.010324694	0.045592961	-0.056652119	0.061594353	0.074953941	-0.003625262	-0.021800611	-0.0266121	-0.051130608	0.026063685	0.029635551	0.013485132	0.064071703	0.029261836	0.087698152	0.092262057	-0.008987615	0.017380722	-0.100199476	-0.058418513	0.034566788	0.000260897	-0.145030037	-0.078365482	-0.097258858	0.065078881	-0.11057702	0.075497862	0.088558152	0.053115704	0.01518725	0.085299798	0.028588701	0.017591376	0.072441471	0.014569006	0.025184608	-0.014704133	-0.015825543	0.132327578	0.015817326	0.007835049	0.07152063	0.021527034	0.073214537	-0.027906271	0.077096769	0.076554457	0.147302163	-0.020020813	0.212262591	0.151615129	0.127181301	0.061123227	0.058961655	0.049484815
MEmediumpurple1	0.164580081	-0.000645808	0.074194437	0.011066793	0.094193574	0.030623681	0.075047414	0.017699764	-0.00265419	0.058040709	0.063212322	-0.100212312	0.050281079	0.028970309	-0.087640295	0.178430172	-0.013982309	-0.170699061	-0.240387347	-0.212122503	-0.198943343	-0.153225532	-0.189296114	-0.267928555	-0.090852818	0.00902537	-0.016923462	-0.063944209	-0.029178482	-0.152247795	-0.116877655	-0.089749591	-0.030586702	-0.086254983	-0.034028226	-0.094412035	-0.057538372	0.02119233	-0.05475817	-0.032673979	-0.055702687	-0.051946135	-0.081590827	-0.037708759	0.031741959	-0.062995535	-0.012601451	0.032644556	-0.057882863	-0.053048386	-0.078013314	-0.097604147	-0.013807834	-0.006997599	-0.044421525	0.066026758	-0.052421762	0.084404752	0.044698378	-0.0502472	-0.076071375	-0.07340565	-0.036640253	-0.009098608	-0.026466142	-0.092492036	-0.096486226	-0.10239437	0.090676019	-0.090235706	0.087290122	0.092241194	0.000819422	0.042179993	0.131622368	0.022266892	0.066610257	0.154218099	0.039864816	0.102546551	0.032659235	0.011086785	0.180858259	0.047423672	-0.027785945	0.097304248	0.048477506	0.134194688	-0.030146662	0.116197946	0.196618178	0.124908097	0.089760285	0.201723519	0.217107463	0.148797936	0.126464992	0.164656671	0.101327194
MEtomato2	0.183064861	0.023778752	0.053778725	0.060152595	0.075099839	0.038571899	0.104417033	0.057742052	-0.00311982	0.08598634	0.021820213	-0.069137462	0.06375044	0.027430351	-0.062915841	0.170679108	-0.183190683	-0.179568009	-0.255724683	-0.273778339	-0.229535758	-0.177239788	-0.248251063	-0.200307379	-0.059350714	0.087770597	0.036498884	-0.01120539	0.026856613	-0.124134559	-0.041554987	-0.056018867	-0.187044819	0.035902145	0.027251744	-0.08837727	-0.036063557	0.019266939	-0.005859931	0.012298319	0.050412239	-0.032642424	-0.037737786	0.021014093	0.068834646	-0.02525179	0.037150948	0.089045374	-0.078176737	-0.093770073	-0.051922335	-0.094301266	0.012024267	-0.090326789	-0.033345488	0.0909986	-0.047658469	0.10390207	0.026820142	0.058318134	-0.033815952	-0.096354536	-0.001230145	0.045165194	-0.060457506	-0.220383505	-0.07256212	-0.055482776	0.089423357	-0.087932127	0.095204092	0.089311539	0.045102309	0.025342508	0.062933676	-0.039204189	0.033034052	0.144888728	0.010339231	0.049670466	-0.007029742	-0.062806105	0.152519986	-0.034014161	-0.06459011	0.066165138	0.050387066	0.099760488	-0.043849352	0.06135296	0.142605814	0.13372865	0.083845477	0.158284265	0.168220025	0.103842553	0.128847246	0.112441456	0.034170161
