Metabolites	Module	Class
C09335	royalblue	Alkaloids
C12337	chartreuse3	Alkaloids
C06544	lavenderblush3	Alkaloids
C10815	rosybrown1	Alkaloids
C10816	snow2	Alkaloids
C10817	mediumpurple1	Alkaloids
C10819	dodgerblue1	Alkaloids
C10824	magenta2	Alkaloids
C10828	paleturquoise	Alkaloids
C10829	tan4	Alkaloids
C06091	lightsalmon4	Alkaloids
C08657	bisque1	Alkaloids
C08661	darkorchid1	Alkaloids
C08662	slateblue4	Alkaloids
C08669	whitesmoke	Alkaloids
C08674	honeydew1	Alkaloids
C08678	magenta2	Alkaloids
C08679	magenta2	Alkaloids
C08681	magenta2	Alkaloids
C08692	darkorange2	Alkaloids
C08697	lightblue1	Alkaloids
C08704	green4	Alkaloids
C08705	lightgreen	Alkaloids
C08707	cyan3	Alkaloids
C08715	magenta2	Alkaloids
C10610	lightsteelblue1	Alkaloids
C06185	mistyrose	Alkaloids
C10173	whitesmoke	Alkaloids
C10139	indianred	Alkaloids
C10157	dodgerblue1	Alkaloids
C10163	whitesmoke	Alkaloids
C10170	purple	Alkaloids
C04170	seashell2	Alkaloids
C09874	navajowhite2	Alkaloids
C10753	darkturquoise	Alkaloids
C10755	moccasin	Alkaloids
C10758	green	Alkaloids
C10773	lightyellow	Alkaloids
C13051	paleturquoise	Alkaloids
C10282	dodgerblue1	Alkaloids
C10286	whitesmoke	Alkaloids
C10301	tomato	Alkaloids
C10319	indianred2	Alkaloids
C10321	chartreuse2	Alkaloids
C10341	violetred3	Alkaloids
C10361	dodgerblue1	Alkaloids
C10378	indianred2	Alkaloids
C10380	chocolate3	Alkaloids
C10391	tan3	Alkaloids
C10409	dodgerblue1	Alkaloids
C10848	indianred3	Alkaloids
C10860	purple	Alkaloids
C10861	indianred3	Alkaloids
C10644	darkorchid3	Alkaloids
C10645	lightsteelblue1	Alkaloids
C10685	purple2	Alkaloids
C01091	bisque1	Alkaloids
C01626	dodgerblue1	Alkaloids
C02673	lightblue4	Alkaloids
C07544	coral1	Alkaloids
C09084	indianred4	Alkaloids
C09129	mistyrose2	Alkaloids
C09144	orange4	Alkaloids
C09160	dodgerblue1	Alkaloids
C09162	darkorange2	Alkaloids
C09203	mistyrose	Alkaloids
C09218	deeppink1	Alkaloids
C09240	lightsteelblue1	Alkaloids
C11676	lightyellow2	Alkaloids
C11784	skyblue4	Alkaloids
C16724	lightgreen	Alkaloids
C09170	royalblue	Alkaloids
C10639	coral1	Alkaloids
C10742	whitesmoke	Alkaloids
C01897	whitesmoke	Alkaloids
C09032	lightblue2	Alkaloids
C10652	magenta2	Alkaloids
C10655	tan3	Alkaloids
C10670	whitesmoke	Alkaloids
C10686	chartreuse4	Alkaloids
C10691	orange4	Alkaloids
C10694	bisque4	Alkaloids
C10711	royalblue	Alkaloids
C10735	indianred2	Alkaloids
C10736	plum4	Alkaloids
C05247	whitesmoke	Alkaloids
C05315	orange1	Alkaloids
C05316	lightpink4	Alkaloids
C05322	violetred4	Alkaloids
C08469	orange4	Alkaloids
C09248	skyblue	Alkaloids
C09325	olivedrab3	Alkaloids
C09334	chocolate2	Alkaloids
C09421	dodgerblue1	Alkaloids
C09461	rosybrown2	Alkaloids
C09464	lightsteelblue1	Alkaloids
C09546	skyblue	Alkaloids
C09553	lightpink4	Alkaloids
C09571	deeppink2	Alkaloids
C09597	olivedrab4	Alkaloids
C09612	tan4	Alkaloids
C09656	dodgerblue1	Alkaloids
C09659	hotpink1	Alkaloids
C09661	purple	Alkaloids
C11250	seashell4	Alkaloids
C11816	lightpink3	Alkaloids
C16708	dodgerblue1	Alkaloids
C16710	orangered1	Alkaloids
C16713	mistyrose	Alkaloids
C16714	dodgerblue1	Alkaloids
C19985	darkgreen	Alkaloids
C16352	darkseagreen2	Alkaloids
HMDB0034291	whitesmoke	Alkaloids
HMDB0033032	dodgerblue1	Alkaloids
HMDB0030391	mediumvioletred	Alkaloids
HMDB0039757	lightsteelblue1	Alkaloids
HMDB0029337	skyblue3	Alkaloids
HMDB0033097	red3	Alkaloids
HMDB0033522	indianred1	Alkaloids
HMDB0038584	whitesmoke	Alkaloids
