#SampleID	174LBQA	206ZFDA	287DJQA	388DHLA	LD200117-0003_L3_1000785	LD200117-0004_L3_1000786	LD200117-0005_L3_1000787	LD200117-0006_L3_1000734	LD200117-0007_L3_1000735	LD200117-0008_L3_1000736	LD200117-0009_L3_1000737	LD200117-0010_L3_1000738	LD200117-0011_L3_1000739	LD200117-0012_L3_1000740	LD200117-0013_L3_1000741	LD200117-0014_L3_1000742	LD200117-0015_L3_1001290	LD200117-0016_L3_1001359	LD200117-0017_L3_1001360	LD200117-0018_L3_1000753	LD200117-0019_L3_1000754	LD200117-0020_L3_1000755	LD200117-0021_L4_1000756	LD200117-0022_L4_1000757	LD200117-0023_L4_1000758	LD200117-0024_L4_1000759	LD200117-0025_L2_R1000760	LD200117-0026_L2_1000761	LD210301-0050_S20210312-0111_376VYKZ	LD210301-0051_S20210312-0112_377VHWH	LD210301-0052_S20210312-0113_086VHXM	LD210301-0053_S20210312-0114_R173VHJW	LD210301-0054_S20210312-0115_384VCZL	LD210301-0055_S20210312-0116_372VJHK	LD210301-0056_S20210312-0117_348VYQM	LD210301-0057_S20210312-0118_371VTYJ	LD210301-0058_S20210312-0119_367VWSY	LD210301-0059_S20210312-0120_002VWWX	LD210301-0060_S20210312-0121_031VPYH	LD210301-0061_S20210312-0122_357VLTS	LD210301-0062_S20210312-0123_342VCSL	LD210304-0033_S20210324-0146_036VXHM	LD210304-0034_S20210324-0147_358VWXC	LD210304-0035_S20210324-0148_347VPZL	LD210304-0036_S20210324-0149_047VLRL	LD210304-0037_S20210324-0152_350VLYY	LD210304-0038_S20210324-0153_180VHMQ	LD210304-0039_S20210324-0154_006VHQK	LD210304-0040_S20210324-0155_199VOZQ	LD210304-0041_S20210324-0156_235VDBJ	LD210304-0042_S20210324-0157_027VYMX	LD210307-0034_S20210324-0158_388VDHL	LD210307-0035_S20210324-0159_390VNFD	LD210307-0036_S20210324-0160_392VWLL	LD210307-0037_S20210324-0161_153VWG	LD210307-0038_S20210324-0162_393VZLH	LD210307-0039_S20210324-0163_040VYDY	LD210307-0040_S20210324-0164_309VHJD	LD210307-0041_S20210324-0165_395VGSQ	LD210307-0042_S20210324-0166_036AXHM	LD210307-0043_S20210324-0167_358AWXC	LD210307-0044_S20210324-0168_083VYGC	LD210307-0045_S20210324-0169_004VWZY	LD210307-0046_S20210324-0170_227VZMH	LD210307-0047_S20210324-0150_351VZDY	LD210307-0048_S20210324-0151_243VHZH	LD210309-0041_S20210324-0175_347APZL	LD210309-0042_S20210324-0176_083AYGC	LD210309-0043_S20210324-0177_004AWZY	LD210309-0044_S20210324-0178_R227AZMH	LD210309-0045_S20210324-0179_351AZDY	LD210309-0046_S20210324-0180_R243AHZH	LD210309-0047_S20210324-0181_331ALDY	LD210309-0048_S20210324-0182_R215ATKH	LD210309-0049_S20210324-0183_325ALRY	LD210309-0050_S20210324-0184_379ALJJ	LD210309-0051_S20210324-0185_361ATLX	LD210309-0052_S20210324-0186_C010WL	LD210309-0053_S20210324-0187_C013MJH	LD210309-0054_S20210324-0188_C024XHR	LD210309-0055_S20210324-0189_C018LJP	LD210309-0056_S20210324-0190_C017YYM	LD210309-0057_S20210324-0191_C020LBJ	LD210309-0058_S20210324-0192_C022SMR	LD210309-0059_S20210324-0193_C014LWG	LD210309-0060_S20210324-0194_C025PCY	LD210309-0061_S20210324-0195_C002HHP	LD210309-0062_S20210324-0196_C001CJB	LD210309-0063_S20210324-0197_C006LYH	LD210309-0064_S20210324-0198_C007XXZ	LD210309-0065_S20210324-0199_C008QLX	LD210309-0066_S20210324-0200_C009HHY	LD210309-0067_S20210324-0201_C003XYQ	LD210309-0068_S20210324-0202_C026CBR	LD210309-0069_S20210324-0203_C031CQS	LD210309-0070_S20210324-0204_C034LJ	LD210309-0071_S20210324-0205_331VLDY	LD210309-0072_S20210324-0206_215VTKH	LD210309-0073_S20210324-0207_325VLRY	LD210309-0074_S20210324-0208_379VLJJ	LD210309-0075_S20210324-0209_361VTLX	LD210309-0076_S20210324-0210_359VYSH	LD210309-0077_S20210324-0211_R195VXXY	LD210309-0078_S20210324-0212_155VCHJ	LD210309-0079_S20210324-0213_353VGSZ	LD210309-0080_S20210324-0214_R149VYYD	LD210309-0081_S20210324-0215_322VCHL	LD210309-0082_S20210324-0216_230VLSH	LD210309-0083_S20210324-0217_370VLZW	LD210309-0084_S20210324-0218_373VHXR	LD210309-0085_S20210324-0219_110VZSZ	LD210309-0086_S20210324-0220_189VXZJ	LD210309-0087_S20210324-0221_220VDXP	LD210309-0088_S20210324-0222_362VLBJ	LD210310-0025_S20210324-0171_354VPYM	LD210310-0026_S20210324-0172_363VLH	LD210310-0027_S20210324-0173_364VCZ	LD210310-0028_S20210324-0174_366VZMY
K00404	2.002163	1.44686	0.362319	0	4.376655	0	3.48107	7.665098	2.04094	0.342679	7.583261	4.102554	0.582846	0.427895	4.01242	3.62378	16.354822	6.6380198	0.3542397	2.575575	1.827764	20.289275	10.897076	5.642056	10.898934	6.6519624	10.2008	13.5784833	21.506738	14.700703	0	0.290448	3.337384	9.181588	6.40351	8.803226	9.91423	0.8929538	3.4923863	6.021775	9.2682446	0.233645	0.910619	4.61014	4.3067104	0	23.202384	19.252196	4.65252	4.683262	1.901363	7.09552	5.36257	5.500842	13.2661937	2.03899	5.492742	0.5132402	10.7555921	0.575892	0.5437164	2.4267887	3.96296	2.177573	7.6545403	0.116822	0.290448	0.830419	0	6.251449	7.5812845	0.538941	3.831711	8.9826172	3.943956	6.031216	2.147542	4.756626	7.9325993	4.10444	15.201187	19.804956	25.87937	15.912831	29.079501	15.071278	14.3208177	21.478263	16.605402	8.678998	5.415306	24.4594318	23.538537	7.552541	6.544524	6.6217205	6.08187	5.51096	5.393872	7.1312474	2.29814	10.6951635	0	2.91813	5.104854	19.376761	5.39099	1.76341	4.103306	5.2452415	0.2331	0.429185	1.32471	0.192368	1.983927	0.5315871	2.466649	2.45614
K08363	0	0.536585	0	0	11.677382	0.911286	34.230091	6.720314	0	0	7.25821	29.942991	0	0.99061	0	0	6.026962	1.05195	1.559322	1.258216	0	4.966307	11.901415	0	8.241271	8.49765	23.282413	2.411199	4.168615	0.763713	0	0	0	0	0	6.369504	0	0	1.934268	0	3.481419	0.704225	0	0	22.491705	7.170536	0	0.938967	0.6193148	0.704225	20.441298	0	0	0	2.015361	0	1.2987	0	0.181637	0	0.676056	2.35082	0	0	0	15.062501	19.154938	0	13.62441	0	0.713615	21.26763	0	3.737113	0.796296	0.699531	47.79343	4.876832	3.278347	1.093897	7.946396	8.693282	12.730219	5.06188	7.269209	9.274265	5.841019	4.236265	15.231186	7.884428	6.313439	7.531693	9.733553	1.10972	2.464624	6.054656	0	0.704225	0	0	0.285429	2.659441	7.56808	0	0	5.025612	0	0	0	0	4.471203	0	44.81374	12.7324	19.25826	1.014084	0.615023	0
K03632	0.0697837	0.0101266	3.923823	0.8372094	8.5277536	15.192784	40.3023351	5.2179639	0.3301481	1.4990044	4.3357938	29.1429463	0.2212618	9.8820453	0.5576295	18.2028917	7.7227372	0.4845473	2.2996229	3.979778	0.4509946	3.2142096	15.0467437	0	3.6890304	15.9220771	30.2557614	0.6352211	5.2582315	2.889367	0.0343407	0	0.0686813	1.2302759	0	0.8669164	27.3579	0.206044	0.8540998	0.0343407	1.0751511	0.0684463	0.2408582	0.0793651	14.4885912	12.5913701	0.0545852	1.2845833	1.0067031	1.1131172	37.5450653	0	0	0	2.0718746	14.7497124	0.4565179	0.4418106	0.302829	0	0.3710562	4.3670317	0	0	0	10.607791	15.8997566	2.8338116	20.52509	1.2737243	1.0489814	27.374359	11.0770813	0.5696444	23.44327	0.2998746	76.54065868	7.4799814	4.2897317	2.3468119	12.2317959	8.591374	8.5579568	5.5723541	8.6278286	8.0168188	10.5232127	9.3708481	11.4379018	7.94825	6.6287691	11.7877001	8.452644	1.8873253	2.4809751	4.4533216	8.7284922	0.2393293	28.959617	0.8268137	1.4716871	1.4074712	15.1337063	0	0.0346021	3.1486767	0.4370316	1.6693622	0.0684463	0.4514959	1.4754937	0.0684463	41.508294	12.0949878	30.6511296	7.972161	0.6665037	0.0684463
K04057	0	0	0	1.111111	2.62222	0.417103	3.67356	1.61927	4.791534	0	7.991161	2.244091	4.921569	0.473934	5.8993594	3.789259	0	8.45448	0	0	0	3.121996	0.238095	16.46906	0	0	4.728181	5.682253	0	0	0	1.140263	2.717478	6.834525	9.253141	13.47428	4.173246	0	0	8.37499	0	0	0.238095	4.49679	11.4492	0	6.529385	6.773346	0	1.494493	0	6.99659	12.45912	6.366868	0.686173	4.652704	6.826529	0	0	0	0	0	4.611895	0	8.087299	0	0	0	0	0	7.765292	0.502564	1.726082	7.341356	5.523786	2.16984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.883917	8.740422	7.433976	1.59524	1.03002	5.957938	0	5.326921	4.38254	0	5.210866	0	0	5.123114	0	0	0	0	1.615497	0	0	2.024699
K01130	0.576348	0	0	1	3.403385	21.5609316	1	6.0252581	0.517732	0.284205	0.833333	0.8416667	0.322581	0.433839	25.5142449	6.77444	2.3491839	0.9289345	0.107527	5.89973	2.1986949	3.127719	4.555158	36.758879	3.990108	1.107527	18.94001	3.438182	10.241597	0.212903	0	0.858685	1.98333	0.261097	28.7122	1	33.72777	0.859498	2.300115	28.423707	16.8163697	0.501357	0	18.434	3.95	0.429391	3.224959	7.5242121	28.532624	1.68824	0.2798699	1	20.1605	2.085122	10.728818	13.804078	0.129199	0.950617	0.203584	0	0	0.155556	0.916667	6.54158	1.179211	0.389864	0.584146	0	0.246031	2.0768256	5.967323	7.734739	16.000233	5.206452	0.233645	2.36646538	0.5319034	8.4626986	9.042533	14.573712	5.8200459	2.3044007	0.5240994	5.1331152	2.616491	9.183279	7.172741	2.728665	1.303938	2.679008	5.937825	5.217951	0.5431174	6.23662	2.9400314	4.4950049	11.477311	2.35	5.030169	5.442809	4.223187	0.107527	0.177305	3.33333	1.95	0.858846	1.86667	0	0.80811	3.602269	0	0.225779	0	0.4066682	0	0	0	10.686574
K16711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.33574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01682	1.286931	0.344387	3.81454	8.78511	20.9552467	13.6629	14.5697916	11.2421226	14.5039448	0.342233	26.773171	8.4975848	5.5814157	11.9134034	21.649477	12.141225	32.2128752	25.4722669	4.0274189	8.0589719	3.3527882	27.8359604	19.595948	27.0085328	28.2421177	5.352896	17.490896	24.4492929	24.3218342	24.091939	0.0778194	5.471545	9.182255	24.8654927	26.8925176	22.8292817	22.1444864	0.4657531	10.729268	21.4922748	16.570512	1.7494609	33.5013145	15.2376324	21.408414	0.121951	39.0538388	30.0674782	27.6854465	4.7893322	2.9029913	20.5977751	21.8701064	20.0861882	42.280552	11.313588	25.457881	1.3378688	7.3768393	0.486389	22.3702112	2.8053717	13.465405	1.5328961	27.7936784	0.260647	0.331707	0.423127	0.3214914	14.8364928	26.8299854	7.2155634	25.3091002	26.4415154	17.0849945	12.5642624	3.3413269	7.7911483	6.905726	10.1999912	21.7918173	17.4957583	36.1780596	9.8594997	34.7340509	18.5474994	18.5928478	29.8666268	22.3239263	16.2054867	15.8559379	29.1303134	27.4932177	21.2625799	13.9260504	8.497043	28.7967189	30.864329	37.7920594	8.9114388	3.9781592	21.8141875	0.413173	11.946355	26.3299835	27.4264322	22.853684	3.0576905	1.865426	22.557567	0.507713	1.040565	0.885794	0.3158024	5.0327537	0.1613301	2.7299685	8.69797
K07260	0	0	0	0	0	0	0	2.318509	0	0	0	0	0.472574	0.152979	0	0	0.45629	0	0.468553	0	0.429224	3.4853558	10.735918	2.173737	3.191052	4.48693	0	1.682562	2.003161	1.965288	0	0.81982	1.26126	0.666667	0.949367	1.0274	0.675676	0	4.923103	0.666667	1.268257	0.255952	0	0.540541	0	0	1.04212	0.465266	0	0	0	0	0	0.757726	0	0	0	0	1.416077	0	0	0	0	0	0	0	0	0.211538	0	0	2.641215	0	0	0	0	2.171129	0	3.054659	1.195118	3.293222	1.643632	2.349486	1.025132	3.231238	0.951604	4.8735642	0.453453	5.386052	3.546814	5.5921795	1.680518	2.448664	1.912974	1.934579	1.778468	2.0472056	0	0	0	0.700935	0.14881	0	0	0	0	1.300411	0	0.983092	2.806243	0	1.88679	0	0.754052	0	0	0	0.297619	0
K21147	0	0	0	0	0	0	0	0	9.16391	0	0.143678	6.13318	6.14657	0.118203	22.8054	0	2.679498	21.5548	0.630137	0	0.236407	7.94572	0.592593	0	1.153277	0	0.235619	13.693356	0	0	0	0	0	0.273843	0	26.398	24.12216	0	0	27.900725	0	0	0	13.383	15.4641	0	0.118203	18.5737	0	0.643026	0.70922	0	0.353822	21.1552	0	0	0	0	0	0	0.383142	0	0	0	0	0	0.472813	0	0	0	1	0	0	24.9062	15.7581	1.138761	0	0.693107	1.123324	0.342466	0	2.075716	0.930818	2.141643	1	2.529023	0.118203	0.664744	0.384615	0.97088	2.46296	3.711135	0.356289	2.725228	0.287356	0.261111	0	26.6998	22.5611	0	0	1	0	0	0	0.56621	0	0	0	21.918	0	0	0	0	0	0	0	0.450999
K02224	0.534543	0.5720128	0.137363	0.999137	16.796317	0	12.281464	12.2567777	5.518038	2.471206	18.028452	5.4981959	4.0206311	3.021221	14.424815	9.380797	11.2272115	14.872104	0.407312	1.593042	20.145019	14.0130169	13.3753437	22.312493	9.7952713	4.06793	10.961074	17.209222	7.537612	2.352871	0	5.3074	7.911699	13.517353	18.581993	13.954111	15.885134	0	4.92861691	13.892838	21.7955874	0.646483	0.3583762	11.70804	14.574568	0.277778	15.631079	16.213765	17.455381	2.4742365	0.8770023	14.306944	17.928386	18.209667	7.771219	7.225372	11.434406	0.0666667	24.194838	0.564246	0	2.339018	5.407521	0.19305	16.950107	0.319517	1.1367584	1.204869	0	1.020355	20.991285	5.344269	8.7592	13.4683976	9.929133	10.5176021	4.845655	7.6391659	17.919795	10.783356	14.5666885	3.6795826	7.7646685	15.2439636	6.6774845	7.2247618	7.0711978	7.174858	9.344428	13.9339996	10.1921524	7.552725	9.0230333	11.0356495	13.626941	13.3685773	9.8202733	16.285974	12.431263	6.629506	6.00631	14.109815	0.685426	7.84974	14.965461	0.911125	10.796673	1.331641	13.428526	16.819743	0	18.328333	12.518322	0.3392064	3.0155482	3.798624	0.678996	8.230906
