#SampleID	002VWWX	004AWZY	004VWZY	006VHQK	027VYMX	031VPYH	036AXHM	036VXHM	040VYDY	047VLRL	083AYGC	083VYGC	086VHXM	110VZSZ	149VYYD	153VWG	155VCHJ	173VHJW	174LBQA	180VHMQ	189VXZJ	195VXXY	199VOZQ	206ZFDA	215ATKH	215VTKH	220VDXP	227AZMH	227VZMH	230VLSH	235VDBJ	243AHZH	243VHZH	287DJQA	309VHJD	322VCHL	325ALRY	325VLRY	331ALDY	331VLDY	342VCSL	347APZL	347VPZL	348VYQM	350VLYY	351AZDY	351VZDY	353VGSZ	354VPYM	357VLTS	358AWXC	358VWXC	359VYSH	361ATLX	361VTLX	362VLBJ	363VLH	364VCZ	366VZMY	367VWSY	370VLZW	371VTYJ	372VJHK	373VHXR	376VYKZ	377VHWH	379ALJJ	379VLJJ	384VCZL	388DHLA	388VDHL	390VNFD	392VWLL	393VZLH	395VGSQ	C001CJB	C002HHP	C003XYQ	C006LYH	C007XXZ	C008QLX	C009HHY	C010WL	C013MJH	C014LWG	C017YYM	C018LJP	C020LBJ	C022SMR	C024XHR	C025PCY	C026CBR	C031CQS	C034LJ	LR200116-0001	LR200116-0002_L4_1000002	LR200116-0003_L1_1000787	LR200116-0004_L1_1000734	LR200116-0005_L1_1000735	LR200116-0006_L1_1000736	LR200116-0008_L1_1000738	LR200116-0009_L1_1000739	LR200116-0010	LR200116-0011	LR200116-0012_L4_1000742	LR200116-0013_L1_1000743	LR200116-0014_L4_1000788	LR200116-0015_L4_1000789	LR200116-0016_L4_1000953	LR200116-0017_L4_1000954	LR200116-0018_L1_1000955	LR200116-0019_L1_1000956	LR200116-0020_L1_1000916	LR200116-0021_L1_1000957	LR200116-0023_L1_1001357	LR200116-0024_L1_1001404	LR200212-0001	LR200212-0002
K02348	0	0	0	0	1.43056	0	0	0	0	0	1.7931	1.01709	0	0	2.914312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.480566	0	0	0.0232558	0	0	0.423948	0	0	0	0	0	0	0	0	0	0.429379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24031	0	0	0	1.83908	0	0	0	0	0	0	0.806202	0	0	0.641026	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2.92628	0	0	0	0	0	0	1.17476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.968992
K01641	1.2740664	0	0	0.584811	0.598802	0.304962	0	1.37589	0	0.779539	2.149837	9.688894	1.665373	0	7.772479	0	0	0.294121	1.829148	0.561566	0	1.025558	0	0	2.518762	0.780535	0.352113	0.149701	0.168659	0	0	0.146628	0.136612	0	0	0.493399	1.34239	0.244379	0	1.591952	1.983213	1.241589	1.35642	1.651013	2.097083	0.79744	0.928709	0	0.814627	0.661121	0.741517	0.59657	0	39.230397	5.042534	0.692492	0	0.147493	0	0.923216	0.642979	0.0992714	0.5927413	2.977952	0.146628	0.3029593	1.10342	0.430844	5.0670002	0.134058	0	0	0.394917	0	0	3.3290267	0	6.711205	11.2905017	0	0	1.2131	7.833862	7.2020717	13.909218	4.248364	2.3650828	1.703002	9.0120182	8.522732	1.814752	3.812542	2.1813145	2.9345845	0.217054	0	0	0	0	0.788856	0	0	0.731373	0	0	0.285441	0	0.157609	1.76353	0.76776	0	0.111776	0	0.0537341	0	0	0	0.84064
K07481	24.7339496	4.081994	1.30208	20.133878	10.023468	42.747112	0.604167	30.366462	0.129534	34.8797375	49.1620822	19.3478909	8.792385	3.383049	25.529301	6.162836	0.34965	35.1397161	16.1585792	87.504306	12.731943	0.249377	17.934584	29.6113793	22.417321	5.384622	46.36534	20.3239956	23.807723	13.772959	0	8.5736649	20.6787756	2.3289458	1.917931	3.0078788	17.655887	8.2436006	2.912822	16.140705	62.675862	12.0669304	0.938906	39.3950704	58.8463243	93.7445586	11.197879	1.171072	10.565373	17.7075395	0.429185	5.1518338	6.844025	9.3633855	2.707851	17.2188596	8.423995	21.982248	1.096704	20.687692	44.877322	48.8624301	6.8941447	15.687004	55.9160295	21.077641	43.693656	2.986816	35.706157	4.018916	0	0.452381	7.6879501	1.232027	10.23754	36.4593211	19.7439989	6.2765026	6.600276	24.3582614	34.2961372	40.97423241	60.6423987	81.39065	32.4083059	25.596305	48.194023	8.816233	9.598459	47.1540755	93.8636125	46.66047	42.3412141	46.0128092	8.8951792	2.0508647	0.129534	25.4014703	11.375929	3.859865	12.035278	24.226231	33.78758	15.2600725	0.656357	11.8664527	18.8114453	18.2779904	92.3658775	21.5421959	29.395301	36.7818628	7.6431162	67.7745275	1.045009	133.7058987	24.248319	52.0139724
K12974	0.980545	0	4.25162	0.93904	5.0869	0	0.0557717	2.13619	1.10246	0	0.194553	0.194553	8.27108	1.16602	0.757458	1.92218	0	0	0.389105	0	0.194553	3.36576	2.60182	0.194553	0.389105	5.06874	0	0	0.194553	0	5.16991	0.92607	3.34371	0	2.7834	1.09079	0.194553	0.389105	2.01816	15.284	0	0	6.9546	1.87549	1.08042	0	0	0	0	0.590143	3.6965	3.58625	0	0	0.194553	0	0	0	0.784695	0.194553	0.238651	0.339818	2.14527	1.10376	0.387808	0.474708	0	0.378729	0.320363	0	4.97017	4.16342	5.3476	4.34371	0.647211	0.154345	0	0	0	0	0	0	0.972763	0.250324	0.44358	0.801556	0	0	0	0	0	0	0	0	0	0	0	0	0.26978	0.389105	0.194553	0.236057	0.359274	0.557717	2.19585	0	0.306096	0	2.19326	0	0.389105	0	0.0648508	0	0.403372	0	0.238651	0.389105
K07729	0.965278	0	0	1.52381	0	0.942308	0	0	0	0	0.877193	3.068417	1.45455	0	2.770589	0	0	0	0	0	2.81481	0	0	0	0.79798	0	0	1.283509	1.58	0	2	0.9375	0	0	3	0.771429	0	0	0	1	0.513333	0	0	1	1.486667	1.977273	0.706667	0	1.0192308	0	33	0	0.706667	0	0	0	0	0	0	0	1.28571	0	0	0	0	1	0.971014	3.95238	0	0	0	2	0	2	0	3.652939	0.880952	1.853333	3.52	0	2.659077	1.883333	23.5389	15.319081	22.297798	2.457497	3	0	5.48421	9.92919	0	3.26667	0.97076	2	0	0	0	0	0.790123	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	6.315477	0
K03110	27.9539873	13.7381726	2.536837	31.4350136	2.45434	51.4961139	0.846325	26.080262	0.605791	36.284772	25.04454	43.3149704	5.215751	0.595851	8.5299573	5.973285	1.319293	44.5656156	6.9602604	36.9802841	47.237105	2.74544	3.7826487	33.385967	19.8192701	3.5910215	32.430197	31.14863839	21.026277	3.300049	2.00445	10.5389553	25.2050854	53.148103	2.19128	2.890093	13.12346	15.0418683	2.452906	22.6105976	45.5950533	10.39651564	2.768336	15.938391	23.1228302	21.5597149	13.91334872	0.0995025	13.6975333	51.0340374	6.305864	17.666972	1.361505	52.4973842	41.380796	34.1316798	25.034897	16.854768	1.956064	24.087439	41.737027	19.7093015	5.2292129	34.8878941	37.0449553	46.2943172	33.9512887	10.508117	35.370432	9.0097	5.90869	2.35857	26.693631	13.33248	39.185893	44.7295925	49.71995	27.521243	32.4716239	31.1340421	33.5927465	44.0916456	45.9164451	36.4898145	56.99546816	32.9437512	41.3621354	25.8071795	42.3378054	50.5481162	37.4568405	39.63846	20.075042	23.6886716	8.3934571	66.365006	1.479872	30.1553971	5.8318045	31.6813482	3.4574026	27.2949939	17.3133623	6.449974	14.424389	25.251855	3.823838	17.140434	22.3926487	24.4779439	16.536112	26.070346	1.92234853	33.075897	2.8311742	41.5231042	5.847243	10.95406836
K06158	37.5849628	13.6015801	5.28401	57.2165783	9.092201	43.3109809	4.7562751	32.3056599	1.1088768	37.9474556	17.2235692	67.9475356	13.739081	0.4804988	12.5939312	4.6498318	0.3470071	67.020409	13.0299844	52.0650343	19.667294	4.9986413	4.6299484	39.2362869	15.8353186	5.1728994	32.2752655	30.0207149	21.7943523	3.0388646	8.2055376	17.9113711	22.96285256	14.02441736	8.4314608	7.5502908	8.8604528	7.2379205	1.258006	12.2405068	32.70184105	25.0931102	10.741038	22.5531632	42.4733476	21.6745501	7.6152931	0	19.8687917	48.629725	6.577935	17.8983513	1.0490061	29.5688049	21.0939432	24.6740199	24.9500251	50.0316669	5.9293659	38.9614745	26.2354948	28.6535298	7.4963763	25.76956	75.3043471	36.5589578	32.8439638	13.31701722	50.6173085	8.9584051	7.322398	5.784672	21.0561208	11.593248	27.579219	55.756632167	24.3653079	36.4512935	39.0169474	27.7340805	28.0205003	57.5029495	24.87572757	34.4767851	25.3099069	32.0770188	52.0767536	25.75791408	27.3565024	24.7547543	32.69694889	29.0964774	15.4333437	16.9702641	10.8223088	22.6235836	7.5252705	20.4884127	5.5973806	23.5589109	3.7743026	7.3716571	18.9077764	5.0407162	6.616193	20.2286613	8.9121117	38.7375239	17.8588645	26.4076612	14.3321282	25.3562392	2.3172824	26.0926683	4.0402411	30.5937633	30.1725743	15.6881854
K16637	0	0	0	0.0567376	0	0.151976	0	0	0	0	0	0	0	0	0	0.303951	0	0	1.457903	0	0	0	1.06586	0	0.486322	0.909091	0	0	0	0	0	0	0	0	0	0	1.12462	0	12.24078	0	0	0	0.911854	0.303951	0	0	8.17799	3.66565	0	0	0	0	0.227273	0	0	0	0	0	1.82067	0	0	0	0	0	0	0.151976	1.631437	0	0	0.44843	0	0	9.75466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.843972	0	0.945289	1.253951	2.56028	0	11.1125	0.391084	0	3.0618	6.23589	0	1.82371	0	0	0	0.455927	0.151976	1.63627	0	1.19352	0	0	1.14792
K22757	7.973063	0.549107	0	1.487805	0	7.042873	0	1	0	4.64992	11.740381	0	0	0	2.700244	3.6165	0	0	0.617284	1.223214	0	0	0.653368	0.982473	2.487046	0	0	9.6186416	1.162279	0.337449	0	0.354916	0.405556	0	0	0	1.169961	0.970874	0	0	0	0	0	1.9	1.181633	0.248201	0.396177	0	0.909091	0.223214	0	0	0	0.223214	0.12945	0.15674	0	10.2027282	0.461789	2.202091	0	0.987885	0	2.134091	1.791667	0	0	0	18.62437	0	0	0	0	0	0	1.608409	0	1.6243	2.408805	0.242276	0	1.38889	0	0	0	0.223214	0.61747	1	0	0	0	1.84857	1.094426	2.64881	0.223214	0	0.795204	0	0	0.221726	0.160976	0	1.592262	0.243902	0	1.79581	11.58401	2.043649	1.095239	2.223214	2	2.513275	0	1.223214	0	0.244048	0	3.357072
K01637	7.38243	0.473721	0.622407	0.10352	0	1.806447	2.91219	0	8.73356	0.207254	0.103734	0.854831	35.681032	0	0.10352	2.355634	0.818119	0	69.1874	0	0	0	1.28077	0.207254	9.122838	26.2566	0	0.103734	0.60423	0	0.585062	17.5890157	21.436334	0.310559	2.22396	3.84418	134.596039	67.7824	12.5934	21.135898	0.103734	0.103734	4.29945	84.2663	32.30132	64.9219	4.46266	2.8029	5.27944	3.66874	14.455	135.695	6.84302	0.301802	5.946896	0	0.10352	0	102.939	13.389097	0	11.616903	41.899766	30.6591	0.495256	4.943907	12.3963	0.726141	1.597448	15.8154	0.899032	17.47027	46.45677	14.56378	1.666234	0.10352	0.207039	0	0.310559	0.10352	0	0.310766	0	0.10352	0	0.10352	0	0	0	0	0.415297	0	0	0.10352	95.8638	0	53.260086	5.340485	52.3596	2.03734	14.8499	4.93845	1.62863	114.194	210.995661	1.070223	13.97479	0.239915	0.254791	0.62946	4.403118	1.883271	18.3921	0.207469	172.201	65.00322	0.16805	220.9652664
