C00009	CPD-20124
C00016	FAD
C00032	Heme-b
C00055	CMP
C00059	SULFATE
C00061	FMN
C00068	THIAMINE-PYROPHOSPHATE
C00073	MET
C00074	PHOSPHO-ENOL-PYRUVATE
C00081	ITP
C00105	UMP
C00106	URACIL
C00109	2-OXOBUTANOATE
C00113	PQQ
C00127	OXIDIZED-GLUTATHIONE
C00128	CMP-N-ACETYL-NEURAMINATE
C00133	D-ALANINE
C00147	ADENINE
C00153	NIACINAMIDE
C00156	4-hydroxybenzoate
C00170	5-METHYLTHIOADENOSINE
C00180	BENZOATE
C00214	THYMIDINE
C00224	APS
C00239	DCMP
C00245	TAURINE
C00261	BENZALDEHYDE
C00262	HYPOXANTHINE
C00263	HOMO-SER
C00292	ANILINE
C00295	OROTATE
C00299	URIDINE
C00300	CREATINE
C00307	CDP-CHOLINE
C00327	L-CITRULLINE
C00331	INDOLE_PYRUVATE
C00345	CPD-2961
C00355	L-DIHYDROXY-PHENYLALANINE
C00360	DAMP
C00361	DGDP
C00362	DGMP
C00364	TMP
C00366	URATE
C00371	CPD-4210
C00380	CYTOSINE
C00398	TRYPTAMINE
C00399	Ubiquinones
C00402	CPD-302
C00408	L-PIPECOLATE
C00413	STREPTOMYCIN
C00415	DIHYDROFOLATE
C00436	CPD-597
C00439	N-FORMIMINO-L-GLUTAMATE
C00441	L-ASPARTATE-SEMIALDEHYDE
C00449	SACCHAROPINE
C00460	DUTP
C00463	INDOLE
C00491	L-CYSTINE
C00494	CPD-15230
C00497	CPD-660
C00498	ADP-D-GLUCOSE
C00499	ALLANTOATE
C00526	DEOXYURIDINE
C00532	L-ARABITOL
C00545	CPD-1117
C00556	BENZYL-ALCOHOL
C00563	CPD-9084
C00570	CDP-ETHANOLAMINE
C00593	SULFOACETALDEHYDE
C00601	PHENYLACETALDEHYDE
C00606	3-SULFINOALANINE
C00633	4-HYDROXYBENZALDEHYDE
C00643	5-HYDROXY-TRYPTOPHAN
C00647	PYRIDOXAMINE-5P
C00655	XANTHOSINE-5-PHOSPHATE
C00684	CPD-1134
C00700	XTP
C00705	DCDP
C00711	RS-Malate
C00732	BESTATIN
C00740	D-SERINE
C00744	MACROCIN
C00750	SPERMINE
C00763	D-PROLINE
C00785	UROCANATE
