module	Number	Super.class	Class	Sub.class	Sub.class	Summary
bisque1	6	Alkaloids	Miscellaneous	Miscellaneous	Miscellaneous	Alkaloids
red3	5	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues
hotpink1	5	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues
palegreen1	5	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues
darkorchid2	5	Miscellaneous	Miscellaneous	Amino acids, peptides, and analogues	Miscellaneous	Amino acids, peptides, and analogues
khaki2	6	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues
mistyrose1	6	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues
cyan4	6	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues
goldenrod3	6	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues
mediumblue	6	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues
lightyellow4	6	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues
snow	6	Miscellaneous	Miscellaneous	Amino acids, peptides, and analogues	Miscellaneous	Amino acids, peptides, and analogues
hotpink3	7	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues
olivedrab4	7	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues
mediumorchid1	7	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues
lightskyblue	7	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues
limegreen	7	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues
lemonchiffon4	7	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues	Amino acids, peptides, and analogues
aquamarine	7	Miscellaneous	Miscellaneous	Amino acids, peptides, and analogues	Miscellaneous	Amino acids, peptides, and analogues
