C03076	CIDm00074654
C18610	CIDm00003495
HMDB0040671	CIDm44258662
C09679	CIDm03504250
C07415	CIDm00004691
HMDB0001497	CIDm00000409
C15654	CIDm00065004
HMDB0035507	CIDm10629514
C01762	CIDm00001189
HMDB0014898	CIDm00060706
C12388	CIDm00443800
C04494	CIDm00000733
C07466	CIDm00060594
HMDB0061733	CIDm00011659
C10641	CIDm00130111
HMDB0040549	CIDm71442208
C17865	CIDm14507494
C11987	CIDm00443562
HMDB0128153	CIDm11972442
HMDB0030156	CIDm00159165
HMDB0060753	CIDm03081785
C08589	CIDm00091639
C18316	CIDm00069212
C06381	CIDm00061645
C00792	CIDm00000232
HMDB0144292	CIDm00520037
HMDB0041548	CIDm03083497
C19139	CIDm00013814
C08979	CIDm00317195
C10926	CIDm00039965
HMDB0000024	CIDm00481098
HMDB0038342	CIDm10629747
HMDB0030212	CIDm86242003
C08032	CIDm00071338
HMDB0034767	CIDm03004297
C19689	CIDm00448816
C11815	CIDm00442161
C07423	CIDm00004737
C17436	CIDm00000201
C11604	CIDm00443303
HMDB0028855	CIDm87557032
HMDB0029429	CIDm00004005
C06965	CIDm00003114
HMDB0028900	CIDm05246009
C13892	CIDm05282298
C08878	CIDm00023323
C11375	CIDm00443152
C15232	CIDm00023994
HMDB0040776	CIDm10408200
HMDB0036855	CIDm71448932
C17870	CIDm00157791
C04327	CIDm00001137
C18743	CIDm00040896
C18965	CIDm00016422
C19002	CIDm00028935
HMDB0036362	CIDm05319648
C05929	CIDm00440845
HMDB0004837	CIDm20057278
C18868	CIDm00027189
C18459	CIDm00086173
HMDB0032692	CIDm21550248
C11468	CIDm05281925
C06436	CIDm00441018
HMDB0029313	CIDm00010501
C17866	CIDm10929902
C15241	CIDm11954128
HMDB0001396	CIDm00000146
C10062	CIDm00003451
HMDB0002171	CIDm03639129
C08574	CIDm00159360
C08091	CIDm00004451
C19478	CIDm53297433
C04593	CIDm00000513
HMDB0029391	CIDm05497150
C18621	CIDm00194859
C18051	CIDm24883448
C12411	CIDm00443818
HMDB0014462	CIDm00123631
C08869	CIDm00010503
HMDB0029742	CIDm15590168
C11302	CIDm00443115
HMDB0060802	CIDm15042559
C19710	CIDm56928111
C08919	CIDm00399999
C15708	CIDm23724548
C11098	CIDm00107760
HMDB0013305	CIDm00075611
HMDB0012986	CIDm18243990
C07172	CIDm00005574
HMDB0061032	CIDm00115076
C04265	CIDm00440276
