Query	Match	HMDB	PubChem	ChEBI	KEGG	METLIN	SMILES	Super.class	Class	Sub.class	Family	Pathway
C00009	Phosphate	HMDB0001429	1004	26078	C00009	3231	OP(O)(O)=O	Homogeneous non-metal compounds	Non-metal oxoanionic compounds	Non-metal phosphates	Non-metal phosphates	 map00190 Oxidative phosphorylation; map01100 Metabolic pathways; map02010 ABC transporters; map02020 Two-component system; map02024 Quorum sensing;
C00016	FAD	HMDB0001248	643975	16238	C00016	6106	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2	Nucleosides, nucleotides, and analogues	Flavin nucleotides	null	Nucleic acids and analogues	 map00740 Riboflavin metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites;
C00032	Heme	HMDB0003178	26945	17627	C00032	3680	CC1=C(CCC(O)=O)C2=CC3=[N+]4C(=CC5=C(C)C(C=C)=C6C=C7C(C)=C(C=C)C8=[N+]7[Fe--]4(N2C1=C8)N56)C(C)=C3CCC(O)=O	null	null	null	null	 map00860 Porphyrin and chlorophyll metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map02010 ABC transporters;
C00055	Cytidine monophosphate	HMDB0000095	6131	17361	C00055	5143	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides	Nucleic acids and analogues	 map00240 Pyrimidine metabolism; map01100 Metabolic pathways;
C00059	Sulfate	HMDB0001448	1117	26836	C00059	3233	OS(O)(=O)=O	Homogeneous non-metal compounds	Non-metal oxoanionic compounds	Non-metal sulfates	Non-metal sulfates	 map00230 Purine metabolism; map00261 Monobactam biosynthesis; map00270 Cysteine and methionine metabolism; map00920 Sulfur metabolism; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map02010 ABC transporters; map02024 Quorum sensing;
C00061	Flavin Mononucleotide	HMDB0001520	643976	17621	C00061	6295	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2	Nucleosides, nucleotides, and analogues	Flavin nucleotides	null	Nucleic acids and analogues	 map00190 Oxidative phosphorylation; map00740 Riboflavin metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites;
C00068	Thiamine pyrophosphate	HMDB0001372	1132	9532	C00068	2832	CC1=C(CCOP(O)(=O)OP(O)(O)=O)SC=[N+]1CC1=CN=C(C)N=C1N	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Pyrimidines and pyrimidine derivatives	 map00010 Glycolysis / Gluconeogenesis; map00020 Citrate cycle (TCA cycle); map00280 Valine, leucine and isoleucine degradation; map00620 Pyruvate metabolism; map00640 Propanoate metabolism; map00730 Thiamine metabolism; map01100 Metabolic pathways;
C00073	L-Methionine	HMDB0000696	6137	16643	C00073	5664	CSCC[C@H](N)C(O)=O	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids	 map00270 Cysteine and methionine metabolism; map00970 Aminoacyl-tRNA biosynthesis; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids;
C00074	Phosphoenolpyruvic acid	HMDB0000263	1005	44897	C00074	5264	OC(=O)C(=C)OP(O)(O)=O	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters	Organic acids	 map00010 Glycolysis / Gluconeogenesis; map00020 Citrate cycle (TCA cycle); map00400 Phenylalanine, tyrosine and tryptophan biosynthesis; map00440 Phosphonate and phosphinate metabolism; map00620 Pyruvate metabolism; map00680 Methane metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01130 Biosynthesis of antibiotics; map01200 Carbon metabolism; map01230 Biosynthesis of amino acids; map02060 Phosphotransferase system (PTS);
C00081	ITP	HMDB0000189	8583	16039	C00081	5204	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	Purines and derivatives	 map00230 Purine metabolism;
C00105	Uridine 5'-monophosphate	HMDB0000288	6030	16695	C00105	NA	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides	Nucleic acids and analogues	 map00240 Pyrimidine metabolism; map01100 Metabolic pathways;
C00106	Uracil	HMDB0000300	1174	17568	C00106	258	O=C1NC=CC(=O)N1	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Pyrimidines and pyrimidine derivatives	 map00240 Pyrimidine metabolism; map00770 Pantothenate and CoA biosynthesis; map01100 Metabolic pathways;
