UNIQUE-ID	EC-NUMBER	ENZYMATIC-REACTION	LEFT	RIGHT	REACTION-DIRECTION
2.4.1.206-RXN	EC-2.4.1.206	ENZRXN-25326	UDP-N-ACETYL-D-GLUCOSAMINE;Lactosyl-Ceramides	CPD-1101;UDP;PROTON	PHYSIOL-LEFT-TO-RIGHT
RXN-22270	EC-1.1.1.141	ENZRXN-30029	CPD66-65;NAD	CPD-24266;NADH;PROTON	PHYSIOL-LEFT-TO-RIGHT
RXN-19600	EC-2.5.1.18	ENZRXN-26338	GLUTATHIONE;CPD-21168	CPD-21192;CL-;PROTON	PHYSIOL-LEFT-TO-RIGHT
RXN-11078	EC-2.4.2.45	ENZRXN-17292	PRPP;CPD-11994;PROTON	CPD-12039;PPI	LEFT-TO-RIGHT
RXN-8821	EC-1.14.13.210	ENZRXN-14190	CPD-9134;OXYGEN-MOLECULE;NADH-P-OR-NOP	PROTON;CPD-9135;NAD-P-OR-NOP;NITRITE;WATER	PHYSIOL-LEFT-TO-RIGHT
RXN-22807	EC-1.1.99.13	ENZRXN-30499	CPD-25264;Acceptor	3-Keto-leucrose;Donor-H2	PHYSIOL-LEFT-TO-RIGHT
RXN-14073	EC-3.1.4.46	ENZRXN0-7662	GLYCEROPHOSPHOGLYCEROL;WATER	GLYCEROL;GLYCEROL-3P;PROTON	PHYSIOL-LEFT-TO-RIGHT
RXN-11552	EC-5.4.99.30	ENZRXN-18005	CPD-12511	CPD-12513	REVERSIBLE
RXN-9347			CPD-9957;Acceptor	UBIQUINONE-9;Donor-H2	
RXN-17123	EC-2.1.1.M9	ENZRXN-27362	S-ADENOSYLMETHIONINE;CPD-18497	CPD-18321;ADENOSYL-HOMO-CYS;PROTON	PHYSIOL-LEFT-TO-RIGHT
RXN-14553		ENZRXN-21808	CPD-4822;CPD-15424	CPD-14159;AMP;PROTON	
3.1.3.76-RXN	EC-3.1.3.76		CPD-9001;WATER	CPD-9002;Pi	PHYSIOL-LEFT-TO-RIGHT
CARNITINE-O-PALMITOYLTRANSFERASE-RXN	EC-2.3.1.21	ENZRXN66-1698	PALMITYL-COA;CARNITINE	CPD-419;CO-A	REVERSIBLE
RXN-20127			LANOSTEROL;Reduced-ferredoxins;OXYGEN-MOLECULE;PROTON	CPD-4568;Oxidized-ferredoxins;WATER	PHYSIOL-LEFT-TO-RIGHT
RXN-17610	EC-1.14.13.229	ENZRXN-24750	CPD-19012;OXYGEN-MOLECULE;NADPH;PROTON	CPD-19013;NADP;WATER	PHYSIOL-LEFT-TO-RIGHT
FORMATE-KINASE-RXN	EC-2.7.2.6		FORMATE;ATP	CPD-495;ADP	PHYSIOL-LEFT-TO-RIGHT
RXN-23389			ATP;ANTHRANILATE;PROTON	CPD-25994;PPI	PHYSIOL-LEFT-TO-RIGHT
RXN-20657	EC-3.2.2.M2	ENZRXN-27147	DEOXYINOSINE;WATER	HYPOXANTHINE;2-DEOXYRIBOSE	PHYSIOL-LEFT-TO-RIGHT
RXN-12040		ENZRXN-18572	CPD-9190;GDP-MANNOSE	PROTON;CPD-13015;GDP	REVERSIBLE
RXN-9888	EC-1.13.11.M6	ENZRXN-15671	CPD-10622;OXYGEN-MOLECULE	CPD-10635;PROTON	PHYSIOL-LEFT-TO-RIGHT
RXN-5081			CPD-4861	CPD-4864;WATER	LEFT-TO-RIGHT
RXN-15039	EC-1.14.14.31	ENZRXN-22336	CPD-4888;Red-NADPH-Hemoprotein-Reductases;OXYGEN-MOLECULE	CPD-8834;Ox-NADPH-Hemoprotein-Reductases;WATER	PHYSIOL-LEFT-TO-RIGHT
RXN-12525	EC-1.14.13		CPD-11377;OXYGEN-MOLECULE;NADPH;PROTON	CPD-13496;WATER;NADP	PHYSIOL-LEFT-TO-RIGHT
3.4.24.13-RXN	EC-3.4.24.13		WATER;immunoglobulin-IgA1-	fragments-of-immunoglobulin-IgA1-	PHYSIOL-LEFT-TO-RIGHT
RXN0-6984	EC-3.4.13.18		CPD-3569;WATER	GLY;GLT	PHYSIOL-LEFT-TO-RIGHT
RXN-18115	EC-1.14.14	ENZRXN1A0-6323	CPD-19413;OXYGEN-MOLECULE;FMNH2	CPD-19412;WATER;FMN;PROTON	PHYSIOL-LEFT-TO-RIGHT
RXN-15559	EC-2.3.2.26	ENZRXN-22865	S-ubiquitinyl-UCP-E2-L-cysteine;HECT-Ubiquitin-carrier-protein-E3-L-cys	Ubiquitin-carrier-protein-E2-L-cysteine;S-ubiquitinyl-HECT-E3-UCP-L-cysteine	LEFT-TO-RIGHT
