#SampleID	002VWWX	004AWZY	004VWZY	006VHQK	027VYMX	031VPYH	036AXHM	036VXHM	040VYDY	047VLRL	083AYGC	083VYGC	086VHXM	110VZSZ	149VYYD	153VWG	155VCHJ	173VHJW	174LBQA	180VHMQ	189VXZJ	195VXXY	199VOZQ	206ZFDA	215ATKH	215VTKH	220VDXP	227AZMH	227VZMH	230VLSH	235VDBJ	243AHZH	243VHZH	287DJQA	309VHJD	322VCHL	325ALRY	325VLRY	331ALDY	331VLDY	342VCSL	347APZL	347VPZL	348VYQM	350VLYY	351AZDY	351VZDY	353VGSZ	354VPYM	357VLTS	358AWXC	358VWXC	359VYSH	361ATLX	361VTLX	362VLBJ	363VLH	364VCZ	366VZMY	367VWSY	370VLZW	371VTYJ	372VJHK	373VHXR	376VYKZ	377VHWH	379ALJJ	379VLJJ	384VCZL	388DHLA	388VDHL	390VNFD	392VWLL	393VZLH	395VGSQ	C001CJB	C002HHP	C003XYQ	C006LYH	C007XXZ	C008QLX	C009HHY	C010WL	C013MJH	C014LWG	C017YYM	C018LJP	C020LBJ	C022SMR	C024XHR	C025PCY	C026CBR	C031CQS	C034LJ	LR200116-0001	LR200116-0002_L4_1000002	LR200116-0003_L1_1000787	LR200116-0004_L1_1000734	LR200116-0005_L1_1000735	LR200116-0006_L1_1000736	LR200116-0008_L1_1000738	LR200116-0009_L1_1000739	LR200116-0010	LR200116-0011	LR200116-0012_L4_1000742	LR200116-0013_L1_1000743	LR200116-0014_L4_1000788	LR200116-0015_L4_1000789	LR200116-0016_L4_1000953	LR200116-0017_L4_1000954	LR200116-0018_L1_1000955	LR200116-0019_L1_1000956	LR200116-0020_L1_1000916	LR200116-0021_L1_1000957	LR200116-0023_L1_1001357	LR200116-0024_L1_1001404	LR200212-0001	LR200212-0002
K01711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.6667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.980392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02897	16.375162	2.193466	1.10307	1.824564	0	160.140597	0	4.047298	0.657895	18.52049	25.461569	0.947368	6.865486	0.243421	9.8624746	0.964912	0.125	111.10137	2.793832	59.179763	2.438592	1.06185	0	7.684452	17.1817522	5.677404	0	38.917194	2.003397	0	1.463686	1.785087	20.337662	12.5421133	0.58233	2.936402	10.702099	10.84728	0.0416667	7.1271794	41.095	10.145372	0	7.618206	51.216589	36.539516	13.604164	0.0285088	7.522511	20.443664	0	3.952942	0	25.799676	4.350832	221.122698	0	2.142542	0.221491	11.687874	35.23022	8.119379	2.3184704	13.517967	25.54315	36.043887	24.113046	4.60526	9.593658	9.33812	0	0	1.173993	0	3.19288	24.234537	9.355079	1.8179865	25.3492	59.318123	121.15802	100.09122	10.401158	46.57502	23.289459	41.881628	65.6731974	35.313564	18.588778	70.20492	31.739366	14.725797	15.681068	21.721792	4.344283	0.328947	0.289474	6.144257	0	3.60088	0.140351	31.144012	0.914474	0.989035	0	3.0816223	11.554827	43.04273	2.111145	2.940763	9.412267	7.484387	4.667024	25.032363	0.802632	4.8114	0	1.669328
K00991	0.287179	0	0	0	0	6.361695	0	0	0	0.4946521	1.0565955	0	0	0	0.297619	0	0	0.715719	0	9.483572	0	0	0	0.308642	0.943784	0.149672	0	0.6322	0	0	0	0	0.441036	0.811111	0	0	0.680525	0	0.096124	0	2.41944	1.618293	0	0.7538463	0.565052	0.666316	0.547192	0	0.25641	0	0	0	0	0.297619	0	7.41059	0	0.308642	0	0	0	0.55232	0	0.769231	4.551533	0	0.25641	0	0	1.559802	0	0	0	0	0	0	0.251282	0	1.05696	0.857143	6.662877	3.019327	3.365838	1.889124	2.689064	1.6389251	0.769231	0	1.274526	7.596035	0.468376	0.769231	1.698861	0.285714	0.25641	0.0170543	0	0	0	0	0	3.626398	0	0	0	0	0	1.08213	0	0	0.401905	1.5676801	0	2.835344	0	4.456669	0	0.287356
K00764	0.2742954	0.0931099	0	1.4391559	0	9.6887572	0	0.821918	0.0856164	8.8218718	2.6587981	0.169492	0.224311	0	0.5076623	0	0	10.8048595	1.369998	8.496003	0.0856164	0	0.199772	1.429585	4.920399	0.2675536	0	1.9153644	0	0	0	0.459085	3.643726	1.1393827	0	0	2.1070236	1.5828936	0.0856164	1.3838369	10.4764388	1.3942954	0	6.8947028	9.3205898	4.7756624	1.5024494	0.552846	0.9771303	3.0490687	0	0.513699	0	0.988765	1.421233	8.444046	0	1.3058804	0	3.0466527	5.1617914	1.3121686	0.918171	1.895665	2.8909624	1.44406	26.6634405	0.7861284	4.4253244	1.18676672	0	0	2.443492	0.18622	0.246305	2.5434468	1.245305	1.5461318	4.09313	8.6220752	13.1266242	23.8352541	3.7995604	7.185187	2.1905954	4.7181406	6.011658	6.700744	6.994998	12.471964	5.1031988	5.4696586	5.4420633	0.714519	0.1141552	0.125	0.3431678	2.093213	0.2682645	0.8504284	0.1558219	1.90982863	0.6088478	0.3334421	0	1.171575	3.37983	2.6885391	1.662839	1.1538246	2.6059654	2.1928458	0.4622654	8.185496	0.0856164	7.6537508	0	0.5271754
K02474	0.4	0	0	0	0	10.984489	0	0	0	6.739315	11.201068	0.133333	0	0	0	0	0.124444	2.4553778	0.397333	0.395602	0	0	0.737298	1.272166	1.214211	1.583975	0	1.483043	2.692713	0	0	0	3.535477	0.265957	0	0	7.038698	2.318422	0.456774	1.296319	0.322581	3.980767	0	0	0	0.133333	3.21329	0	0	7.897723	0	0	0	1.983467	0.13369	1.133403	0	0.133333	0	0	0	0	0.799112	0.133333	0	1.743476	33.37263	0.933334	1.9605135	0.3280003	0	0	2.524777	0	0	0	1.031243	0.561289	1.3633139	1.18125	7.537734	0.623278	0	0.260417	0.604386	0.533333	1.094623	0.392889	4.576447	11.05689	39.4044	58.028102	11.9867988	79.185983	2.578202	12.259394	0.265957	0.800001	9.845253	2.139095	0.793366	0.984889	0.130208	0.132979	0.133333	0.133333	0.323068	0.910567	0.668092	0.265778	0	4.522733	0	12.11548	0.0737778	1.07022	0.0570175	0.723084
K01154	0.410494	0	0	0.269563	0	0.379135	0	0.960218	0	0	0.238095	0	0	0	0	0	0	0	0	0.56893	0	0	0	0.492401	0.4216138	0	0	0.277354	0	0	0	0	0	0	0	0	0	0	0	0	0.0377907	0	0	0	0	0	0	0	0	0.371812	0	0	0	0	0	0.290698	0	0	0	0.381679	0	0	0	0	0	2.271003	2.175731	0.145349	0.26455	0.201018	0	0	0	0	0	1.148415	0.879433	0	0.167785	0	0.778548	0	0.146865	0.140845	1.308642	2.418811	0	0	0	0.206349	1.324157	3.204799	2.200102	0.842529	0.669946	2.20255	0	0.77933	1.1106568	1.10634	0	0.280751	0.139906	0.140845	1.147614	0	0	0	0	0	0	0.619387	0	15.681516	0	8.133443	0	0
K00939	1.352246	2.077069	0.35461	1.06383	0	27.788594	0	0.35461	0	0.458333	8.210559	0	1.471159	0	1.231679	0.3079077	0	13.328166	0.136054	9.1110821	0	0	0	3.019343	4.912503	1.13948	0	6.157284	0.410256	0	0	1.133256	3.968566	1.390075	2.12766	0	0.340136	0.70922	0.345154	0.679171	4.751901	0.96217507	0	2.58101	9.763496	19.322999	2.746756	0	0.532626	3.968902	0	0	0	3.905351	0	35.174512	0	0.91253	0.352246	5.769092	3.226953	3.241522	0	3.634389	5.632564	13.60301	6.755342	2.092153	1.893393	2.77898	0	0	2.48227	0	0	6.860226	0.161994	3.382983	5.328216	5.354133	19.619218	20.036605	7.127824	6.303792	6.269403	12.381062	13.86	3.43026	1.93329	7.618678	6.941857	3.4490991	6.086249	14.4568981	0	0	0	1.054142	0.959811	0.8044581	0.352246	3.382159	1.06383	1.06383	0	3.480731	2.243494	5.698896	1.406234	0.186761	2.76596	3.4299	0	4.526921	0	0.997732	0	0.35461
K01790	0	0	0	0	0	0.895833	0	0	0	0	0	0	0.311111	0	0.567901	0.345679	0	1.48148	0	0	0	0	0	0	0.244444	0.37037	0	0	0	0	0	0	0.439506	0	0	0.740741	1	0	0	0	0.965432	0	0	0	5.54568	10.52214	0.261728	0	0	0	0	0	0	0	0	0	0	0	0	2.572842	1.84444	0.833333	0.62963	0	0	5.78765	2.757256	0	1.11111	0	0	0	0	0	0	0.197531	0	1.209877	0.246914	1	0	2.95308	0	1.239506	0	0	4.43704	0	0	0	0.953086	0.864583	0	1.83333	0	0	0	0	1.150618	0	0	0	0	0	0	0.37037	0.207407	0	0	0	0	0	0	0	0	0	0	0.303704
K09861	0	0	0	0	0	0.177236	0	0	0	0.732903	1.115263	0	0	0	0	0	0	0.204509	0	0	0	0	0	0.243902	0	0	0	0.243902	0	0	0	0	0.483092	0	0	0	0	0	0	0.487805	4.25331	0	0	0.241546	0	0	0	0	0	0.00520833	0	0	0	0	0	0.483092	0	0	0	0	0	0	0	1.09756	0	0	0.752013	0	0	0	0	0	2.41546	0	0	0.200521	0.681301	0	0.698331	0	0.894857	0.160976	0	0.483092	0.245098	0	0.243902	0	0.486644	0.8438	1.576593	0	2.606543	0	0	0	0	0.42735	0.365854	0	0	1.941138	0.483092	0	0	0	0	0.291667	0	0.43252	0	0	0.241546	3.101007	0	1.6087	0	0
K03695	4.4065433	1.5200532	0.5309435	5.1936368	0	46.4407801	0.480769	4.0580758	0.192702	74.4386477	7.0520506	3.0145141	8.133468	0.3103666	4.3958499	19.3338583	0.0520705	84.2257332	4.7911541	202.5833125	0	0	4.6527167	3.5021174	25.4040105	6.3760198	0.1366297	14.5373139	1.8716232	0.513626	2.6615888	4.321992	27.711518	3.5630877	0.1385512	0.106601	9.5212635	16.717072	0.7799576	9.2068427	33.9909169	7.7319842	3.3100046	11.734336	144.2506316	19.1935127	18.2825757	0.119332	3.6431915	12.9831061	0	6.2006059	0.3760421	6.2765358	1.7568124	9.3724452	0.2423332	2.0234073	0.246002	32.6846427	13.3213966	5.5861358	5.0300276	39.9088216	41.9612579	2.4668635	14.0127696	8.8829152	24.788846	3.7689926	0	0.123001	1.336783	0.616627	3.5690934	86.6535196	8.5714315	6.1190228	40.3400606	199.159049	108.76025713	79.518305	67.7446616	97.263886	44.963933	254.517918	163.2872462	59.6431787	25.332627	53.5283874	36.5614414	31.595072	28.2966258	7.7799086	2.5472077	0.5245487	0.123001	7.3517539	0.4145966	1.1859646	1.015019	163.5694511	0.8071354	7.4447413	0.4171882	2.55094144	10.3316876	17.9955131	4.6799904	5.2087851	39.2944143	76.891167	6.7242243	24.5032266	0.3880638	7.7246216	0.779528	0.8220803
