#SampleID	002VWWX	004AWZY	004VWZY	006VHQK	027VYMX	031VPYH	036AXHM	036VXHM	040VYDY	047VLRL	083AYGC	083VYGC	086VHXM	110VZSZ	149VYYD	153VWG	155VCHJ	173VHJW	174LBQA	180VHMQ	189VXZJ	195VXXY	199VOZQ	206ZFDA	215ATKH	215VTKH	220VDXP	227AZMH	227VZMH	230VLSH	235VDBJ	243AHZH	243VHZH	287DJQA	309VHJD	322VCHL	325ALRY	325VLRY	331ALDY	331VLDY	342VCSL	347APZL	347VPZL	348VYQM	350VLYY	351AZDY	351VZDY	353VGSZ	354VPYM	357VLTS	358AWXC	358VWXC	359VYSH	361ATLX	361VTLX	362VLBJ	363VLH	364VCZ	366VZMY	367VWSY	370VLZW	371VTYJ	372VJHK	373VHXR	376VYKZ	377VHWH	379ALJJ	379VLJJ	384VCZL	388DHLA	388VDHL	390VNFD	392VWLL	393VZLH	395VGSQ	C001CJB	C002HHP	C003XYQ	C006LYH	C007XXZ	C008QLX	C009HHY	C010WL	C013MJH	C014LWG	C017YYM	C018LJP	C020LBJ	C022SMR	C024XHR	C025PCY	C026CBR	C031CQS	C034LJ	LR200116-0001	LR200116-0002_L4_1000002	LR200116-0003_L1_1000787	LR200116-0004_L1_1000734	LR200116-0005_L1_1000735	LR200116-0006_L1_1000736	LR200116-0008_L1_1000738	LR200116-0009_L1_1000739	LR200116-0010	LR200116-0011	LR200116-0012_L4_1000742	LR200116-0013_L1_1000743	LR200116-0014_L4_1000788	LR200116-0015_L4_1000789	LR200116-0016_L4_1000953	LR200116-0017_L4_1000954	LR200116-0018_L1_1000955	LR200116-0019_L1_1000956	LR200116-0020_L1_1000916	LR200116-0021_L1_1000957	LR200116-0023_L1_1001357	LR200116-0024_L1_1001404	LR200212-0001	LR200212-0002
M00001	16.1014415	2.4271714	0	19.7829093	1.06162	109.322125	0	29.144302	0.456721	28.8479066	42.5401544	2.7985105	10.083683	0	10.1533254	9.1715938	0.467361	130.9896721	1.8092667	131.5082591	3.004743	0	3.0443196	36.4310215	20.1975774	3.2070638	0	24.8060965	4.920835	0.15083	6.406076	3.4545348	14.979283	12.0089489	1.6457325	3.1064928	13.9633439	10.697824	0.923005	16.0819355	70.295715	8.7546204	1.26812	26.216273	106.7577401	48.6598614	12.8776997	0	8.5690127	29.1346191	0	4.2605088	0.5347138	10.8772723	3.826916	121.573381	0.609153	6.5867681	1.0357678	53.707832	16.6491308	21.6380429	4.4689585	19.5172941	30.803609	41.0643664	26.139011	12.3644315	47.91032984	11.9782211	0	0	2.726836	0.475921	2.685341	51.7298358	14.3293773	12.2104283	45.1002541	54.0067701	77.0023917	134.8922356	53.6385328	51.0108573	54.2400678	50.5224718	155.593278	61.855157	14.7283638	116.9906635	42.8743241	9.6428442	17.8796938	14.6949919	3.0661659	0.630909	1.285624	5.5705019	2.34573131	3.7890732	1.2619785	33.0357508	6.6594873	1.6056493	0.4372145	21.1270278	16.1495526	20.881884	4.7052297	9.326172	16.8756762	8.5859554	3.8626405	51.5993341	0.2272788	8.0122948	0.129534	3.1468016
M00002	11.3951565	2.4271714	0	11.7402653	0.699301	77.932801	0	17.110117	0.275562	18.6933856	35.3471384	2.2916185	7.39758	0	8.0936514	6.4729298	0.105042	83.6181148	1.2840817	90.5211699	3.004743	0	1.6796586	25.7592995	17.2459864	2.2505432	0	21.7315788	3.342387	0.15083	5.862598	2.6269658	9.6962617	8.7364149	1.6457325	1.6572168	10.7959229	7.198844	0.923005	9.6369345	48.095455	7.8192013	0	13.159156	70.3136041	42.8662474	11.0749138	0	7.5186427	19.5956781	0	2.6849538	0.5347138	10.1067409	2.053801	96.702865	0.368768	4.0638239	0.6064698	29.111508	11.4286138	11.1497926	2.3422315	15.2142071	19.053929	32.8413924	21.8492445	5.0993205	29.333869	7.0257161	0	0	1.355935	0.475921	1.334631	36.5594928	12.3310533	11.2453993	31.2880401	44.0419048	55.3099577	77.2603786	49.8670158	33.2378751	34.3762548	37.6164578	87.933168	44.431225	11.2368121	65.0189015	31.5065871	8.7159702	12.3486058	11.5533267	2.0609859	0.50684	0.368957	5.059669	1.476727	2.5736502	1.2619785	21.9608308	1.2428683	1.2334413	0.0761035	16.6715478	14.4026696	17.3781643	3.2900367	2.385359	10.5381192	6.6394754	3.3973905	37.6326951	0.2272788	3.4564908	0.129534	2.3492016
M00003	19.9833682	3.522622	0.378228	16.7373428	0.307377	160.005965	0.376068	33.046476	1.4385143	35.6211142	40.7818696	1.2934793	13.00728	0	9.4290664	11.0967668	0	105.5063578	1.4893837	172.7615877	1.651331	0.680106	4.5485266	27.3469601	29.0665714	11.4951033	0	54.0779518	3.4933642	0.15083	4.4240138	3.7465815	27.8663371	14.9342096	1.8576075	2.6288858	17.0136562	21.13045	0.540912	22.0792916	68.9476586	16.3060653	1.918245	33.6411176	93.2405464	50.3009367	26.1363664	0.0819672	14.7338754	71.6891937	0	6.1721731	0.0754148	17.5887957	3.313596	205.4821193	0.231993	6.2193674	1.3969808	44.4736336	16.611811	38.619319	11.1642103	37.1110344	59.2858928	23.1782985	92.1019708	10.0374101	24.6843899	34.03151	0.135135	0	15.037858	0.962723	2.2978043	40.1350381	11.2318239	16.1882882	43.11182607	164.3241303	210.203139	148.336925	101.612219	74.7394564	53.2278744	111.8434405	117.4458003	44.2492154	32.310793	199.006884	75.6050081	49.7850598	37.9791035	90.33734688	7.7886368	1.542824	2.176291	15.2325399	2.3865306	6.2688152	3.4998028	106.0296911	4.0600393	5.046833	1.3554505	26.8969938	23.6093905	44.8579856	6.8561331	14.1040826	26.7034359	35.112568	8.2584563	187.188765	1.2691197	21.613353	0.129534	6.8086105
M00004	2.933167	0	0	0.899061	0	14.338535	0	0.181488	0	5.2471201	0.7363671	1.230159	0.57542858	0	0.4613321	0.530864	0	14.529768	0.571957	5.822489	0	0	0.216963	1.875385	4.545147	1.88189	0	2.738665	6.145811	0.588235	0.588235	0.286275	1.4109482	1.363675	0	0.238095	0.110454	0.769723	0	1.183453	6.815887	0.964762	1.18343	2.935444	13.94673	4.820052	2.61591	0	1.059835	1.05634	0	0.726812	0	0.459566	0	25.4177511	0	0.181488	0.248139	0.5153304	4.301956	2.749818	0.0907441	3.919811	3.63588	3.133909	12.1922495	1.652078	3.08159	1.356536	0	0	2.404976	0	0.591716	5.367104	4.5250414	1.5478921	8.8991296	8.9295271	18.625823	16.4239141	4.713754	5.4760822	4.802144	6.711807	17.669164	5.635949	3.3774893	12.134991	4.955054	2.9489681	6.106807	2.197176	0.124069	45.887299	1.20635	4.0177681	0.0589319	1.180814	0.892857	8.66576935	0.9836011	2.424241	8.49112	2.401591	3.805173	6.8141	2.419168	19.0326981	6.46739	3.988255	0.95069	9.163074	0	6.002824	0	0.372208
M00005	1.254033	0.380228	0	1.018843	0	20.4636309	0	0.569075	0	11.470961	2.017279	0.380228	0.924597	0	0.453739	2.97959	0	13.0358465	0.670469	22.898691	0.190114	0	0.760456	2.814048	4.256634	1.206591	0	1.9152612	0.190114	0.380228	0.380228	0.719086	1.062103	0.569075	0.380228	0.340938	1.910675	1.8319318	0	1.144487	10.128577	1.914017	0.59761	2.49198	13.9686	17.379048	1.490494	0.0798479	1.330078	3.348236	0	1.197424	0	2.263829	0.190114	16.12452	0	0.570342	0	4.095569	0.378961	1.424377	0.931118	1.694429	5.261777	6.35457	15.347281	1.9581776	6.352321	2.211449	0	0	3.15209	0	0.478535	2.0094536	1.376426	0.918556	2.484423	4.718635	9.3947551	19.790147	0.957064	6.3859658	2.391437	10.846069	8.5365884	1.970698	9.044573	12.735106	11.5673099	5.768011	2.934911	3.667516	0.56147	0.190114	0	4.56553	1.776103	2.611162	0.380228	6.767743	1.058302	0.380228	0.183777	1.901144	2.126691	5.58675	0.880177	0.9959729	3.704668	1.69455	0.190114	11.649498	0	13.265657	0	0.451204
M00007	2.933167	0	0	0.899061	0	13.41794	0	0.181488	0	4.9989811	0.7363671	1.230159	0.57542858	0	0.4613321	0.530864	0	13.912484	0.571957	5.822489	0	0	0.216963	1.875385	4.545147	1.88189	0	2.738665	6.145811	0.588235	0.588235	0.286275	1.3456049	1.363675	0	0.238095	0.110454	0.769723	0	1.183453	6.071701	0.647971	1.18343	2.935444	13.94673	4.820052	2.61591	0	1.059835	1.05634	0	0.726812	0	0.459566	0	14.4365511	0	0.181488	0	0.5153304	4.301956	2.749818	0.0907441	3.919811	3.63588	3.133909	11.864706	1.652078	3.08159	1.356536	0	0	1.53649	0	0.591716	5.367104	4.5250414	1.5478921	8.4670306	6.9623951	15.455276	14.6110411	3.676533	3.363958	4.678075	4.040034	17.669164	5.635949	3.1293513	10.838051	4.566165	2.9489681	4.496968	0.591716	0	45.76323	1.20635	4.0177681	0.0589319	1.180814	0.892857	5.88081935	0.9836011	2.052033	8.49112	2.401591	3.805173	6.8141	1.710318	19.0326981	6.46739	3.988255	0.95069	7.68086	0	3.906874	0	0
M00009	17.81521	2.3433212	0	13.7310201	4.31876	159.0599403	1.14249	22.8233911	0.756024	53.8475669	32.15145841	5.0692032	10.2819651	0.355872	15.4122655	16.3405766	0	144.6574801	4.4876262	201.9031749	1.360884	0.27758	3.7194932	18.4376942	31.7314502	8.8695604	0.100402	22.7389374	2.985202	0.076594	5.7067226	3.871407	27.3931324	20.3530454	1.13995	3.6104725	14.7946632	27.0587501	0	16.0004953	122.53075	6.5861276	0	27.1585733	130.1567762	28.1263863	26.00708406	0	9.6759903	37.53739582	0	3.040583	0.4818083	9.1210036	3.7311297	101.9659202	0.940671	4.2464617	0.7438133	49.5201472	19.0135015	8.2075633	7.0843331	38.6630601	49.3390759	68.0384827	26.2022113	17.4908185	62.9178623	16.6364262	0	0	3.413576	0.508693	0.938285	71.4441373	28.1185909	8.202521	60.3090888	115.0170382	173.9961097	316.6498224	21.328039	97.8571171	60.1022554	93.3123523	147.6142416	75.3294022	17.3221104	170.587346	46.3628204	17.8504808	18.69	6.5683559	10.58184	1.868185	0.246305	10.324198	1.331336	4.791787	1.0246261	77.9975792	8.530038	3.134773	0	14.5584419	23.6434449	39.31686476	15.4184065	7.3124049	19.041795	20.9654663	4.2986573	65.861188	0.0818331	12.2717115	0.191239	4.4362454
M00011	17.81521	2.3433212	0	13.7310201	4.31876	159.0599403	1.14249	22.8233911	0.756024	53.8475669	32.15145841	5.0692032	10.2819651	0.355872	15.4122655	16.3405766	0	144.6574801	4.4876262	201.9031749	1.360884	0.27758	3.7194932	18.4376942	31.7314502	8.8695604	0.100402	22.7389374	2.985202	0.076594	5.7067226	3.871407	27.3931324	20.3530454	1.13995	3.6104725	14.7946632	27.0587501	0	16.0004953	122.53075	6.5861276	0	27.1585733	130.1567762	28.1263863	26.00708406	0	9.6759903	37.53739582	0	3.040583	0.4818083	9.1210036	3.7311297	101.9659202	0.940671	4.2464617	0.7438133	49.5201472	19.0135015	8.2075633	7.0843331	38.6630601	49.3390759	68.0384827	26.2022113	17.4908185	62.9178623	16.6364262	0	0	3.413576	0.508693	0.938285	71.4441373	28.1185909	8.202521	60.3090888	115.0170382	173.9961097	316.6498224	21.328039	97.8571171	60.1022554	93.3123523	147.6142416	75.3294022	17.3221104	170.587346	46.3628204	17.8504808	18.69	6.5683559	10.58184	1.868185	0.246305	10.324198	1.331336	4.791787	1.0246261	77.9975792	8.530038	3.134773	0	14.5584419	23.6434449	39.31686476	15.4184065	7.3124049	19.041795	20.9654663	4.2986573	65.861188	0.0818331	12.2717115	0.191239	4.4362454
M00012	0.729167	0.217391	0	0.512456	0.239234	32.881257	0	3.799904	0.177936	9.998637	3.277345	1.679718	1.559905	0.355872	6.264532	5.390593	0	23.622929	1.323822	20.221057	0.177936	0.27758	0	4.198328	1.413761	1.238496	0	1.376038	0.26809	0	0.821053	0.460261	5.209285	5.298821	0	1.112494	3.708187	4.803763	0	4.78383	30.444755	0.46382	0	12.962209	23.726816	3.5658119	4.678068	0	3.903373	9.623429	0	1.629894	0	0.355872	1.354995	38.168094	0.712039	0.967972	0	5.275357	4.062145	4.478471	2.352101	8.7778573	11.950182	39.488817	2.430602	0.6391169	11.549739	2.84223	0	0	0.729927	0.335706	0.507711	11.7091605	2.703441	0.807492	12.242335	39.57706	22.097049	45.389062	3.176752	20.638312	15.195075	30.379794	19.401115	8.490371	6.134738	27.621595	9.121227	3.2981054	2.9146228	1.744741	0.865955	0.974371	0	4.200896	0.177936	0.509206	0.177936	20.014588	0.355872	0	0	1.4039069	2.959635	9.44855196	2.90131	1.406245	1.275207	3.274712	1.562278	10.435462	0	3.512655	0	0.109134
M00014	1.1633	0.4704004	0	0	0	10.8325922	0	0	0	11.033158	3.22412	0.405405	1.260247	0	0	0.135135	0	7.855504	0.312441	23.6335661	0.135135	0	0.405405	2.083231	2.02758	1.169603	0	4.896119	1.06838	0	0	0.409546	1.872072	0.135135	0	0	1.754051	1.531288	0	1.276025	5.5940697	0.477477	0	1.653508	17.919337	1.917514	1.806705	0	1.2032427	0.33599	0	0	0	0.7900896	0	4.1702155	0.135135	0.405405	0	1.187387	0.54054	0.236036	0.6292645	2.512786	11.0261449	0.893694	5.7869252	0.135135	1.3281667	0.371171	0	0	3	0	0	7.748457	0.606066	0.488086	3.573064	14.042876	12.588267	13.2113521	0.6900901	4.327824	3.2989399	8.451682	12.486317	1.567046	1.330209	7.3266371	4.655573	3.358614	5.177088	0.7414418	1.257037	0.2773561	0	0.795202	0	0.648822	0	18.408982	0.141074	0.2324323	0	1.402752	1.843266	6.930607	1.246692	0.588207	14.41907	6.538657	1.17207	10.407662	0	1.5638266	0	0.135135
