#SampleID	002VWWX	004AWZY	004VWZY	006VHQK	027VYMX	031VPYH	036AXHM	036VXHM	040VYDY	047VLRL	083AYGC	083VYGC	086VHXM	110VZSZ	149VYYD	153VWG	155VCHJ	173VHJW	174LBQA	180VHMQ	189VXZJ	195VXXY	199VOZQ	206ZFDA	215ATKH	215VTKH	220VDXP	227AZMH	227VZMH	230VLSH	235VDBJ	243AHZH	243VHZH	287DJQA	309VHJD	322VCHL	325ALRY	325VLRY	331ALDY	331VLDY	342VCSL	347APZL	347VPZL	348VYQM	350VLYY	351AZDY	351VZDY	353VGSZ	354VPYM	357VLTS	358AWXC	358VWXC	359VYSH	361ATLX	361VTLX	362VLBJ	363VLH	364VCZ	366VZMY	367VWSY	370VLZW	371VTYJ	372VJHK	373VHXR	376VYKZ	377VHWH	379ALJJ	379VLJJ	384VCZL	388DHLA	388VDHL	390VNFD	392VWLL	393VZLH	395VGSQ	C001CJB	C002HHP	C003XYQ	C006LYH	C007XXZ	C008QLX	C009HHY	C010WL	C013MJH	C014LWG	C017YYM	C018LJP	C020LBJ	C022SMR	C024XHR	C025PCY	C026CBR	C031CQS	C034LJ	LR200116-0001	LR200116-0002_L4_1000002	LR200116-0003_L1_1000787	LR200116-0004_L1_1000734	LR200116-0005_L1_1000735	LR200116-0006_L1_1000736	LR200116-0008_L1_1000738	LR200116-0009_L1_1000739	LR200116-0010	LR200116-0011	LR200116-0012_L4_1000742	LR200116-0013_L1_1000743	LR200116-0014_L4_1000788	LR200116-0015_L4_1000789	LR200116-0016_L4_1000953	LR200116-0017_L4_1000954	LR200116-0018_L1_1000955	LR200116-0019_L1_1000956	LR200116-0020_L1_1000916	LR200116-0021_L1_1000957	LR200116-0023_L1_1001357	LR200116-0024_L1_1001404	LR200212-0001	LR200212-0002
M00001	0.397878	0	1.060124	0	6.8108064	0	0	11.907916	0	0	0	5.944437	15.1745497	0	1.071916	0	0	0	0	0	1.125045	0.265252	0	0.536633	0	0.66313	0	0	4.798889	0.772866	0	0	2.003965	0.132626	2.19717	3.300948	0.516408	0	0	1.87752	0.11655	0	0.795756	14.990433	0	0	0	0	0	0	0	18.6822301	0	0.255102	1.656355	0	0	0	0	1.37594	2.862334	0.113174	0	10.386142	0.255102	2.783369	0	0.162429	0	0.10049	2.778272	0.495137	6.6906066	0	2.405477	2.005512	0	0	0.374809	0.255102	0.0745921	1.101224	0.382626	1.521916	4.827109	15.654823	1.149287	0.6635081	0	2.7803151	0.397878	0.249176	0	0	0	0	0	0	0	0	0	7.141351	0	0	0	0	0	0	0.348873	0	0	0	0	0.265252	0	0	0	0
M00002	0.397878	0	1.060124	0	6.8108064	0	0	11.564001	0	0	0	5.532349	15.1745497	0	1.071916	0	0	0	0	0	1.125045	0.265252	0	0.34748	0	0.66313	0	0	4.798889	0.772866	0	0	2.003965	0.132626	2.19717	3.300948	0.516408	0	0	1.053345	0.11655	0	0.795756	14.740433	0	0	0	0	0	0	0	17.8747411	0	0.255102	1.656355	0	0	0	0	0.37594	2.862334	0.113174	0	10.386142	0.255102	2.783369	0	0.162429	0	0.10049	2.778272	0.495137	6.6906066	0	2.405477	1.796307	0	0	0.374809	0.255102	0.0745921	0.887549	0.132626	1.323503	4.613434	12.109989	0.753454	0.592283	0	2.7803151	0.397878	0.249176	0	0	0	0	0	0	0	0	0	6.301912	0	0	0	0	0	0	0.348873	0	0	0	0	0.265252	0	0	0	0
M00003	0.397878	0	1.060124	0	10.4658238	0	0	12.004918	0	0	0	5.6464	15.5272837	0	1.7981944	0.26455	0	0	0	0	1.125045	0.265252	0	0.4356634	0	1.617862	0	0	4.8870724	0.772866	0	0	2.003965	0.132626	2.19717	3.300948	0.516408	0	0	1.229712	0.11655	0	0.795756	15.004983	0	0	0	0	0	0	0	18.6472281	0.0881834	0.255102	1.656355	0	0	0	0	0.37594	2.862334	0.113174	0	9.956267	0.255102	3.6951862	0	0.162429	0	0.10049	2.778272	0.495137	6.6906066	0	2.405477	2.1443377	0	0	0.565285	0.255102	0.0745921	0.9757324	0.132626	1.584526	4.819195	21.6722448	0.8416374	1.2965742	0	3.4775523	0.7506114	0.5137264	0	0	0	0	0	0	0	0	0	6.301912	0	0	0	0.0881834	0	0	0.4370564	0	0	0	0	0.265252	0	0	0	0
M00004	0	0	0	0	0	0	0	0.33743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.797387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214592	0	0.0768049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0768049	0.0768049	0	0	0.24	0	0.962963	0.2913969	0	0.1536098	0.3150021	4.203436	0	1.132208	0.107296	1.2897939	0.294592	0	0	0	0	0	0	0	0	0	0	1.426446	0	0	0	0	0	0.0768049	0	0	0.384025	0	0	0.107296	0	0.0496672	0	0.107296
M00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.643777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.962963	0.214592	0	0	0.2381972	1.702391	0	0.251256	0.107296	1.212989	0.214592	0	0	0	0	0	0	0	0	0	0	0.743113	0	0	0	0	0	0	0	0	0	0	0	0.107296	0	0	0	0.107296
M00007	0	0	0	0	0	0	0	0.33743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0768049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0768049	0.0768049	0	0	0.24	0	0	0.0768049	0	0.1536098	0.0768049	2.501045	0	0.880952	0	0.0768049	0.08	0	0	0	0	0	0	0	0	0	0	0.683333	0	0	0	0	0	0.0768049	0	0	0.384025	0	0	0	0	0.0496672	0	0
M00008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.643777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.962963	0.214592	0	0	0.2381972	1.702391	0	0.251256	0.107296	1.212989	0.214592	0	0	0	0	0	0	0	0	0	0	0.743113	0	0	0	0	0	0	0	0	0	0	0	0.107296	0	0	0	0.107296
M00009	0.380343	0	0	0	5.8945636	0	0	2.092102	0	0	0	0.874983	1.004695	0	0.4189212	0	0	0	0	0	0	0.173762	0	0.0424809	0	0.0968992	0	0	0.370459	0.4062952	0	0	0	0	0	0	0	0.443662	0	0.123631	0.0483559	0	0	2.5927518	0	0	0.0967118	0	0	0	0	2.25445	0.3445214	0	0.13369	0.00371747	0	0	0	0.823557	0.3594248	0	0	1.5738464	0.119332	0.3099464	0	0.0968992	0	0.119332	0	0.988793	0	0	0.042517	0.7742131	0.0526642	0.339593	0.541573	0.1489695	0.2281748	0.2772229	0	3.4957578	1.8137452	36.1259442	0.2660586	1.7518564	0.185874	0.976184	0.1876338	0.2867348	0	0	0	0	0	0	0	0	0	1.763831	0	0	0	0	0	0	0.0929368	0	0	0.3934754	0	1.2178454	0	0.280817	0	0
M00011	0.380343	0	0	0	5.8945636	0	0	2.092102	0	0	0	0.874983	1.004695	0	0.4189212	0	0	0	0	0	0	0.173762	0	0.0424809	0	0.0968992	0	0	0.370459	0.4062952	0	0	0	0	0	0	0	0.443662	0	0.123631	0.0483559	0	0	2.5927518	0	0	0.0967118	0	0	0	0	2.25445	0.3445214	0	0.13369	0.00371747	0	0	0	0.823557	0.3594248	0	0	1.5738464	0.119332	0.3099464	0	0.0968992	0	0.119332	0	0.988793	0	0	0.042517	0.7742131	0.0526642	0.339593	0.541573	0.1489695	0.2281748	0.2772229	0	3.4957578	1.8137452	36.1259442	0.2660586	1.7518564	0.185874	0.976184	0.1876338	0.2867348	0	0	0	0	0	0	0	0	0	1.763831	0	0	0	0	0	0	0.0929368	0	0	0.3934754	0	1.2178454	0	0.280817	0	0
M00012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00016	0	0	0	0	5.552854	0	0.236967	0	0	0	0	1.422392	1.311707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151515	0.19084	0	0	0.847328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.381679	0.322581	0	0	0	0	0	0	0	0.342355	0	0	2.440935	0	0.342355	0	0	0	0	0	0	0	2.24506	0.669211	0	0	0	0.236967	0	0	0.151515	0	0.151515	0.19084	4.641082	0.122137	1.9317489	0.0959596	0.19084	0.3336591	0	0	0	0	0	0	0	0	0	0	1.7236505	0	0	0	0.151515	0	0	0	0	0	0	0	0	0	0.0555556	0	0
M00017	0	0	0	0	4.169771	0	0.236967	0	0	0	0	0.564972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151515	0.552707	0	0	0.2849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2849	0	0	0	0	0	0	0	0.293965	0	0	2.440935	0	0.151515	0	0.286959	0	0	0	0	0	2.24506	0	0	0	0	0.236967	0	0	0.389882	0	0.151515	0.283951	4.3592964	0	2.037369	0.0959596	1.134417	0.379417	0.282486	0	0	0	0	0	0	0	0	0	1.838252	0	0	0	0.151515	0	0	0	0	0	0	0	0.0265907	0	0.0555556	0	0
M00018	0	0	0	0	3.742421	0	0.236967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151515	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151515	0	0	2.440935	0	0.151515	0	0	0	0	0	0	0	2.24506	0	0	0	0	0.236967	0	0	0.151515	0	0.151515	0	4.101061	0	1.89286	0.0959596	0	0.236967	0	0	0	0	0	0	0	0	0	0	1.658765	0	0	0	0.151515	0	0	0	0	0	0	0	0	0	0.0555556	0	0
M00019	0	0	0	0	2.2851177	0	0	0	0	0	0	0.258997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.495275	0	0	0	0	0	0	0	0	0	0.0884956	0	0	0.129794	0	0	0	0	0	0	0	0	0.540541	0.1794047	0	0	0	0	0	0	0	0.550125	0	0	0.438095	0	0.0387175	0	0	0.192308	0	0	0	0	0.0884956	0	0.0884956	0	0	0.339716	0	0	1.150489	0	0.4899275	0.9911461	15.3471532	0	0.3374677	0	1.2132865	0.0907441	0.146624	0	0	0	0	0	0	0	0	0	2.163742	0	0	0	0	0	0	0	0	0	0	0	0.0884956	0	0	0.176991	0
M00022	0	0	0	0	1.45679	0	0	0.246914	0	0	0	0.0576132	0.446936	0	0.123457	0	0	0	0	0	0.3101046	0	0	0	0	0.176678	0	0.122549	0	0.123457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246091	0	0	0	0	0	0	0	0.224215	0	0	0.2181072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0452675	0.123457	0	0.123457	0.428937	1.123457	0.661606	9.8634732	0	0.3193419	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08151	0.306748	0	0	0	0	0	0	0	3.100231	0.123457	0.460122	0	0.704918	0	0.153374	0
M00023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0595483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205338	1.370187	0	0	0.12285	0.308008	0	0.102669	0	0	0	0	0	0	0	0	0	0.614251	0	0	0	0	0	0	0	0	0	0.339076	0	0.205339	0	0.118203	0	0
M00026	0	0	0	0	2.017316	0	0	0.330128	0	0	0	0.681818	0	0	0.334921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129808	0	0	0	0	0	0	0	0	0	0	0.240385	0	0	0	0	0.245098	0	0	0.234848	0.245098	0	1.677031	0	0	0	1.210782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252525	0
M00027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4232286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.292969	0.0268817	0	0	0	0.169492	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093414	0	0.0992064	0	0.426916	0	0
M00032	0	0	0	0	0.459737	0	0	0.547348	0	0	0	0.1847362	0	0	0.0626058	0	0	0	0	0	0	0.173762	0	0.0424809	0	0.0968992	0	0	0.370459	0.1715532	0	0	0	0	0	0	0	0	0	0	0.0483559	0	0	0.42517	0	0	0.0967118	0	0	0	0	0.508051	0.0487114	0	0.13369	0	0	0	0	0	0.031746	0	0	0.2294824	0	0.1038734	0	0.0968992	0	0	0	0	0	0	0.042517	0.3845929	0	0	0.076784	0	0.0423012	0.0424809	0	0.511926	1.2780989	5.8336574	0.094697	1.0960629	0	0.829344	0.094697	0.193798	0	0	0	0	0	0	0	0	0	0.382653	0	0	0	0	0	0	0	0	0	0.0424809	0	0.1659516	0	0.127443	0	0
M00033	0	0	0	0	3.742421	0	0.236967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151515	0	0	2.440935	0	0.151515	0	0	0	0	0	0	0	2.24506	0	0	0	0	0.236967	0	0	0.151515	0	0.151515	0	3.05389	0	1.89286	0.0959596	0	0.236967	0	0	0	0	0	0	0	0	0	0	1.658765	0	0	0	0.151515	0	0	0	0	0	0	0	0	0	0.0555556	0	0
M00034	0	0	0	0	0.2642049	0	0	0.142045	0	0	0	0.568181	1.42045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142045	0.284091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142045	0	0	0	0	0.411932	0	0	0	0	0	0	0	0	0	0	0	0.426136	0	0.340136	0	0	0	0	0	0	0	0	0	0	0	1	0.170068	0	0	0.683712	0	0.284091	0.142045	9.071363	0.315378	0.428599	0	0.28409	0	0.170068	0	0	0	0	0	0	0	0	0	0.544508	0	0	0	0	0	0	0	0	0	0.144509	0	0.284091	0	0	0	0
M00035	0	0	0	0	0.2642049	0	0	0.398455	0	0	0	0.568181	1.42045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142045	0.284091	0	0	0	0	0	0	0	0	0	0	0.0529915	0	0	0	0	0	0.142045	0	0	0	0	0.411932	0	0	0	0	0	0	0	0	0	0	0	0.541521	0	0.340136	0	0	0	0	0	0	0	0	0	0	0	1	0.170068	0	0	0.811917	0	0.284091	0.27025	12.861957	0.315378	0.428599	0	1.14838	0	1.054422	0	0	0	0	0	0	0	0	0	0.544508	0	0	0	0.128205	0	0	0	0.128205	0	0.144509	0	0.284091	0	0	0	0
M00036	0	0	0	0	0.292194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.313787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.373134	0	0	0.438095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158228	0	0	0.52488	0	0	0.278687	3.9526894	0	0.158228	0	0.373134	0	0.146624	0	0	0	0	0	0	0	0	0	0.86214	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153374	0	0
M00048	0.270624	0	0	0	0.0803419	0	0	0.428356	0	0	0	0.093633	0.176991	0	0	0.153392	0	0	0	0	0	0	0	0	0	0	0	0	0.19305	0.3003	0	0	0	0	0	0.176991	0	0	0	0	0	0	0	3.254817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.312169	0	0.657895	0	0	0.428356	0	0	0	0.792475	0	0	0.2418477	0	0	0.275339	0	0.92517	0	0	2.268994	1.877452	18.030339	0	0.868265	0.497399	1.1525366	1.9573866	0	0	0	0	0	0	0	0	0	0	1.884526	0	0	0	0	0	0	0	0	0.0884956	0.546122	0	0.0875955	0	0	0	0
M00049	0	0	0	0	0.507246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47126	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.782609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00050	0	0	0	0	0.744819	0	0	0	0	0	0	0.438596	2.219298	0	0.109649	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0.1396198	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96878	0	0	0	1.24242	0	0	0	0	0	0	0	0	0	0	0	0	17.9394	0	0	0.782609	0	0	0	0	0	0	0	0	7.66667	0	4.9697	0.219298	0	0	0	0	0	0	1	0.219298	0.547514	9.761503	0	0.286864	0	0.484649	0.694444	0	0	0	0	0	0	0	0	0	0	0.160819	0	0	0	0.328947	0	0	0	0	0	0	0	0	0	0	0	0
