#SampleID	002VWWX	004AWZY	004VWZY	006VHQK	027VYMX	031VPYH	036AXHM	036VXHM	040VYDY	047VLRL	083AYGC	083VYGC	086VHXM	110VZSZ	149VYYD	153VWG	155VCHJ	173VHJW	174LBQA	180VHMQ	189VXZJ	195VXXY	199VOZQ	206ZFDA	215ATKH	215VTKH	220VDXP	227AZMH	227VZMH	230VLSH	235VDBJ	243AHZH	243VHZH	287DJQA	309VHJD	322VCHL	325ALRY	325VLRY	331ALDY	331VLDY	342VCSL	347APZL	347VPZL	348VYQM	350VLYY	351AZDY	351VZDY	353VGSZ	354VPYM	357VLTS	358AWXC	358VWXC	359VYSH	361ATLX	361VTLX	362VLBJ	363VLH	364VCZ	366VZMY	367VWSY	370VLZW	371VTYJ	372VJHK	373VHXR	376VYKZ	377VHWH	379ALJJ	379VLJJ	384VCZL	388DHLA	388VDHL	390VNFD	392VWLL	393VZLH	395VGSQ	C001CJB	C002HHP	C003XYQ	C006LYH	C007XXZ	C008QLX	C009HHY	C010WL	C013MJH	C014LWG	C017YYM	C018LJP	C020LBJ	C022SMR	C024XHR	C025PCY	C026CBR	C031CQS	C034LJ	LR200116-0001	LR200116-0002_L4_1000002	LR200116-0003_L1_1000787	LR200116-0004_L1_1000734	LR200116-0005_L1_1000735	LR200116-0006_L1_1000736	LR200116-0008_L1_1000738	LR200116-0009_L1_1000739	LR200116-0010	LR200116-0011	LR200116-0012_L4_1000742	LR200116-0013_L1_1000743	LR200116-0014_L4_1000788	LR200116-0015_L4_1000789	LR200116-0016_L4_1000953	LR200116-0017_L4_1000954	LR200116-0018_L1_1000955	LR200116-0019_L1_1000956	LR200116-0020_L1_1000916	LR200116-0021_L1_1000957	LR200116-0023_L1_1001357	LR200116-0024_L1_1001404	LR200212-0001	LR200212-0002
K00951	0	0.125313	0	0.137741	0	0.2379856	0	1.08178	0	0	0.7059097	2.002907	0.430416	0	0.899651	0	0	0	0	0	0.388192	0	0	0.274564	0	0.434783	0	0.5949618	1.961604	0	0	0.211864	0	0	0	0.250627	0.325207	0	0	0.745098	0	1.268146	7.178757	0.321199	2.236291	0.275482	0.1707317	0	0.324638	0.3249868	0	5.395278	0	0.982811	1.443453	3.118149	0	0.578255	0.2663797	0.137741	0.434783	0.355336	0.549042	1.13652	0	2.641349	0.805583	0.817398	0	0.143472	0	0	9.558409	0.542194	1.236719	0.792813	0	0.211864	0.560552	0.905791	0.353419	0	0.321199	0.662781	0.071736	0.9129403	0.275482	0	0.071736	0.756576	0.071736	0.424739	0	4.501126	0	0	0	0	0	0	0	5.009535	0	0.476365	0	0.112948	0	0.2396258	0.197049	0	0.071736	0	0.071736	1.948531	0	1.362926	0	0.367647
K00574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09824	0	0	0	0	0.381865	1.34387	0	2.1323601	0	0.18797	1.239063	0.159946	0	0	0	0	0	1.489224	0	0.377364	0	0	0	0.383142	0.375	0	0	0.3923902	0.188679	0	0	0	0	0	0	0.381679	1.040252	0	0	0	0	0.568198	2.796227	0.472574	0	0.737967	0.366279	0	0	0	0	1.093082	0	0	0.378073	0.188679	0	0	0	0	0.724011	0	0	0	0	1.226517	1.531811	0	0.695844	0	0	0	2.23199	0	0.741995	1.319041	0.466315	0	0.361215	0	0	0	0.306918	0.495597	0.162338	1.0918103	0.0710195	0	0	0.426	0.319497	0.316348	0.566925	0.838979	0	0	0	0	0	0	0	8.657128	0	0	0	0.170676	0	0	0.376649	0.350427	0	0	0	0.586164	0	0.339171	0	0
K04758	3.777211	0.728395	0	0	0	5.13605	0	4.23406	0	0.702381	4.672779	1.40476	0.690476	0	5.558399	0	0	6.206921	1.2716	0	0.863946	0	0	1.601159	3.683047	0	0	4.448975	0.380952	0	0	0.428571	0.728395	1.7619	0	0.77551	3.760395	0	0	1.4251682	0.753086	5.48299	3.20408	5.761906	0	3.82313	0.47619	0	2.33333	2.413643	0	8.38095	0	3.55952	0	7.52381	0	0	2.82143	1.19753	2.62585	6.38095	1.88889	7.13139	1	7.47014	8.35903	0.571429	0	0	0	0	19.4898	0	3.702376	7.949922	1.92517	3.75309	2	0	0	0.856891	1.40136	4.68197	1	12.872375	0	0	0	1.7381	0.340136	1.36054	1.23129	14.882058	0	0	0	0	0	0	0	10.15646	0.340136	0	0	0.653061	0.607143	4.04938	2.414462	1	0	0	0	2.53061	0	1.733182	0	0.857143
K09775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06281	0	0	0	0	0	1.1764544	0	1.310798	0	0.684932	3.276248	1.936074	0.744863	0	0	0	0	0.735294	2.415605	0.171233	0.171233	1.027397	2.935919	2.50926	0.735294	0.509133	0	0.865868	1.849312	0	0	0.351852	0.0998858	0	0	0.0153846	2.300782	0.3687214	0.0839041	3.751901	0	0.4200914	3.185355	2.351392	0	0.367647	0.0799067	0	0	0.770548	0	15.843756	0.2745054	0.0856164	0.837516	3.931055	0	1.93234	0.279224	1.15207	0	0.256279	0	0.7728644	0	0	1.369292	0.455479	0	0.513698	0	0	5.696234	0	3.059086	1.86111	0	1.76852	0	0.2916664	0.601466	0.195205	0.640775	2.329909	0.6846867	3.72469	0	0	1.402397	1.061644	0.0856164	0.171233	0.428082	4.748289	0	0	0	0	0	0.171233	0	21.4775871	0	0.295157	0	0	0	1.13825	0.591615	0	0	0.3722054	0.1897756	5.9759749	0	0.376638	0	0.301205
K04759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01246	0	0	0	0	0	0	0	0.837554	0	0	1.201338	0.86842	0	0	0	0	0	0.16886	0.274123	0	0	0	0.635965	1.7236843	0.0175439	0	0	0.333333	0	0	0	0	0	0.323877	0	0	0	0	0	0	0	0	0	1.31111	0.219298	0.702081	0	0	0.221491	0	0	0.928889	0	0	0	0.666666	0.211111	0	0	0	0.631579	0	0	0	1.32675	0.141243	1.021215	0	0	0	0	0	1.161542	0	1.09556	0.328947	0	0.328947	0.777204	0	0	0.608599	0.322222	0	0	2.237471	0	0	1	0.333333	0	0.248889	0.584541	1.352193	0	0	0	0	0	0	0	3.455145	0	0.333333	0	0	0	0.308889	0	0	0.423729	0	0	0.211111	0	0.333333	0	0
K06967	0	0	0	0	0	0	0	0.256014	0	0	0.621993	0.891753	0.132302	0	0	0	0	0	0	0	0.406504	0	0	0	0	0	0	0.256014	0.304233	0	0	0	0	0	0	0	0	0	0	0	0	0.182131	0	0	0	0	0.256014	0	0	0	0	0	0.256014	0	0	0.662518	0	0	0	0	0	0	0	0	0	0	0.256014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256014	0	0.390625	0	0	0	0.256014	0	0	0	0.256014	0	0	0	0	0	0	0	0.256014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.77778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.865248	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K13789	0	0	0	0.0249042	2.08642	0	0	0.78738	0	0.227709	1.399177	2.685696	0.617284	0	0.193416	0	0	0.9519893	0.300412	0	0	0	0	0.617284	0.205761	0	0	0.761317	1.028806	0	0.389575	0	0	0	0	0	0.411522	0	0	0.758573	0	0.500686	0.411523	0.775819	0.629913	2.303358	0.246914	0	0.277778	0.514403	0	3.904225	0.194787	0	1.624638	2.3100108	0	0.411522	0	0.205761	3.852583	1.261293	0	0.411523	0.438957	1.44033	2.5857079	0	0	0	0.101533	0	0.411523	0	0.295858	2.5377262	0.205761	1.025163	2.175157	0.524005	0.611796	0.493117	0.707381	0.6982165	0.410151	4.90592	0.112861	0	0	0	0.674897	0.304878	0.8137944	2.398397	0	0	0	0	0	0	0	2.8451715	0	0	0	0	0	0	1.2894378	0.205761	1.471519	0.411522	0.20439	1.39019	0	0.470523	0	0.285714
K01154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.316402	0	0
