#SampleID	002VWWX	004AWZY	004VWZY	006VHQK	027VYMX	031VPYH	036AXHM	036VXHM	040VYDY	047VLRL	083AYGC	083VYGC	086VHXM	110VZSZ	149VYYD	153VWG	155VCHJ	173VHJW	174LBQA	180VHMQ	189VXZJ	195VXXY	199VOZQ	206ZFDA	215ATKH	215VTKH	220VDXP	227AZMH	227VZMH	230VLSH	235VDBJ	243AHZH	243VHZH	287DJQA	309VHJD	322VCHL	325ALRY	325VLRY	331ALDY	331VLDY	342VCSL	347APZL	347VPZL	348VYQM	350VLYY	351AZDY	351VZDY	353VGSZ	354VPYM	357VLTS	358AWXC	358VWXC	359VYSH	361ATLX	361VTLX	362VLBJ	363VLH	364VCZ	366VZMY	367VWSY	370VLZW	371VTYJ	372VJHK	373VHXR	376VYKZ	377VHWH	379ALJJ	379VLJJ	384VCZL	388DHLA	388VDHL	390VNFD	392VWLL	393VZLH	395VGSQ	C001CJB	C002HHP	C003XYQ	C006LYH	C007XXZ	C008QLX	C009HHY	C010WL	C013MJH	C014LWG	C017YYM	C018LJP	C020LBJ	C022SMR	C024XHR	C025PCY	C026CBR	C031CQS	C034LJ	LR200116-0001	LR200116-0002_L4_1000002	LR200116-0003_L1_1000787	LR200116-0004_L1_1000734	LR200116-0005_L1_1000735	LR200116-0006_L1_1000736	LR200116-0008_L1_1000738	LR200116-0009_L1_1000739	LR200116-0010	LR200116-0011	LR200116-0012_L4_1000742	LR200116-0013_L1_1000743	LR200116-0014_L4_1000788	LR200116-0015_L4_1000789	LR200116-0016_L4_1000953	LR200116-0017_L4_1000954	LR200116-0018_L1_1000955	LR200116-0019_L1_1000956	LR200116-0020_L1_1000916	LR200116-0021_L1_1000957	LR200116-0023_L1_1001357	LR200116-0024_L1_1001404	LR200212-0001	LR200212-0002
M00001	0.1965811	0.11655	0	0.257187	0	0.50831	0	6.635148	0	1.450985	2.485925	4.649792	0.886762	0	1.610732	0	0	0.982906	0.11655	0.147782	0.00653595	0	0.217865	0.716038	0.9324	0.409586	0	1.63291738	3.689329	0	0.227661	0	0.592074	0	1.07382	0.467865	2.7302281	0.0573711	0	2.950607	0.2331	1.4650575	1.766463	1.232125	0.4662	1.501943	0.4146034	0	0.283605	0.3423521	0	5.267705	0.0559441	0.2331	0.767385	3.436686	0	0.2331	0	0	0.770008	1.7993066	0	0.83692	1.199739	1.779332	4.203196	0.211329	0.42735	0.4662	0	0	9.615712	0.932401	3.486972	1.5507873	0	1.630148	3.880853	0.5613901	0.13253	1.082168	1.288816	1.768495	0.61703	11.4246797	0	0	1.039061	0.559897	0	1.178738	0.783133	10.964404	0	0	0	0	0	0	0.125	5.6979196	0	0	0	0.470588	0.11655	0.355872	1.282516	0	0.2877641	0.11655	0.11655	3.332896	0	0.866876	0	0.0831391
M00002	0	0	0	0	0	0.108932	0	0.390374	0	0.868235	1.140159	0.893376	0.886762	0	0.570328	0	0	0	0	0.108932	0.00653595	0	0.217865	0.366388	0	0.409586	0	0.83884538	2.199039	0	0	0	0	0	0	0.217865	0.695264	0.0573711	0	2.018206	0	0.8746905	1.640589	1.020004	0	0	0.4146034	0	0	0.287185	0	1.329786	0	0	0.534285	2.050516	0	0	0	0	0	0.0891266	0	0.21464	0.503546	0	0.637544	0.211329	0	0	0	0	3.743922	0	2.554571	0.5391323	0	0	1.045573	0.485244	0.13253	0	0	0.999264	0.26738	2.7094306	0	0	0.444753	0.326797	0	0.435729	0.666583	7.29561	0	0	0	0	0	0	0	2.5625296	0	0	0	0.470588	0	0	0.312139	0	0	0	0	2.499951	0	0.306748	0	0
M00003	0.3667818	0	0	0.608519	2.268528	3.1265098	0	6.831015	0	1.1500258	3.7777266	5.0284641	0.180527	0.192022	1.003009	0	0	2.223585	0.611624	0.505747	0.717191	1.063209	0	1.591624	2.277061	0.0216362	0	1.1770974	1.025996	0.201487	0	0	1.127545	0.0703178	0	0.20284	2.293624	0.729927	0	0.982003	0.10142	2.136023	0.20284	1.18525	0.730795	4.8088728	0.424525	0	1.956051	0.566612	0	4.933053	0.221239	0.6480924	0.285752	2.9381212	0	0.652335	0	0	3.477129	3.591876	0.1858205	3.338538	3.191264	3.329277	9.4810732	0.179587	0.709939	1.1965825	0	0	4.868012	1.4192	1.70091	2.118116	1.0208145	2.374979	16.490169	1.983465	0.89311	0.608519	0.726167	2.852407	0.9020393	27.0725303	0.18797	5.244523	1.9670487	1.404863	0.10142	2.197759	2.467591	7.292304	0.420168	0.20284	0	0.2400273	0.0736984	0.556803	0.970448	58.327487	0.40568	0.387953	0	1.1894378	0.19084	5.683373	1.784411	0.30426	4.6583067	1.8490716	1.889668	4.660276	0.10142	6.538319	0	0.5891197
M00004	0.1965811	0.11655	0	0.70297	0	1.54692	0	5.217565	0	1.306185	4.940443	6.734608	0	0	1.23865	0	0	1.280684	0.11655	0.03885	0.49505	0.526316	2.61863	0.34965	1.179925	0.218341	0	3.883416	2.553592	0	0.685556	0	0.592074	0	1.07382	0.738372	2.9375111	0	0	1.83158	0.2331	1.027048	5.366044	0.578933	0.4662	2.366037	0	0	0.546763	1.0279561	0	12.8123121	0.0559441	0.959416	0.5373306	6.3137	0	0.2331	0.371806	0.347619	0.770008	1.71018	0	3.951941	1.029526	2.090443	7.232415	1.43734	0.42735	1.058631	0	0	13.108868	0.932401	5.079604	1.011655	0.27933	2.261727	3.346144	0.6992971	0.677057	1.082168	1.382831	3.284455	0.567991	12.0381151	0	0	0.777794	0.2694036	0	0.8318008	0.665443	10.156557	0	0	0	0	0	0	0.471667	12.616537	0	0	0	0	0.11655	0	1.389337	0	0.0916861	0.11655	0.877234	2.722603	0	1.713652	0	0.0831391
M00005	2.626358	0.373134	0	0.866915	0	3.250758	0	4.0174096	0	0.932836	3.553638	4.686565	0.373134	0	1.359457	0.0335821	0	2.800997	0.13806	0.186567	0.969483	0	0	1.231344	0.574627	0	0	1.405473	2.191239	0	0	0	0.373134	0.0547264	0	0	1.322716	0	0.37189	2.0591847	0.373134	2.094527	7.857814	3.378102	1.43035	3.339554	0.186567	0	0.975124	0.743781	0	7.00804	0	0.559702	0.365672	5.697613	0	0.486318	0.19403	0	1.748751	4.318696	0	1.648009	1.38557	2.2102	5.288293	0.559701	0	0.190883	0	1.49129	8.348236	0	1.719848	2.56219	0.66791	1.08831	3.24005	0.353234	0.677861	0.543532	0.7982442	2.466379	1.434092	10.236353	0.185323	0	2.219638	0.594527	0.186567	0.7736312	1.426642	3.3245155	0	0	0	0	0	0	0.373134	7.477655	0	0.2674128	0	0.220149	0	2.32346	0.9264981	0.186567	0.687811	0.5217213	0.186567	5.756213	0	2.070892	0	0.186567
M00006	0	0	0	0.445783	0	0.495431	0	0	0	0	0.853566	0	0	0	0	0	0	0.297778	0	0	0.49505	0	0	0	0.247525	0	0	0.734324	0	0	0	0	0	0	0	0	0.247525	0	0	0	0	0	0	0	0	0.337778	0	0	0	0	0	4.0986631	0	0	0	1.717922	0	0	0.153465	0	0	0	0	0	0	0.311111	0.375502	0.438596	0	0	0	0	0.49505	0	1.356436	0	0	0	0	0.186469	0	0	0	1.323084	0	2.469255	0	0	0	0.0363036	0	0	0.445545	4.07921	0	0	0	0	0	0	0.346667	3.143563	0	0	0	0	0	0	0	0	0	0	0	0.351485	0	0	0	0
M00007	0	0	0	0	0	0.652111	0	0.218341	0	0.723435	2.741111	2.978192	0	0	0.198246	0	0	0	0	0	0	0.526316	2.61863	0	0	0.218341	0	2.35502	1.063302	0	0.457895	0	0	0	0	0.488372	0.655022	0	0	0.899179	0	0.436681	5.24017	0.366812	0	0.526316	0	0	0.263158	0.972789	0	4.77573	0	0.726316	0.3042306	3.209608	0	0	0.218341	0.347619	0	0	0	3.329661	0.333333	0	3.291261	0.998744	0	0.592431	0	0	6.742028	0	2.790767	0	0.27933	0.631579	0.510864	0.436682	0.677057	0	0.486172	1.19214	0.218341	0.978166	0	0	0.183486	0	0	0.0887918	0.103348	2.574627	0	0	0	0	0	0	0	6.337584	0	0	0	0	0	0	0.41896	0	0	0	0.760684	1.538173	0	1.349602	0	0
M00008	0	0	0	0.445783	0	0.495431	0	0	0	0	0.853566	0	0	0	0	0	0	0.297778	0	0	0.49505	0	0	0	0.247525	0	0	0.734324	0	0	0	0	0	0	0	0	0.247525	0	0	0	0	0	0	0	0	0.337778	0	0	0	0	0	4.0986631	0	0	0	1.717922	0	0	0.153465	0	0	0	0	0	0	0.311111	0.375502	0.438596	0	0	0	0	0.49505	0	1.356436	0	0	0	0	0.186469	0	0	0	1.323084	0	2.469255	0	0	0	0.0363036	0	0	0.445545	4.07921	0	0	0	0	0	0	0.346667	3.143563	0	0	0	0	0	0	0	0	0	0	0	0.351485	0	0	0	0
M00009	0.784314	0	0	0	0	1.4397307	0	6.853961	0	2.435689	3.2691812	2.814028	0.7104963	0	0	0.888889	0	0.225225	0.205333	0.567317	0.517921	0	1.15789	4.66665082	0	0	0	1.354853	5.6938365	0	0.374532	0	1.024631	0	0	0	1.4472944	0	0	3.107041	0	1.009917	8.773615	2.595731	0.472	0.0625	0.0962801	0	0.109409	0.59383	0	18.302069	0	0.592268	1.66031	7.2624909	0	2.066582	0.149189	0.328227	3.43961	1.4855195	0.174825	1.8453808	0.176	0	5.9362434	1.440674	0.443283	0.611259	0	0	9.731196	0	3.350027	0	0	0.109409	2.358863	1.1762924	1.1479056	1.7547013	1.661731	6.3922718	5.253392	21.923903	0.109649	0	3.6308474	4.433176	0.649631	0.6895305	7.235552	19.24822	0	0	0.093633	0.257976	0.262822	0.219298	0.174825	32.3193024	0.4345623	1.30598	0	0.126126	2.348098	1.5207299	1.3108451	0	0.272579	0.296803	0.328467	6.824228	0	7.599915	0	0.591782
M00011	0.784314	0	0	0	0	1.4397307	0	6.853961	0	2.435689	3.2691812	2.814028	0.7104963	0	0	0.888889	0	0.225225	0.205333	0.567317	0.517921	0	1.15789	4.66665082	0	0	0	1.354853	5.6938365	0	0.374532	0	1.024631	0	0	0	1.4472944	0	0	3.107041	0	1.009917	8.773615	2.595731	0.472	0.0625	0.0962801	0	0.109409	0.59383	0	18.302069	0	0.592268	1.66031	7.2624909	0	2.066582	0.149189	0.328227	3.43961	1.4855195	0.174825	1.8453808	0.176	0	5.9362434	1.440674	0.443283	0.611259	0	0	9.731196	0	3.350027	0	0	0.109409	2.358863	1.1762924	1.1479056	1.7547013	1.661731	6.3922718	5.253392	21.923903	0.109649	0	3.6308474	4.433176	0.649631	0.6895305	7.235552	19.24822	0	0	0.093633	0.257976	0.262822	0.219298	0.174825	32.3193024	0.4345623	1.30598	0	0.126126	2.348098	1.5207299	1.3108451	0	0.272579	0.296803	0.328467	6.824228	0	7.599915	0	0.591782
