#SampleID	002VWWX	004AWZY	004VWZY	006VHQK	027VYMX	031VPYH	036AXHM	036VXHM	040VYDY	047VLRL	083AYGC	083VYGC	086VHXM	110VZSZ	149VYYD	153VWG	155VCHJ	173VHJW	174LBQA	180VHMQ	189VXZJ	195VXXY	199VOZQ	206ZFDA	215ATKH	215VTKH	220VDXP	227AZMH	227VZMH	230VLSH	235VDBJ	243AHZH	243VHZH	287DJQA	309VHJD	322VCHL	325ALRY	325VLRY	331ALDY	331VLDY	342VCSL	347APZL	347VPZL	348VYQM	350VLYY	351AZDY	351VZDY	353VGSZ	354VPYM	357VLTS	358AWXC	358VWXC	359VYSH	361ATLX	361VTLX	362VLBJ	363VLH	364VCZ	366VZMY	367VWSY	370VLZW	371VTYJ	372VJHK	373VHXR	376VYKZ	377VHWH	379ALJJ	379VLJJ	384VCZL	388DHLA	388VDHL	390VNFD	392VWLL	393VZLH	395VGSQ	C001CJB	C002HHP	C003XYQ	C006LYH	C007XXZ	C008QLX	C009HHY	C010WL	C013MJH	C014LWG	C017YYM	C018LJP	C020LBJ	C022SMR	C024XHR	C025PCY	C026CBR	C031CQS	C034LJ	LR200116-0001	LR200116-0002_L4_1000002	LR200116-0003_L1_1000787	LR200116-0004_L1_1000734	LR200116-0005_L1_1000735	LR200116-0006_L1_1000736	LR200116-0008_L1_1000738	LR200116-0009_L1_1000739	LR200116-0010	LR200116-0011	LR200116-0012_L4_1000742	LR200116-0013_L1_1000743	LR200116-0014_L4_1000788	LR200116-0015_L4_1000789	LR200116-0016_L4_1000953	LR200116-0017_L4_1000954	LR200116-0018_L1_1000955	LR200116-0019_L1_1000956	LR200116-0020_L1_1000916	LR200116-0021_L1_1000957	LR200116-0023_L1_1001357	LR200116-0024_L1_1001404	LR200212-0001	LR200212-0002
K01698	0.181818	0	0	0.569415	0	0	0	3.818186	0	0.440613	0.181818	2.027962	0	0	0.2268061	0.17697	0	0.19151497	0	0	0	0	0	0	0.155152	0	0	0.375616	0.723636	0	0	0	0.181818	0.181818	0	0	0.153257	0	0	0.363636	0.193798	0	0	0	0	0.545455	0	0	0.181818	0	0	0.336244	0	0	0	0	0	0	0.346253	0	0.924939	0	0	0.346253	2.394542	0.181818	0.1606099	0.348659	0	0	0	0	0	0.775758	0.4163326	0.0472727	0	0.363636	0.469174	0	0	0	0	0.193798	0	3.411135	0	0	0.193798	0	0	0	0	0.486061	0	0	0	0	0	0	0	0	0	0	0	0.181818	0	0	0.498084	0	0.287273	0	0.181818	0	0	0	0	0
K00991	0.596491	0	0	0.526316	0	0	0	2.1155436	0	0	0	0	0	0	0.401754	0	0	0.289474	0	0.524938	0.263158	0	0	0.524938	0	0	0	0	0	0	0	0.26178	2.63158	0.26178	0	1.67797	0.26178	0	0	0	0.26178	0	0	0.721053	0.638596	2.013169	0.331588	0	0.524938	0	0	0	0	0.106457	0.115183	0.00526316	0	0	0	0	0.52007	0	0	0.91649	1.322348	0.978238	1.289474	2.095928	0.26178	0.263158	0	0	0	0	0	1.346736	0.265957	2.735466	2.865769	0.265957	0.757062	1.010471	0	0	0	2.659453	0.52356	0	0.26178	0.26178	0	0	0	0.5116655	0	0	0	0	0	0	0	0.919298	0	0	0	0	0.263158	0.1	0.789474	0.367647	0	0.265957	0	0	0	0.249123	0	0
K03763	0.0517052	0.0550055	0	0.0550055	0	0.301883	0	1.637224	0	0.195312	1.69626	0.0224387	0.2174632	0	0.0550055	0	0	0.2562042	0	0.088574	0	0	0	0.327274	0	0	0	0.2407007	0.4172542	0	0	0.174195	0.486566	0.1971257	0	0	0.154298	0	0	0.1368784	0	0.256262	0.1378359	0.4805375	0.607985	1.0948317	0	0	0.678178	0.428617	0	1.8828325	0	0	0.623524	0.4203865	0	0	0.3803586	0	1.2905134	0	0	0.110011	0	1.647667	0.1877222	0	0.0550055	0.0995228	0	0	1.222145	0	0.74993651	1.4574042	0	0.146536	0.044287	0.239599	0	0.366761	0	0.3350085	0	1.7990417	0	0	0.044287	0	0	0	0.123558	1.31037287	0	0	0	0.0992925	0	0	0.0550055	0.6054974	0	0	0	0	0	1.14286	0	0	0	0.102249	0.119904	0.3963246	0	0.271739	0	0.289017
K00764	0	0	0	0	0	0	0	0	0	0	0.374065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0764381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118203	0	0	0	0	0	0	0.0386131	0	0	0	0	0	0.0780142	0	0	0	0	0.55792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0630631	0	0	0	0
K01154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09861	0	0	0	0.248756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.984848	0	0	0	0	0	0	0	0	0	0	0	0	4.54545	0	0	0	0	0	0.721088	0	0	0	0	0	0.189055	1.413712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.248756	0	0	0	0	0	0	0	0	0	0	0	0.965986	0	0	0	0
K02501	0	0	0	0.218029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03495	0	0	0	0	1.04365	0	0	0	0	0	0	0	0	0	0	0	0	0.0970874	0	0	0	0	0	0	0	0	0	0.194175	0.485437	0	0	0	0	0	0	0	0.0970874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.194175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03737	0.803559	0	0	0.13624	0.723327	1.378624	0	0.271248	0	1.177809	1.580548	5.049472	0.723327	0	1.005541	0	0	0.361664	0.292398	0	0.866779	0.282139	0	0.513115	0.270645	0.0904159	0	0.990038	1.45656	0	0	0	0.361664	0	0	0.180832	0.625911	0.270645	0	0.437705	0	1.105389	1.081103	1.484643	0	0.584795	0	0	0.2184229	0.6470609	0	4.046072	0	0.302208	0.469899	2.999142	0	0.13624	0.455063	0.572207	0.23624	0	0.34664	2.736848	0	0.78371	2.947904	1.924755	0	0.170648	0	0	0.841668	0	0.408719	1.866618	0.128007	0.811332	2.0746336	0.781787	0.0904159	0.271248	0	0.391404	0.0862852	1.961875	0.271248	0.128007	0.2266559	0.265107	0.170648	0.128007	0.514605	1.612425	0	0	0	0.0904159	0.0904159	0.256873	0	6.105103	0.538012	0	0	0	0.170648	0.108077	1.297272	0	1.720193	1.54671	0.0904159	1.592813	0	0.113766	0	0.170648
K01989	0	0	0	0	0	0	0	0.539855	0	0	0.362319	2.913047	0	0	0	0	0.711111	0.713768	0	0	0	0	0	0.181159	0.181159	0	0	0	0	0	0	0	0	0	0	0	0.513889	0	0	0	0	0	0	0.569444	0	0.136473	0	0	0.833333	0.181159	0	0	0	0	0	1	0	0	0	0	0.566667	1.357629	0.382353	1.924819	0	0	0.362319	0.179952	0	0	0	0	0	0	0	1.090526	0	0.293963	0	0	0	0	0	0	0	2.425599	0	0	0	0	0	0.748031	0	0.181159	0.181159	0	0	0	0	0	0	0.493056	0	0	0	0	0	0	0	0.181159	0	0	0	0	0	0	0	0
