#SampleID	002VWWX	004AWZY	004VWZY	006VHQK	027VYMX	031VPYH	036AXHM	036VXHM	040VYDY	047VLRL	083AYGC	083VYGC	086VHXM	110VZSZ	149VYYD	153VWG	155VCHJ	173VHJW	174LBQA	180VHMQ	189VXZJ	195VXXY	199VOZQ	206ZFDA	215ATKH	215VTKH	220VDXP	227AZMH	227VZMH	230VLSH	235VDBJ	243AHZH	243VHZH	287DJQA	309VHJD	322VCHL	325ALRY	325VLRY	331ALDY	331VLDY	342VCSL	347APZL	347VPZL	348VYQM	350VLYY	351AZDY	351VZDY	353VGSZ	354VPYM	357VLTS	358AWXC	358VWXC	359VYSH	361ATLX	361VTLX	362VLBJ	363VLH	364VCZ	366VZMY	367VWSY	370VLZW	371VTYJ	372VJHK	373VHXR	376VYKZ	377VHWH	379ALJJ	379VLJJ	384VCZL	388DHLA	388VDHL	390VNFD	392VWLL	393VZLH	395VGSQ	C001CJB	C002HHP	C003XYQ	C006LYH	C007XXZ	C008QLX	C009HHY	C010WL	C013MJH	C014LWG	C017YYM	C018LJP	C020LBJ	C022SMR	C024XHR	C025PCY	C026CBR	C031CQS	C034LJ	LR200116-0001	LR200116-0002_L4_1000002	LR200116-0003_L1_1000787	LR200116-0004_L1_1000734	LR200116-0005_L1_1000735	LR200116-0006_L1_1000736	LR200116-0008_L1_1000738	LR200116-0009_L1_1000739	LR200116-0010	LR200116-0011	LR200116-0012_L4_1000742	LR200116-0013_L1_1000743	LR200116-0014_L4_1000788	LR200116-0015_L4_1000789	LR200116-0016_L4_1000953	LR200116-0017_L4_1000954	LR200116-0018_L1_1000955	LR200116-0019_L1_1000956	LR200116-0020_L1_1000916	LR200116-0021_L1_1000957	LR200116-0023_L1_1001357	LR200116-0024_L1_1001404	LR200212-0001	LR200212-0002
M00001	0.740492	0.0888099	0	0.3987781	0	0.306584	0.37037	7.045377	0	1.636392	1.9112689	4.2976499	0.356506	0	1.839838	0	0	2.252476	1.208646	0.2592361	0	0	0	1.1480879	0.0888099	0	0.0975309	0.4305705	1.0517729	0	0	0.108932	1.5417577	0.308642	0	0	1.98688206	0	0	0.7097249	0.0888099	0.7183294	0.17762	1.62295	1.519354	1.7754904	0	0	1.096785	0.6886162	0	2.992445	0	0.166304	0.700726	0.1971176	0	1.5052704	0	0.308642	1.1935209	1.140693	0	1.95129	2.2810054	1.927739	2.7113728	2.491312	0.108932	0.5354635	0	0	0	0	0.0888099	4.925375	0	0.8418885	2.542437	0.26738	0.284314	2.383999	0.560576	0.8636933	0.108932	4.845264	0.315904	0	0.355318	0.846426	0	0.2865518	0	4.3723039	0	0	0	0.108932	0	0	0	3.030461	0	0.35524	0	0.36045	0.158387	0.0348584	0.3665098	0.0888099	0.356129	0.586492	0.598729	0.367908	0	0.794444	0	0.108932
M00002	0.43573	0.0888099	0	0.3987781	0	0	0	5.826585	0	0.597283	1.3791699	3.6151519	0.356506	0	1.420261	0	0	1.407015	1.208646	0.0843731	0	0	0	1.1480879	0.0888099	0	0	0.2063555	0.0888099	0	0	0.108932	1.5417577	0	0	0	0.87190406	0	0	0.5245399	0.0888099	0.0746004	0.17762	0	1.145037	1.0656144	0	0	0.541838	0.0604752	0	1.880349	0	0.166304	0.108932	0.1971176	0	1.4386037	0	0	0.6052859	1.140693	0	1.727075	1.3817904	0.87146	1.0391518	2.491312	0.108932	0	0	0	0	0	0.0888099	2.095858	0	0.7162605	1.393321	0.26738	0	2.272888	0.26643	0.4538573	0.108932	2.678393	0.315904	0	0.355318	0.729876	0	0.2865518	0	3.111328	0	0	0	0.108932	0	0	0	2.217865	0	0.35524	0	0.36045	0.158387	0.0348584	0.3665098	0.0888099	0.108932	0.217865	0.352113	0.367908	0	0	0	0.108932
M00003	0	0	0	0.432203	0	0.8716502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6596832	0	0	0	1	0.170068	0	0	0	0	0	0	0	0	0	0	0	0.663842	0.184557	0	0	0.847458	0	0.472789	0	0	0	0	0	0	0.695157	0	0	0	0	0	0	0	0.628131	1	0	0	0	0	0	0	0	1.724981	0	0	0.236111	0	0	0	0	0.340136	0	0	0	0	0	0.282486	0	0	0	1.941176	0	0	0	0.170068	0	0	0	3.807706	0	0	0	0	0	0	0	0	0	0	0	0	0	0.627451	0	0.398305
M00004	0.599709	0	0	0.5599256	0	0.77245	0	5.3914977	0	1.405921	1.2836124	4.621788	0	0	4.03932	0.19214	0.247525	1.596135	0.218341	0.174863	0	0	0	1.403433	0.966385	0	0	0.436733	1.426227	0	0	0.482891	3.290863	1.078657	0	0	0.440594	0	0	0	0.218341	0.251256	0	1.62295	2.287898	1.058477	0.218341	0	1.343399	0.750412	0	3.4033025	0.2645456	0.430931	0.591794	0.218341	0	0	0.83062	0.308642	0.571378	1.982607	1.30859	2.904703	1.26863	2.403081	3.710687	0.655022	0.380057	0.9223685	0	0	0	0	0	6.5552072	0.218341	0.9321777	3.994136	1.828358	0.720995	0.930081	0.883432	0.628177	0.245875	4.8354058	0	0	0.247525	0.11655	0	0	0	1.2943453	0	0.218341	0	0.232673	0	0	1.36559	0.617284	0	0	0	0.247525	0	0.247525	1.280899	0.436681	1.217331	0.699187	0.125628	0.247525	0	0.794444	0	0
M00005	0	0	0	0	0	0	0	0	0	0.256014	0.396907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.526172	1.37113	0	0	0	0	0	0	0	0	0	0	0	0	0.256014	1.54639	1.28522	0	0	0	0	0	0.341554	0	0.948454	0	0.247525	0	0	0	0	0.438144	1.294104	0	0	0	1.02921	0	0	0.991988	0	0	0.237113	0	0	0	0	0	0.190722	0.206186	0	0	0	0	0	0	0.466984	0	0	0	0	0	0	0	0	0	0.256014	0	0	0	0	0	0	0	0.614664	0	0	0	0.247525	0	0	0.0412371	0	0	0	0	0	0	0.256014	0	0
M00006	0	0	0	0.3415846	0	0.247525	0	0.0973597	0	0	0.874588	0	0	0	2.95635	0	0.247525	0.722772	0	0	0	0	0	0.458746	0.529703	0	0	0	0.311881	0	0	0	2.437879	0	0	0	0.440594	0	0	0	0	0	0	0	1.4769	0.19967	0	0	0.33557	0	0	1.860425	0.0462046	0.247525	0	0	0	0	0.83062	0	0.33557	0.247525	0	2.475248	0.414191	2.403081	1.00447	0	0.161716	0	0	0	0	0	0	2.647147	0	0.49505	2.476899	1.612929	0	0.160066	0	0	0.245875	3.249004	0	0	0.247525	0	0	0	0	0.0544554	0	0	0	0.232673	0	0	1.36559	0	0	0	0	0.247525	0	0.247525	0.716124	0	0	0	0	0.247525	0	0	0	0
M00007	0.599709	0	0	0.218341	0	0.218341	0	5.294138	0	0.366812	0.4090244	4.621788	0	0	1.08297	0.19214	0	0.873363	0.218341	0	0	0	0	0.944687	0.436682	0	0	0.212518	0.151383	0	0	0.482891	0.852984	0.770015	0	0	0	0	0	0	0.218341	0	0	0	0.436681	0.858807	0.218341	0	0.699187	0.122271	0	0.7700145	0.218341	0.183406	0	0.218341	0	0	0	0	0.235808	1.735082	1.30859	0.20524	0.854439	0	2.286962	0.655022	0.218341	0.386905	0	0	0	0	0	2.8001612	0.218341	0.3114997	1.517237	0.215429	0.436681	0.770015	0.589286	0.218341	0	1.2634648	0	0	0	0	0	0	0	0.531295	0	0.218341	0	0	0	0	0	0	0	0	0	0	0	0	0.564775	0.436681	1.091703	0.699187	0	0	0	0	0	0
M00008	0	0	0	0.3415846	0	0.247525	0	0.0973597	0	0	0.874588	0	0	0	2.95635	0	0.247525	0.722772	0	0	0	0	0	0.458746	0.529703	0	0	0	0.311881	0	0	0	2.437879	0	0	0	0.440594	0	0	0	0	0	0	0	1.4769	0.19967	0	0	0.33557	0	0	1.860425	0.0462046	0.247525	0	0	0	0	0.83062	0	0.33557	0.247525	0	2.475248	0.414191	2.403081	1.00447	0	0.161716	0	0	0	0	0	0	2.647147	0	0.49505	2.476899	1.612929	0	0.160066	0	0	0.245875	3.249004	0	0	0.247525	0	0	0	0	0.0544554	0	0	0	0.232673	0	0	1.36559	0	0	0	0	0.247525	0	0.247525	0.716124	0	0	0	0	0.247525	0	0	0	0
M00009	2.894507	0.109649	0	2.0395931	1.780434	1.6259763	0.219298	14.991336	0	1.576713	4.2637334	9.8447333	0.419476	0	5.405913	0.109649	0	4.017796	2.049789	0	0	0	0	6.3644907	2.0948926	0	0	3.152649	1.471615	0	0	0.767544	7.394149	0.215134	0	0.2704676	5.681897	0.361974	0.167398	0.5029077	0.273392	0.526939	3.39785	1.260251	2.672082	8.0532663	0	0	1.565362	3.077103	0	4.357358	0.359412	1.076336	0.387632	0.783969	0	0.3268859	0	0.451807	3.992057	2.655453	0.42258	11.250876	4.904946	5.799675	7.636501	1.572356	0.331219	0.569439	0	0	0.853185	0.187266	0.71612	12.833995	1.837858	6.2090997	12.192807	1.415328	1.44688	1.933281	1.649793	0.689581	1.13004	34.302651	0.4787598	0	2.9248808	0.503939	0.093633	1.7428452	0	5.620536	0	0	0.109649	1.5206825	0	0	0	1.962674	0	0.663477	0	3.170502	0.467865	1.09909	4.637729	0.296184	5.208599	2.2652107	0.243231	0.444658	0	0.093633	0	0.1527728
M00011	2.894507	0.109649	0	2.0395931	1.780434	1.6259763	0.219298	14.991336	0	1.576713	4.2637334	9.8447333	0.419476	0	5.405913	0.109649	0	4.017796	2.049789	0	0	0	0	6.3644907	2.0948926	0	0	3.152649	1.471615	0	0	0.767544	7.394149	0.215134	0	0.2704676	5.681897	0.361974	0.167398	0.5029077	0.273392	0.526939	3.39785	1.260251	2.672082	8.0532663	0	0	1.565362	3.077103	0	4.357358	0.359412	1.076336	0.387632	0.783969	0	0.3268859	0	0.451807	3.992057	2.655453	0.42258	11.250876	4.904946	5.799675	7.636501	1.572356	0.331219	0.569439	0	0	0.853185	0.187266	0.71612	12.833995	1.837858	6.2090997	12.192807	1.415328	1.44688	1.933281	1.649793	0.689581	1.13004	34.302651	0.4787598	0	2.9248808	0.503939	0.093633	1.7428452	0	5.620536	0	0	0.109649	1.5206825	0	0	0	1.962674	0	0.663477	0	3.170502	0.467865	1.09909	4.637729	0.296184	5.208599	2.2652107	0.243231	0.444658	0	0.093633	0	0.1527728
