"","Region","cluster","n","perc"
"1","Northern_And_Western_Europe","Commensal",21,0.538461538461538
"2","Northern_And_Western_Europe","Hi",5,0.128205128205128
"3","Northern_And_Western_Europe","PPM",8,0.205128205128205
"4","Northern_And_Western_Europe","Pa",5,0.128205128205128
"5","Southern_Europe","Commensal",63,0.362068965517241
"6","Southern_Europe","Hi",17,0.0977011494252874
"7","Southern_Europe","PPM",46,0.264367816091954
"8","Southern_Europe","Pa",48,0.275862068965517
"9","UK","Commensal",80,0.588235294117647
"10","UK","Hi",26,0.191176470588235
"11","UK","PPM",23,0.169117647058824
"12","UK","Pa",7,0.0514705882352941
