"","Cohort","cluster","n","perc"
"1","CAMEB2","Commensal",123,0.49003984063745
"2","CAMEB2","Hi",29,0.115537848605578
"3","CAMEB2","PPM",66,0.262948207171315
"4","CAMEB2","Pa",33,0.131474103585657
"5","China","Commensal",37,0.313559322033898
"6","China","Hi",14,0.11864406779661
"7","China","PPM",28,0.23728813559322
"8","China","Pa",39,0.330508474576271
"9","EMBARC","Commensal",164,0.469914040114613
"10","EMBARC","Hi",48,0.137535816618911
"11","EMBARC","PPM",77,0.220630372492837
"12","EMBARC","Pa",60,0.171919770773639
