Clusters,Variable,value,n,perc
Commensal,AE_1year.cat,0,101,0.332236842105263
Commensal,AE_1year.cat,1,74,0.243421052631579
Commensal,AE_1year.cat,2,49,0.161184210526316
Commensal,AE_1year.cat,>2,80,0.263157894736842
Hi,AE_1year.cat,0,37,0.435294117647059
Hi,AE_1year.cat,1,17,0.2
Hi,AE_1year.cat,2,18,0.211764705882353
Hi,AE_1year.cat,>2,13,0.152941176470588
PPM,AE_1year.cat,0,44,0.271604938271605
PPM,AE_1year.cat,1,40,0.246913580246914
PPM,AE_1year.cat,2,24,0.148148148148148
PPM,AE_1year.cat,>2,54,0.333333333333333
Pa,AE_1year.cat,0,30,0.232558139534884
Pa,AE_1year.cat,1,28,0.217054263565891
Pa,AE_1year.cat,2,27,0.209302325581395
Pa,AE_1year.cat,>2,44,0.341085271317829
