Study,Clusters,Variable,value,n,perc
CAMEB2,Commensal,AE_1year.cat,0,45,0.365853658536585
CAMEB2,Commensal,AE_1year.cat,1,30,0.24390243902439
CAMEB2,Commensal,AE_1year.cat,2,20,0.16260162601626
CAMEB2,Commensal,AE_1year.cat,>2,28,0.227642276422764
CAMEB2,Hi,AE_1year.cat,0,13,0.448275862068966
CAMEB2,Hi,AE_1year.cat,1,6,0.206896551724138
CAMEB2,Hi,AE_1year.cat,2,8,0.275862068965517
CAMEB2,Hi,AE_1year.cat,>2,2,0.0689655172413793
CAMEB2,PPM,AE_1year.cat,0,19,0.287878787878788
CAMEB2,PPM,AE_1year.cat,1,18,0.272727272727273
CAMEB2,PPM,AE_1year.cat,2,13,0.196969696969697
CAMEB2,PPM,AE_1year.cat,>2,16,0.242424242424242
CAMEB2,Pa,AE_1year.cat,0,8,0.242424242424242
CAMEB2,Pa,AE_1year.cat,1,5,0.151515151515152
CAMEB2,Pa,AE_1year.cat,2,8,0.242424242424242
CAMEB2,Pa,AE_1year.cat,>2,12,0.363636363636364
China,Commensal,AE_1year.cat,0,1,0.0555555555555556
China,Commensal,AE_1year.cat,1,8,0.444444444444444
China,Commensal,AE_1year.cat,2,8,0.444444444444444
China,Commensal,AE_1year.cat,>2,1,0.0555555555555556
China,Hi,AE_1year.cat,0,4,0.444444444444444
China,Hi,AE_1year.cat,1,2,0.222222222222222
China,Hi,AE_1year.cat,2,2,0.222222222222222
China,Hi,AE_1year.cat,>2,1,0.111111111111111
China,PPM,AE_1year.cat,0,7,0.368421052631579
China,PPM,AE_1year.cat,1,9,0.473684210526316
China,PPM,AE_1year.cat,2,1,0.0526315789473684
China,PPM,AE_1year.cat,>2,2,0.105263157894737
China,Pa,AE_1year.cat,0,10,0.277777777777778
China,Pa,AE_1year.cat,1,17,0.472222222222222
China,Pa,AE_1year.cat,2,3,0.0833333333333333
China,Pa,AE_1year.cat,>2,6,0.166666666666667
EMBARC,Commensal,AE_1year.cat,0,55,0.337423312883436
EMBARC,Commensal,AE_1year.cat,1,36,0.220858895705521
EMBARC,Commensal,AE_1year.cat,2,21,0.128834355828221
EMBARC,Commensal,AE_1year.cat,>2,51,0.312883435582822
EMBARC,Hi,AE_1year.cat,0,20,0.425531914893617
EMBARC,Hi,AE_1year.cat,1,9,0.191489361702128
EMBARC,Hi,AE_1year.cat,2,8,0.170212765957447
EMBARC,Hi,AE_1year.cat,>2,10,0.212765957446809
EMBARC,PPM,AE_1year.cat,0,18,0.233766233766234
EMBARC,PPM,AE_1year.cat,1,13,0.168831168831169
EMBARC,PPM,AE_1year.cat,2,10,0.12987012987013
EMBARC,PPM,AE_1year.cat,>2,36,0.467532467532468
EMBARC,Pa,AE_1year.cat,0,12,0.2
EMBARC,Pa,AE_1year.cat,1,6,0.1
EMBARC,Pa,AE_1year.cat,2,16,0.266666666666667
EMBARC,Pa,AE_1year.cat,>2,26,0.433333333333333
