Study,Clusters,Variable,value,n,perc
CAMEB2,Commensal,BSI.cat,mild,24,0.19672131147541
CAMEB2,Commensal,BSI.cat,moderate,29,0.237704918032787
CAMEB2,Commensal,BSI.cat,severe,69,0.565573770491803
CAMEB2,Hi,BSI.cat,moderate,15,0.517241379310345
CAMEB2,Hi,BSI.cat,severe,14,0.482758620689655
CAMEB2,PPM,BSI.cat,mild,9,0.136363636363636
CAMEB2,PPM,BSI.cat,moderate,23,0.348484848484849
CAMEB2,PPM,BSI.cat,severe,34,0.515151515151515
CAMEB2,Pa,BSI.cat,mild,2,0.0606060606060606
CAMEB2,Pa,BSI.cat,moderate,8,0.242424242424242
CAMEB2,Pa,BSI.cat,severe,23,0.696969696969697
China,Commensal,BSI.cat,mild,10,0.555555555555556
China,Commensal,BSI.cat,moderate,3,0.166666666666667
China,Commensal,BSI.cat,severe,5,0.277777777777778
China,Hi,BSI.cat,mild,4,0.444444444444444
China,Hi,BSI.cat,moderate,4,0.444444444444444
China,Hi,BSI.cat,severe,1,0.111111111111111
China,PPM,BSI.cat,mild,9,0.473684210526316
China,PPM,BSI.cat,moderate,3,0.157894736842105
China,PPM,BSI.cat,severe,7,0.368421052631579
China,Pa,BSI.cat,mild,7,0.194444444444444
China,Pa,BSI.cat,moderate,15,0.416666666666667
China,Pa,BSI.cat,severe,14,0.388888888888889
EMBARC,Commensal,BSI.cat,mild,50,0.31055900621118
EMBARC,Commensal,BSI.cat,moderate,64,0.397515527950311
EMBARC,Commensal,BSI.cat,severe,47,0.291925465838509
EMBARC,Hi,BSI.cat,mild,15,0.319148936170213
EMBARC,Hi,BSI.cat,moderate,22,0.468085106382979
EMBARC,Hi,BSI.cat,severe,10,0.212765957446809
EMBARC,PPM,BSI.cat,mild,17,0.232876712328767
EMBARC,PPM,BSI.cat,moderate,22,0.301369863013699
EMBARC,PPM,BSI.cat,severe,34,0.465753424657534
EMBARC,Pa,BSI.cat,mild,6,0.105263157894737
EMBARC,Pa,BSI.cat,moderate,14,0.245614035087719
EMBARC,Pa,BSI.cat,severe,37,0.649122807017544
