MetaT,353VGSZ,348VYQM,004VWZY,322VCHL,351VZDY,367VWSY,155VCHJ,215VTKH,250VSJJ,347VPZL,199VOZQ,388VDHL,390VNFD,373VHXR,357VLTS,366VZMY,040VYDY,136VZXQ,393VZLH,392VWLL,349VZNL,359VYSH,206VZFD,253VXXJ,379VLJJ,384VCZL,325VLRY,021VLSF,319VLY,372VJHK,371VTYJ,173VHJW,338VHJY,047VLRL,006VHQK,174VLBQ,195VXXY,243VHZH,350VLYY,027VYMX,220VDXP,362VLBJ,354VPYM,188VZJH,214VGWJ,C020LBJ,180VHMQ,C009HHR,364VCZ,377VHWH,C017YYM,211VLT,083VYGC,314VLLY,036VXHM,235VDBJ,316VYJH,038VLWS,342VCSL,153VWG,287VDJQ,002VWWX,361VTLX,363VLH,275VLSX,331VLDY,178VYDM,149VYYD,376VYKZ,C003XYQ,C014LWG,C001CJB,317VYL,C025PCY,C006LYH,C026CBR,C018LJP,C002HHP,227VZMH,193VZXL,C022SMR,031VPYH,C008QLX,230VLSH,C007XXZ,309VHJD,190VFYK,063VWZB,C034LJ,C031CQS,C024XHR,C013MJH,139VLTW,395VGSQ,110VZSZ,370VLZW,C010WL,358VWXC,254VLXR,086VHMX,189VXZJ
Pseudomonas aeruginosa,0.952717800073945,0.400442840929564,0.0556412278192183,0.308472031034914,0.686575787950095,0.0840700917044832,0.81186695724367,0.163989161299902,0.793277491665571,0.280503266422674,0.26311703290169,0.219730180021532,0.192367943803938,0.188232252094093,0.0438674941419016,0.776348720429897,0.0697425459595591,0.613695354653998,0.0386184028560511,0.212121477227121,0.917993209178189,0.921885644501512,0.542634114652087,0.00232500011790061,0.0931236254355659,0.00157830445536151,0.140932192448091,0.189501191982388,0.67690062789258,0.59685173539972,0.111415284838522,0.000161398862838321,0.653654597707951,0.00154751510655796,0.040907802880033,0.848290299928451,0.00792323907828742,0.0555835423362167,0.0804007722270287,0.00145037248831606,2.9144246770874e-05,7.18813481030261e-05,0.0352679282783003,0.654807940552494,0.723869512639591,0.000216530850121562,0.00015943923075368,4.92817531650063e-05,0.000244776533958215,0.0273655039857973,0.0015404698929299,0.196236044122366,0.00110712784398188,0.130826446700329,0.00191708757189078,0.00896814940766356,0.00545969883226298,0.000309597523219814,0.00102387247062296,0.0105397217991829,0.011986445751386,0.0304687652275607,0.0262588095343439,2.79750242808865e-05,0.532152578077263,0.0479211871891822,0.00234464566129654,0.000540796527373966,0.00310707634817683,8.45562589746519e-05,0.000983944939317911,0.00043486642170831,0.00120976709761629,3.73291727279937e-05,0.000138547364055848,7.34884712049722e-05,0.000304680780139153,5.24702192470835e-05,0.000475397765470436,0.0103822293828193,6.68815902800823e-05,0.0318415988153779,1.81301384410201e-05,0.0200215937719016,2.38331938594968e-05,0.00744203998210542,0.0382985477742953,0.00051792668128404,3.53797275102317e-05,0.000157147653756976,0.000144074417259922,0.00145549796756945,0.000323229691027495,0.00204861832433743,0.0221894773337956,0.00108074098702799,0.000730746769290667,0.0485538865672675,0.0175611797837154,0.219117121018149,0.00011288092302572
Haemophilus influenzae,6.51456428140549e-05,0.000281724405825441,0.000219801690030772,0.00198139573687065,0.000817888929121823,0.00228248868204163,0.000347654628476546,0.000502960227167276,0.000133828818602206,0.000490275678579012,0,6.99403758296053e-05,0,0.000336143602724532,0.00139130705785027,0.00395068492176007,0,0.0013020376405045,6.23522132637547e-05,0.000127946739162528,0.000498872898498797,0.000433236116823061,0.00111445527698174,0.633199398235264,0.00100951617452753,0.000457381150341369,0.000680775144664718,0.00385203573306317,0.0487504984197959,0.000462236753674699,0.00392333372472447,0.00109382118090137,0.000685484568404168,0.146736914368911,0.00144858337771542,0.0942003946418097,0.096437029187055,0.0483099726028873,0.0556256587920163,0.00391774553277958,0.237058369438861,0.132267360253395,0.668097819062348,0.276144386947591,0.0126647523396624,0.000912628011939128,0.000337894673484788,0.00197235398646367,0.00218949539495668,0.0026590322272016,0.00321675416047802,0.00278039878725758,0.101835924031381,0.000211762962003098,0.000542037520326407,0.000102682091025063,0.0219249285668348,0.0037282018070386,0.000901637812659606,0.000553449901333242,0.0513343451590464,0.00110281648962089,0.000431496705162315,0.0458874562382152,0.0017285459333735,0.000728537478524782,0.000287843823039138,0.000322676625947131,4.48029454057904e-05,0.00744645480948803,0.00380967436371105,0.00044771138354421,0.0139646939722957,0.00328318586707432,0.0103937531248969,0.00162916695319192,0.00408901922544232,0.00199539341734653,0.00322214041041073,0.000647521292259031,0.00249138770285356,0.000526696756146405,0.00177836684225074,0.00365578769912678,0.00204079170295022,9.12272699362286e-05,0.00375149908794985,0.00226275748941385,0.00324124410553509,0.000401170675994004,0.000475461710711074,0.000462260867665334,0.00632866195436197,3.44993878220139e-05,0.00312039525006501,4.54524511323887e-05,0.0189889339782273,0.00129108903468207,0.0128114720909178,0.000588334964982303,2.88817900842766e-05
Neisseria subflava,0.00525141564866024,0.0325566690650537,0.00115134218587547,0.0491907562674676,0.0110346685353835,0.0241301302003893,0.0123443337484433,0.00886954585104211,0.00357514129694464,0.010529997376869,0.000594622369917942,0.00275764910413872,0.00136286717786825,0.134007661896694,0.0110005083835989,0.00199401971962766,0.000558534124673874,0.0190719472602151,0.00824328234840818,0.0143201927293445,0.0152646784163589,0.014282664590482,0.0145519217753201,0.00465471626038115,0.0335176336601536,0.0577022430193822,0.0144981630808597,0.0675360655698348,0.0341966403790628,0.0167924959354757,0.0322470054954214,0.0204537886792876,0.0176068486553852,0.0507178350684086,0.0697057362823408,0.00120258073285189,0.0103908823450645,0.0318932563232913,0.0179414331536256,0.00166686074822692,0.000491078100732838,0.0531716201636865,0.00994106726031262,0.00124204429378024,0.00627671530765207,0.0255388460615764,0.014611246381923,0.0566556751986309,0.208995041095774,0.0427872184273165,0.0294143547731931,0.139567756953392,0.0718409778999523,0.102237904737545,0.0906477283992898,0.00428132108341789,0.107428245270711,0.307561445630884,0.0377055291029881,0.0739867095685763,0.0882936507936508,0.165217815027775,0.0224040752263875,0.00492714299445616,0.0412422570799025,0.152141742570581,0.00193801697292789,0.232881722518407,0.00879150941439701,0.0219636394779988,0.0011150796469496,0.00563812648257242,0.206208360374024,0.0819991556481632,0.0111292766311346,0.00537274471741774,0.0253260513793692,0.0352900896259126,0.23856537652997,0.0997443257842924,0.00684069428777261,0.0523696154965136,0.0238245127563705,0.131456821927149,0.0239778812072188,0.00848589047464496,0.108948169349068,0.146748629434654,0.0165514081084502,0.00103964911445817,0.00101505509091915,0.000371764283506782,0.0570876253141467,0.00498851220024934,0.0730403628904106,0.127132062408083,0.00164118536709543,0.114999196223186,0.0231775726445954,0.00967928684388885,0.00066382753125641
Porphyromonas gingivalis,0.00379621427670992,0.000783779100524547,0.000170956870023934,0.0384390772952905,0.00203496231171719,0.0103717581506847,0.0168690327936903,0.00127874389859134,0.000365639450823884,0.000265435876937682,7.18034559900911e-05,0.00401407799850627,0.00112452792577682,0.00389967406318683,0.0220490168606937,0.000720408551694205,0.00115732296103595,0.000240804359163937,0.0094343694992158,0.000955773077162819,2.87065275963538e-05,0.00130127804654463,0.00137046797521157,6.36663318289215e-05,0.00368812736870457,0.00499045425170037,0.00169020035916758,0.000174055837112546,0.000389685412422664,0.000362805969970573,0.00107125203124751,0.0329182553143262,0.00199090936401051,0.00410117419940426,0.00407077090635909,6.30094695356528e-05,0.0112899461709446,0.0037607049436029,0.00145302600410293,0.000317516114535931,0.671482954129659,0.0440486480300926,0.0131633447583888,9.51317251675329e-05,0.000169270019229684,0.00553746527987335,0.00279732475589865,0.00516330516562192,0.00105620051026318,0.00444048294798916,0.0304555983119328,0.00642114061010715,0.0345575975703645,0.00104704056381769,0.0487241518271557,0.00493396149247549,0.0021642411546907,0.00240569912175396,0.0125072226848361,0.00413242592995487,0.0020117940934674,0.00194367020758211,0.256041295967969,0.663751445974011,0.000529559474314656,0.00118212211058709,0.00581207938574917,0.000827283590096374,0.0106119654893835,0.00537071357075336,0.0238833432595022,0.013164939862897,0.0163075116001526,0.00249293610826759,0.0109683645763009,0.00962524308284913,0.0104141103205549,0.00391044143322543,0.00391362806927682,0.00102712167665296,0.00550748894490931,0.016484420110479,0.00860880687351447,0.110147178603224,0.0093199332193908,0.0014912149893422,0.00123857417839902,0.00816294242058333,0.00304204494825009,0.00122772926399167,0.0268045774523618,0.0679385909870662,0.00205839683084563,0.32285817748421,0.146456328912773,0.454579458978852,0.0354472080382145,0.00103517803115771,0.00050954718543423,0.0176900557270879,0.603469731241334
Haemophilus parainfluenzae,0.000161595036071227,0.00292167143475182,0.000415180970058125,0.00639260835106161,0.00930129056626608,0.0213725167306015,0.000472187629721876,0.00678161132866873,0.00143626999964153,0.00227650299161847,0.000361261137950146,0.000149872233920583,0.00012350306699283,0.00201073754261335,0.0136051743266004,0.000957876555771184,0.000109442497402313,0.00293926526838795,0.000422076520554647,0.00104544515076391,0.00917452158138406,0.00694276574169709,0.00636431567005724,0.00141952339855595,0.01048539488837,0.00240171397567917,0.00766458912872519,0.0882487101862277,0.0109605810062107,0.00692390751673447,0.0686492802027116,0.0198231393078361,0.0101302420679968,0.00586869331441222,0.0287937398193285,0.00033946351712333,0.000596825348243765,0.02136274369826,0.00228041210628322,8.28388866690879e-05,0.00091236728002446,0.0198465146996891,0.00332964622195448,0.000624389641586314,0.00166982586537391,0.00853600411915641,0.00523602545408487,0.0278108110414972,0.0207865233272264,0.0607542554755615,0.0372460069643627,0.038924984313857,0.0127107156183432,0.00297972995213411,0.00867646282536736,0.000114864711994138,0.054366725466957,0.0849860997030391,0.0078490101927295,0.00693021060359119,0.0423570269187799,0.0170685118409512,0.000820117416365584,0.00089515295643404,0.0151128126900567,0.00872143423810916,0.00110455138258683,0.00613306656767211,0.000133458950449051,0.140454720335012,0.0615567552504797,0.0116850952076689,0.112319283111782,0.0517154071163244,0.194654687279078,0.0265113541305276,0.0359755992655858,0.00569332743665707,0.0380707707739753,0.0117059077305499,0.0242051583411957,0.00737205693333042,0.00499768277368993,0.0426761123633815,0.0344831806668309,0.000471925684862413,0.00782750662622069,0.0426864125591996,0.0760951131280901,0.00400943308931031,0.0100802480790447,0.00484878270293336,0.0159986168776012,0.000290142333553484,0.00447834503481552,0.000215899142878846,0.0808852817418128,0.0202782437440573,0.0306387992884538,0.00384065065140447,1.28531526553063e-05
Prevotella melaninogenica,0.000340111018327923,0.0419803791287544,0.00144790002163128,0.0305969215367288,0.0565514562424543,0.0962978060573011,0.0025373599003736,0.0442530762235296,0.00277933778632795,0.00388160935333575,0.00756853303295554,0.000562020877202185,0.000205838444988051,0.0703234191384109,0.0534787824282371,0.00286562512785028,0.00277883306622655,0.00790903161555524,0.00190254189189405,0.0171033076965978,0.00950581042688793,0.00192287769242119,0.00348497285465359,0.00157515220969332,0.076572650170833,0.102832368265279,0.0472129300327476,0.147672573361534,0.0120197392340031,0.0101146712947983,0.0333871133744149,0.333933087872954,0.0491191113643874,0.124829813653149,0.0345209760025209,0.000940978917369044,0.00145763113897996,0.0760977028989216,0.269644752898685,0.00035073075167294,0.000232269325867033,0.281554026328499,0.0151018327377649,0.000749267569903577,0.00300416160254485,0.17310495661923,0.508782520435004,0.441044645136152,0.0116582310108293,0.0973057850380759,0.162474612324379,0.0902264552190552,0.0111789683495577,0.0652391032820831,0.0388477389567902,0.00677875838207832,0.0508042547522578,0.0205349244961142,0.320570961021937,0.0278875135340766,0.0106610594658403,0.0381097358931878,0.00603091906517562,0.00111460148023744,0.0115295267151218,0.0237457684406671,0.00955947080110288,0.0104022887524311,0.172457143924634,0.0332800249870399,0.10685851906197,0.11882559039193,0.0342105758877246,0.149569340680265,0.125533483164126,0.103250590446874,0.331055105712504,0.0306458760816339,0.0128277363383167,0.141932179686041,0.0650085180328761,0.304832644333904,0.326955933366927,0.0115166783475082,0.218001442206143,0.00297365812580591,0.0239193969383333,0.0297412306952905,0.0566745596705922,0.0956312211990704,0.37636807673923,0.170538924691534,0.0937215764588559,0.00252068908431923,0.0100834994654879,0.0415628420608266,0.113746424881329,0.0124466461601455,0.0114670864364909,0.0257737781459447,0.00251853745941712
Prevotella intermedia,7.1067973978969e-05,0.00856706131034554,0.000195379280027353,0.00816543611563008,0.0557072152833966,0.0152971284645641,0.000311332503113325,0.0372209127521761,0.00844555437393206,0.00199233046454401,0.00730600164699177,5.99488935682331e-05,5.85014527860775e-05,0.0190622001755568,0.602062807496251,0.00161158061193815,0.000689361937660547,0.00579140534150051,0.00210078995457881,0.00671665702509615,0.00111130233122396,0.00225722295649116,0.191323889664927,0.0446536787349736,0.038484622905413,0.292941824944617,0.0389755507823045,0.0104337471460845,0.0634701085171733,0.00299456256607242,0.0274068017980799,0.260908014147577,0.0155303675125831,0.0399791053784645,0.0395892205746766,0.00112539413267071,0.000929670253995095,0.0649098750831746,0.037650223469808,5.614855325542e-05,0.00613238201531631,0.100741430034727,0.0129699594772351,0.00121173684151447,0.00414635299356316,0.129974828084228,0.0555654285037827,0.0327012544865024,0.00174891279496747,0.067576221362064,0.0256782191572687,0.0265628667084964,0.00783302396100492,0.155879115310462,0.0149401505602556,0.00041420911294856,0.0341615905478533,0.0245044070259683,0.0969850860541574,0.00475585225559462,0.156649855604039,0.0119890848845142,0.0053969017076961,0.00156569276919744,0.0076105302289013,0.0217183560505096,0.0426161651908099,0.00237753967628845,0.0293736342423687,0.00964896995295152,0.0342519261651989,0.138118293312364,0.0584515679954888,0.0235909179194705,0.0547320842716711,0.0132492727002556,0.127529594361071,0.42233383565146,0.0106860453948843,0.0282615369371141,0.137913974830745,0.0525684530712554,0.193080379149337,0.00912999829522853,0.264712478831903,0.000749116235822493,0.0495197879609381,0.0360809816427082,0.108429502364373,0.0843523343459099,0.0900148886309191,0.106617316582069,0.0673570585596985,0.000325634509514261,0.00505619600704978,0.00167940580571007,0.022734011170842,0.00439734400422145,0.0684590292216212,0.0120655734618571,0.00109637392149763
Prevotella jejuni,2.19972300411094e-05,0.0675122989055781,0.000153512291450063,0.00406707545989238,0.0425312003154436,0.00448938932966911,0.000451432129514321,0.0294779235723168,0.00168958883485285,0.00207039984011392,0.00615041477715124,8.24297286563205e-05,7.36684961009865e-05,0.00599410728016276,0.0483891029492092,0.00193087279719521,0.000271719303895398,0.0142788514479118,0.000922493001363755,0.0227187479153977,0.000893781615972961,0.00110035694888756,0.00452262432216638,0.000926698829954302,0.0303618351986053,0.010224104418697,0.0322311818491261,0.0403485438128552,0.00197687125280111,0.00209902042388108,0.00411033171123452,0.0115747518786235,0.00115612935175736,0.0461639824641831,0.00557387086280573,0.00197197136264616,0.000948799271567011,0.0484123413620972,0.00546301508562879,3.3214637137009e-05,6.40878546192574e-05,0.0483641360118012,0.0171474614819452,0.00134587538024628,0.00605788424675604,0.00550709825926461,0.0929876776088501,0.0369126258564525,0.000643135371353823,0.00257038763059412,0.0363427483496073,0.00813045123405641,0.00312584132741983,0.203037334855355,0.00388825014580938,0.00104074390564386,0.0406020598476705,0.00955092563341126,0.0685423807502393,0.00427619567443914,0.00778104513164274,0.00259350940454147,0.00348253419018423,0.000208975822405938,0.0299149827729375,0.0118299775659493,0.00426738325320694,0.000472347489238518,0.0119071347344887,0.00193130608391961,0.00820839937671276,0.00510952526501329,0.00109833818242805,0.365870930507347,0.00694542105700077,0.0675362284901477,0.0165856910173655,0.0316400868795475,0.0020077685650564,0.391341674944233,0.0272117604588349,0.185292003694941,0.194627625137775,0.00113651431060936,0.217958890024607,0.000289471144989956,0.0175562094994306,0.00631885477007488,0.0909409078569812,0.03208678019157,0.0320069868832182,0.145993378374378,0.017772621693473,0.000925526742361798,0.00286036231255959,0.00109303805428642,0.0771417019811024,0.00437211334190215,0.0127318553431937,0.00281459447247534,0.000647269646365162
Escherichia coli,0.00102963957538578,0.0617205959475293,0.277358332577402,0.0708818253868936,0.00152939373739129,0.0736524408186184,0.00905977584059776,0.320688183218574,0.0373621383933372,0.226063929450267,0.120297715079399,0.282339305741855,0.190753737051137,0.0768414749491362,0.00569726327119107,0.0449437102997077,0.113558541672432,0.0261121470673296,0.261410854720942,0.184853511919278,0.00114974227603971,0.0005132906166708,0.0141935039977983,0.0354432827303896,0.285207406794723,0.0449764303654173,0.130471730225243,0.00791774001099553,0.00141445202783807,0.0512716997709101,0.0239350174748894,0.00166346422621309,0.0176459931924919,0.0188414427655541,0.0283030906107474,0.00585335468604238,0.262817398224062,0.240922180885598,0.0282984937039318,0.0127032147616919,0.000222587341695258,0.00154712497419674,0.00286544556082757,0.0022301233625557,0.025658894987015,0.000410999723571065,0.00299970750439115,0.000300872723962028,0.00106059723958172,0.0307972725585979,0.0236453446367276,0.0210379915989329,0.019143770752743,0.0013684362859977,0.119942216997833,0.152660423363482,0.00723117242266384,0.0639761167624945,0.00224310479145486,0.127055557464003,0.0275248213495225,0.0208646330766982,0.0447296965063819,0.000422064212483938,0.00931315367052513,0.244462852469409,0.00760321714760572,0.00458624930875478,0.0161912778639095,0.00225271664199636,0.0186168442531953,0.00764943740260928,0.000865909770378959,0.000252113791992738,0.00294460531438122,0.00428917791047823,0.00521477987372048,0.000209311995718527,0.0789288343951084,0.00135141188826655,0.00187659403142873,0.00537922484752426,0.000159227684782858,0.0220294357206448,0.000127855154558759,0.158907378005456,0.00689933183508521,0.0131101124065083,0.00101335631761021,0.004491609890996,0.0103910648369969,0.0136544644857889,0.0122401320982117,0.0192640610445571,0.100286036231256,0.0136186128410023,0.0406447941779848,0.119619290931884,0.015161303530889,0.13964012726862,0.00286572379467104
Neisseria flavescens,0.00118531228029209,0.00527415628991335,0.000188401448597805,0.0106265381887957,0.00211109039819869,0.00545178698212073,0.00236093814860938,0.00170746645385201,0.000595060282713379,0.0019985760145896,7.18034559900911e-05,0.000489582630807237,0.000359675598610699,0.0240730533951184,0.00194087334570113,0.000447364816669364,0.000108184537662057,0.00372944238664952,0.00187056639791264,0.00227570225809591,0.00349091124534136,0.00240163499543218,0.00256492722039013,0.000978575100333423,0.00574321386684991,0.0120091871269119,0.00278648309212766,0.00964029260586796,0.00800497101019802,0.00389143488597218,0.00628255250801989,0.0035199428176143,0.00276833807771192,0.00862853417433993,0.0139185019083798,0.000203318056162365,0.00167187613578542,0.0057676714070586,0.00316446848943477,0.000279951941583362,0.000100014405023151,0.00772175139835759,0.00159670134101484,0.000201769057213735,0.00114371634614651,0.0048814395007262,0.00291907419714752,0.00930476757438124,0.0588742523285988,0.00602294183294406,0.00589521207817699,0.0288020336904825,0.0105054340895243,0.0092728151823679,0.018672613200223,0.000849302718986963,0.0196050733625497,0.0647896000505465,0.0059194274171679,0.018206593305928,0.0211798309407871,0.046374817269272,0.00457997718449768,0.0011452544555606,0.0078134947934248,0.0234387085739171,0.000328506691876002,0.0426700332239841,0.00172562581244917,0.00516773016222765,0.000308712957549609,0.00107549098672848,0.0413287339852267,0.0134786531123726,0.00234729749246329,0.00106616504747284,0.00509466789223256,0.00744350881900321,0.0391640255679696,0.0187799611479379,0.00131356089509022,0.00901708241828083,0.00430264291837049,0.0277120072736916,0.00473463774389426,0.00152454803028044,0.0236231066141272,0.0290859862771818,0.00333242217988992,0.000171001181779967,0.000188724579607831,6.51413564062309e-05,0.00988230931327472,0.000946623490310512,0.0155152986044899,0.0289860554370471,0.000315958131803956,0.0264676856490155,0.00420603904405308,0.00163321786279087,0.000108495729766851
