species,metaG_Pval,metaG_FC,metaT_Pval,metaT_FC
Rothia dentocariosa,5.06098022355133,-2.768716332,1.99608778670108,-2.040423713
Schaalia odontolytica,4.39794000867204,-2.570558584,1.48797397333413,-0.293012488
Prevotella jejuni,1.54623015201467,-2.132632888,2.44919631275634,-1.006068109
Veillonella atypica,1.43113481712764,-1.962552189,0.0170373937172708,-0.348917953
Veillonella dispar,2.79333465376771,-1.735901075,0.0170373937172708,-0.490866612
Veillonella parvula,5.06098022355133,-1.539602841,0,-0.545005303
Rothia mucilaginosa,3.85520480985275,-1.278259819,0.133446814038769,-0.310517249
Leptotrichia wadei,0.889268032743181,-1.221666552,3.28225712061528,-3.714207417
Prevotella scopos,1.72965738899948,-1.109055854,2.98026491731628,-1.585409965
Haemophilus parainfluenzae,3.73275315688553,-1.090836064,1.99608778670108,-1.207642151
Prevotella melaninogenica,2.53182996882766,-0.9642059,3.6139739326345,-1.681177514
Streptococcus salivarius,0.726264175786975,-0.744073067,2.53182996882766,-4.900900379
Streptococcus sp. oral taxon 431,1.85959824955849,-0.714897223,3.07795687337869,-1.863456396
Streptococcus oralis,1.66703061149901,-0.702595227,2.70383255945612,-1.960356554
Streptococcus pseudopneumoniae,2.79333465376771,-0.651192545,2.06693212520119,-1.994398041
Streptococcus pneumoniae,1.85959824955849,-0.439700397,1.43113481712764,-1.200661665
Prevotella oris,1.26861183010556,-0.42838791,2.53182996882766,-1.648499759
Prevotella intermedia,1.21702561134925,-0.404581162,3.73275315688553,-2.128311905
Prevotella sp. oral taxon 299,2.21403243414896,-0.31530872,3.85520480985275,-1.348075513
Streptococcus mitis,2.44919631275634,-0.236915802,1.85959824955849,-1.94639942
Lautropia mirabilis,1.60588595673893,0.311513839,0,1.729744485
Haemophilus parahaemolyticus,1.66703061149901,0.741433203,0.276061787923584,4.065350821
Escherichia coli,0.846946189258106,1.553666903,2.13953214381703,2.481579157
Staphylococcus aureus,1.32148047376843,3.046846522,0.614652226407321,1.042026307
Streptococcus intermedius,0.805680906963858,4.824267667,2.13953214381703,1.532383889
Pseudomonas aeruginosa,2.36881383994317,5.184387844,3.07795687337869,6.0977014
