species,metaG_Pval,metaG_FC,metaT_Pval,metaT_FC
Rothia dentocariosa,6.41341269532824,-2.648356681,4.69464863055338,-3.909095947
Schaalia odontolytica,7.47755576649368,-2.509080306,1.65380715714119,-2.531410419
Veillonella atypica,3.67899221385147,-2.363390657,0.913892649670875,-0.658834502
Veillonella dispar,4.46980030179692,-2.15073541,1.86336636384036,-1.00996533
Prevotella jejuni,3.18671931879556,-1.926958186,2.7418065755889,-1.49041226
Haemophilus haemolyticus,4.03621217265444,-1.759138567,0.170401488863488,-0.713737505
Prevotella oris,1.28631970243751,-1.607649717,2.09329763363332,-2.065922695
Prevotella melaninogenica,3.55118396118617,-1.568993389,4.51999305704285,-1.243861627
Prevotella denticola,1.54736296597061,-1.513140111,1.57242295176094,-0.717406462
Prevotella scopos,3.14790567490508,-1.475339637,3.89943992325733,-1.209287286
Veillonella parvula,4.99567862621736,-1.273813778,0.54315176235232,-0.638440674
Prevotella intermedia,1.52252864241134,-1.250061893,2.67191655178232,-1.451497395
Haemophilus parainfluenzae,3.07125193847449,-1.228893704,1.0713385104268,-1.107933003
Streptococcus oralis,2.67191655178232,-1.198995031,4.57024771999759,-2.193656452
Streptococcus salivarius,2.09329763363332,-1.167037616,4.64781748188864,-5.194346708
Streptococcus intermedius,1.17624705757116,-1.092463808,2.60319689763379,-2.882016053
Leptotrichia wadei,2.40383235350777,-1.076793391,2.88515792052316,-3.035933829
Rothia mucilaginosa,1.72759712296535,-0.940367883,1.40169742414224,-1.811382859
Prevotella sp. oral taxon 299,0.821795149163968,-0.738927778,1.72759712296535,-0.894255642
Streptococcus mitis,1.09191363189958,-0.67937856,3.59342405561074,-2.213287563
Streptococcus sp. oral taxon 431,1.42542249027624,-0.597681295,3.30514044041783,-2.422530128
Streptococcus pneumoniae,0.302392688184753,2.797137386,2.15330291911879,1.699573645
Moraxella catarrhalis,1.83573323824384,6.301499505,0.305699974253313,4.743581896
Pseudomonas aeruginosa,7.07572071393812,8.542501374,6.5543957967264,7.304835125
Escherichia coli,0.302392688184753,8.661696356,2.70671458637543,2.710834571
