V1,log10P,Direction,Contribution,Estimate,Commensal,Health,dir
M00490,1.930120031,Down,1,-0.004949047,-0.643994222492428,0.610099789729668,-
M00275,1.613080057,Down,0.884852834,-0.105585047,-0.568628959082149,0.538701119130457,-
M00157,2.024609285,Down,0.895117832,-0.000677964,-0.477122611435385,0.452010895044049,-
M00049,2.724592415,Down,0.946780997,-0.004231037,-0.454264467475656,0.430355811292726,-
M00005,1.724344448,Down,0.8715319,-0.002144178,-0.428192028709811,0.405655606146137,-
M00091,1.777284767,Down,1,-2.263912678,-0.374467629278418,0.354758806684817,-
map00620,2.029071702,Down,0.88185444,-0.003705728,-0.335581812599817,0.317919611936669,-
M00126,1.979255134,Down,0.919709098,-0.007675034,-0.28532434517326,0.270307274374666,-
M00316,1.932839225,Down,1,-3.831906517,-0.210355798846269,0.199284441012255,-
M00029,2.069090197,Down,0.890337933,-0.276641796,-0.197195218287489,0.186816522588147,-
map00310,2.984829024,Up,0.904763552,0.002327848,-0.152473756940984,0.144448822365143,+
M00133,2.793985251,Up,0.912516462,0.007063614,-0.0736339901653982,0.0697585169987978,+
map00860,4.089494469,Up,0.922531526,0.016033978,-0.0014815382570446,0.00140356255930535,+
M00334,2.863361319,Up,0.842350687,0.011871036,0.439540119156431,-0.416406428674513,+
M00185,2.737825863,Up,0.141741093,0.252622892,0.442102926110976,-0.418834351052504,+
M00044,2.845392746,Up,0.5,0.013059627,0.517771655649386,-0.490520515878365,+
M00151,4.89423515,Up,0.941776672,0.018143076,0.527566869509194,-0.499800192166605,+
M00152,4.959432746,Up,0.912516462,0.018113852,0.533794194362627,-0.505699763080383,+
M00128,2.673910984,Up,0.533594059,0.076103885,0.543638417624795,-0.515025869328754,+
M00330,6.970752639,Up,0.53885772,0.118430941,0.706377798170801,-0.669200019319706,+
