V1,log10P,Direction,Contribution,Estimate,PPM,Health,dir
M00603,1.927592253,Down,0.951656402,-0.051890964,-0.683696757328135,0.683696757328135,-
M00298,2.601353967,Down,1,-0.360049474,-0.620967126780707,0.620967126780707,-
M00459,1.826002946,Down,0.862554143,-0.178532206,-0.606163975055508,0.606163975055508,-
M00481,2.454088494,Down,0.801798078,-0.319287929,-0.576067591733932,0.576067591733932,-
M00495,2.337539776,Down,0.532248041,-0.984184879,-0.511201664746789,0.511201664746789,-
M00222,2.006231772,Down,0.476895059,-0.002182475,-0.491089794830657,0.491089794830657,-
map00750,1.688096963,Down,0.599860196,-0.094851634,-0.468884246233767,0.468884246233767,-
M00589,2.224739046,Down,0.905763463,-0.178616592,-0.421827649357701,0.421827649357701,-
M00183,2.382016221,Down,0.822194288,-0.001918946,-0.379383345803404,0.379383345803404,-
M00458,1.771114131,Down,0.402595538,-1.288183672,-0.372533300472014,0.372533300472014,-
M00376,3.511692987,Up,0.177158782,0.005659898,0.139821264265212,-0.139821264265214,+
map00860,3.806976031,Up,0.181199219,0.022014773,0.185777506052138,-0.185777506052136,+
M00117,3.145517631,Up,0.647207326,0.012768137,0.370991553687383,-0.370991553687384,+
M00064,3.946886323,Up,0.715617229,0.004042101,0.371246222018273,-0.371246222018273,+
M00025,3.334563398,Up,0.57309919,0.018502332,0.446559210650561,-0.446559210650559,+
M00010,3.991947511,Up,0.598447115,0.003086839,0.479125956190504,-0.479125956190503,+
M00024,3.316678673,Up,0.794078362,0.054163,0.547160750405543,-0.547160750405542,+
M00040,3.978840343,Up,0.143367992,0.050938764,0.629205861172768,-0.629205861172768,+
M00452,3.182446646,Up,0.152211883,0.223840129,0.652275285747438,-0.652275285747438,+
M00445,2.990516609,Up,0.37934882,0.008721002,0.691561407091541,-0.691561407091541,+
