Feature.full,V1,Estimate,log10P,Direction,adonis,Commensal,Health,dir
MEdodgerblue,M155,-1.589262241,4.997800131,Down,0.057696181,-0.677175170981186,1.18505654921708,-
MEdarkolivegreen,M221,-2.750379605,4.646000581,Down,0.11767058,-0.664580959300052,1.16301667877509,-
MEsteelblue,M158,-1.812789642,4.90636223,Down,0.144470382,-0.660877785871349,1.15653612527486,-
MEorangered4,M165,-4.78227405,4.02750664,Down,0.059476642,-0.656028846987941,1.1480504822289,-
MEturquoise4,M230,-2.796890309,4.301606434,Down,0.068290287,-0.651777409872254,1.14061046727645,-
MEorchid,M225,-5.458261437,4.599483019,Down,0.069351506,-0.6507087174679,1.13874025556882,-
MEwhitesmoke,M232,-7.533558103,3.99659046,Down,0.179713383,-0.649231599592886,1.13615529928755,-
MEtan1,M209,-14.02369473,3.792186095,Down,0.184114565,-0.647186574187549,1.13257650482821,-
MEhoneydew1,M162,-1.495263166,3.934535899,Down,0.092619303,-0.642347152390108,1.12410751668269,-
MEdarkseagreen1,M180,-9.405256394,4.192141616,Down,0.081,-0.612982543605881,1.07271945131029,-
MElightsteelblue1,M032,4.183708526,3.262000963,Up,0.125434551,0.566232360084744,-0.990906630148302,+
MElightgoldenrod2,M068,13.53574227,3.267538262,Up,0.068141119,0.578403571903707,-1.01220625083149,+
MEtan3,M031,2.909129795,3.99582299,Up,0.151892259,0.590834314512931,-1.03396005039763,+
MElightpink4,M020,3.892227249,3.047450941,Up,0.192673286,0.603630980031278,-1.05635421505474,+
MEpalevioletred,M030,1.116892352,3.848117962,Up,0.125019042,0.614123343938016,-1.07471585189153,+
MEorange3,M053,0.391855746,3.665803315,Up,0.093887487,0.627798824442691,-1.09864794277471,+
MEgreen3,M045,3.965745838,3.154911835,Up,0.053239352,0.631411008773605,-1.10496926535381,+
MEdarkorange,M048,8.403827212,3.264857951,Up,0.043772566,0.633280757605355,-1.10824132580937,+
MEdarkorchid2,M057,7.232517151,3.735900462,Up,0.161483711,0.634794564363002,-1.11089048763525,+
MEdeepskyblue4,M001,1.197562808,4.484992941,Up,0.072529326,0.658611118548919,-1.15256945746061,+
