Feature.full,V1,Estimate,log10P,Direction,adonis,Health,PPM,dir
MEgreen2,M184,-2.731538616,5.374964565,Down,0.058071596,1.25255096091637,-0.589435746313588,-
MEturquoise4,M230,-4.993582755,4.577100918,Down,0.02940039,1.22958586526352,-0.578628642476953,-
MEindianred1,M229,-3.701021934,4.40943715,Down,0.039292454,1.21968715053519,-0.573970423781265,-
MEwhitesmoke,M232,-3.317269978,4.109090421,Down,0.082385943,1.20329787275047,-0.566257822470811,-
MElightsteelblue,M201,-6.791203293,4.196775145,Down,0.014447962,1.18846032900484,-0.559275448943455,-
MElightyellow3,M227,-1.835685249,3.826744356,Down,0.074067448,1.18496248155672,-0.557629403085516,-
MEblue4,M199,-6.311353886,3.746625324,Down,0.036237369,1.17521889672222,-0.553044186692809,-
MElightyellow,M217,-2.472518855,3.731493275,Down,0.285223758,1.17052159710766,-0.550833692756544,-
MEorange4,M231,-1.928331507,3.641702525,Down,0.0679707,1.16891698486592,-0.550078581113373,-
MEfirebrick,M228,-9.561039201,3.687770819,Down,0.017965974,1.16329396664368,-0.547432454891143,-
MEskyblue3,M028,10.24703904,4.242731397,Up,0.060675426,-1.13163526973375,0.532534244580587,+
MElightblue2,M034,12.83493302,4.047203911,Up,0.010375031,-1.16224096596247,0.54693692515881,+
MEtan3,M031,0.631456364,4.19008064,Up,0.026143966,-1.16742816846889,0.549377961632418,+
MEbrown2,M033,5.482685787,4.471103343,Up,0.074756697,-1.18069958371627,0.555623333513537,+
MEcornsilk2,M029,0.878315496,4.463653645,Up,0.096149364,-1.18823118645826,0.559167617156827,+
MEdarkorchid2,M057,7.513051259,4.169720994,Up,0.034489748,-1.19233212277444,0.561097469540915,+
MEpalevioletred,M030,3.456451471,4.365618645,Up,0.024114371,-1.20155581930212,0.56543803261276,+
MEcyan,M050,5.053524638,5.001086748,Up,0.015520893,-1.23813302673882,0.582650836112384,+
MEmagenta1,M026,9.408029509,6.241235031,Up,0.114334263,-1.249450557839,0.587976733100707,+
MEdeepskyblue4,M001,6.928498264,6.416363067,Up,0.17669921,-1.27465670977578,0.599838451659188,+
