Feature.full,Pathway,Estimate,Direction,log10P,Adonis,Commensal,Health,dir
Pathway_625,T0625,-0.456622951,Down,9.530020542,0.100818941,-0.483145274888889,0.547783497789474,-
Pathway_331,T0331,-0.107250873,Down,9.092135433,0.120738768,-0.464436240944444,0.569500689105263,-
Pathway_840,T0840,-0.220207178,Down,6.009782941,0.177176514,-0.426643159333333,0.647137757526316,-
Pathway_516,T0516,-4.75242033,Down,7.89607392,0.132724666,-0.383655155722222,0.508325282842105,-
Pathway_1171,T1171,-0.41695899,Down,7.293139004,0.129657467,-0.333382994888889,0.429888069210526,-
Pathway_389,T0389,-0.015528194,Down,6.993922656,0.092216181,-0.309640455722222,0.404593077315789,-
Pathway_130,T0130,-2.964246697,Down,6.114571816,0.09871737,-0.277718753777778,0.277069272,-
Pathway_526,T0526,-0.060891196,Down,6.347233035,0.059903726,-0.277532562555556,0.467148611315789,-
Pathway_1054,T1054,-0.156064473,Down,7.095093528,0.10657977,-0.268351147166667,0.384367643315789,-
Pathway_611,T0611,-2.100342088,Down,7.429160226,0.219308802,-0.138769731833333,0.465206388473684,-
Pathway_737,T0737,4.941807109,Up,5.819852795,0.026619437,0.112806343722222,-0.240084145421053,+
Pathway_1013,T1013,3.349409421,Up,6.929174267,0.062738527,0.129210429277778,-0.272324926105263,+
Pathway_1166,T1166,4.36291586,Up,8.076734041,0.032906299,0.159782755222222,-0.276267966210526,+
Pathway_607,T0607,0.570028222,Up,5.825052625,0.045499766,0.1734467975,-0.261829205473684,+
Pathway_1334,T1334,2.681034759,Up,5.850322582,0.076605742,0.207409900888889,-0.247132481421053,+
Pathway_868,T0868,0.292840556,Up,8.647053275,0.082625977,0.207549217666667,-0.329440380421053,+
Pathway_136,T0136,0.038829718,Up,6.00646749,0.047723972,0.216901323833333,-0.281890322315789,+
Pathway_936,T0936,2.5977178,Up,6.157851343,0.038088984,0.220750673777778,-0.260867162210526,+
Pathway_420,T0420,2.792856623,Up,5.936069076,0.047363435,0.278153935944444,-0.353348550421053,+
Pathway_104,T0104,0.339254279,Up,5.961257289,0.072941614,0.307687324388889,-0.324447806789474,+
