Feature.full,Pathway,Estimate,Direction,log10P,Adonis,PPM,Health,dir
Pathway_1150,T1150,-0.8314064,Down,5.765849813,0.066575056,-0.244645535684211,0.428088818315789,-
Pathway_625,T0625,-1.0832368,Down,5.896825179,0.061538857,-0.211598049105263,0.547783497789474,-
Pathway_179,T0179,-2.822482713,Down,5.302112925,0.032997615,-0.199961869421053,0.284827362,-
Pathway_579,T0579,-0.81361326,Down,6.558668647,0.078349522,-0.199482046473684,0.369641037736842,-
Pathway_1012,T1012,-0.980328638,Down,5.589582205,0.061654218,-0.194647834263158,0.463922742894737,-
Pathway_407,T0407,-0.946742122,Down,5.397732061,0.053741208,-0.184439289421053,0.459797190210526,-
Pathway_427,T0427,-2.491799622,Down,5.953305237,0.041689786,-0.173854222263158,0.436140879684211,-
Pathway_1452,T1452,-3.330534618,Down,5.714156104,0.041052809,-0.143908949526316,0.309281086473684,-
Pathway_364,T0364,-2.85001186,Down,6.484076586,0.050845753,-0.141489086684211,0.370889876368421,-
Pathway_1268,T1268,-3.073796186,Down,6.344615634,0.071922061,-0.131096059684211,0.461251931631579,-
Pathway_1166,T1166,2.106187455,Up,5.275719152,0.084396125,0.0144587643684211,-0.276267966210526,+
Pathway_1170,T1170,1.202987254,Up,5.688834471,0.031511975,0.027693394,-0.331999775894737,+
Pathway_816,T0816,4.059137001,Up,5.368510744,0.084003447,0.0766613006842105,-0.147374707315789,+
Pathway_906,T0906,0.171573992,Up,6.605332004,0.092596599,0.0811067951578947,-0.343841072789474,+
Pathway_497,T0497,2.167459916,Up,5.377524924,0.07531258,0.103134590105263,-0.272254955631579,+
Pathway_136,T0136,1.557824214,Up,5.210137938,0.075572901,0.109114791368421,-0.281890322315789,+
Pathway_1035,T1035,0.508090179,Up,5.538344085,0.09432571,0.120083248368421,-0.263973369947368,+
Pathway_6,T0006,2.276323068,Up,5.853687119,0.059485764,0.143615319631579,-0.393350684842105,+
Pathway_864,T0864,4.542668103,Up,5.41899382,0.050068985,0.187898003789474,-0.165664984473684,+
Pathway_420,T0420,0.657857474,Up,6.010743111,0.085318304,0.255157308631579,-0.353348550421053,+
