Var1,Var2,rho,spearman.p
s__Pseudomonas_aeruginosa,s__Pseudomonas_aeruginosa,1,NA
s__Prevotella_melaninogenica,s__Pseudomonas_aeruginosa,-0.222058967577628,0.0449557890355048
s__Escherichia_coli,s__Pseudomonas_aeruginosa,0.170383430741938,0.125913944351864
s__Haemophilus_influenzae,s__Pseudomonas_aeruginosa,-0.169712339094834,0.127434214560084
s__Prevotella_intermedia,s__Pseudomonas_aeruginosa,-0.218597969112221,0.0484919239775095
s__Neisseria_subflava,s__Pseudomonas_aeruginosa,-0.298005028243054,0.00654399811074424
s__Porphyromonas_gingivalis,s__Pseudomonas_aeruginosa,-0.519813672032303,5.59615179529516e-07
s__Prevotella_jejuni,s__Pseudomonas_aeruginosa,-0.023519552464601,0.833872193207587
s__Capnocytophaga_sp._FDAARGOS_737,s__Pseudomonas_aeruginosa,-0.2714054048171,0.0136465678942597
s__Haemophilus_parainfluenzae,s__Pseudomonas_aeruginosa,-0.144523895038147,0.195168078406268
s__Capnocytophaga_leadbetteri,s__Pseudomonas_aeruginosa,-0.273995711844669,0.0127415202051464
s__Klebsiella_pneumoniae,s__Pseudomonas_aeruginosa,0.186125229966059,0.0940863756984143
s__Capnocytophaga_gingivalis,s__Pseudomonas_aeruginosa,-0.279350464187373,0.0110344228462624
s__Prevotella_sp._oral_taxon_299,s__Pseudomonas_aeruginosa,-0.297417311522513,0.00665603414670946
s__Leptotrichia_sp._oral_taxon_212,s__Pseudomonas_aeruginosa,-0.249159238580338,0.0239879432451238
s__Tannerella_forsythia,s__Pseudomonas_aeruginosa,-0.355231222994961,0.0010570689557774
s__Fusobacterium_nucleatum,s__Pseudomonas_aeruginosa,-0.331396044884144,0.00235571799285283
s__Veillonella_dispar,s__Pseudomonas_aeruginosa,-0.196373570161404,0.0770276542672153
s__Moraxella_catarrhalis,s__Pseudomonas_aeruginosa,0.0319757828390743,0.775505661300565
s__Neisseria_flavescens,s__Pseudomonas_aeruginosa,-0.292715577758187,0.00761492372997363
s__Parvimonas_micra,s__Pseudomonas_aeruginosa,-0.213373820485193,0.0542608823441997
s__Leptotrichia_wadei,s__Pseudomonas_aeruginosa,-0.139865695845713,0.210109400873562
s__Lautropia_mirabilis,s__Pseudomonas_aeruginosa,-0.175759950370588,0.114229987440156
s__Capnocytophaga_sputigena,s__Pseudomonas_aeruginosa,-0.286686039551159,0.00902105953515386
s__Veillonella_atypica,s__Pseudomonas_aeruginosa,-0.11531219729868,0.3022539163345
s__Treponema_sp._OMZ_838,s__Pseudomonas_aeruginosa,-0.154275639141934,0.166395515524292
s__Prevotella_oris,s__Pseudomonas_aeruginosa,-0.16666122484518,0.134523278368638
s__Veillonella_parvula,s__Pseudomonas_aeruginosa,-0.189016227511673,0.0889982933705999
s__Prevotella_scopos,s__Pseudomonas_aeruginosa,-0.240517626059795,0.0295101869801497
s__Aggregatibacter_segnis,s__Pseudomonas_aeruginosa,-0.205751390759783,0.0636748410270194
s__Neisseria_elongata,s__Pseudomonas_aeruginosa,-0.331461346741981,0.00235074962577153
s__Neisseria_mucosa,s__Pseudomonas_aeruginosa,-0.263982760309531,0.0165550561339436
s__Streptococcus_pneumoniae,s__Pseudomonas_aeruginosa,-0.147927641822957,0.184744630228096
s__Fusobacterium_pseudoperiodonticum,s__Pseudomonas_aeruginosa,-0.321600766208465,0.00321698042261076
s__Neisseria_meningitidis,s__Pseudomonas_aeruginosa,-0.320251194479816,0.00335545636643619
s__Prevotella_enoeca,s__Pseudomonas_aeruginosa,-0.262430199557667,0.0172267619433819
s__Streptococcus_mitis,s__Pseudomonas_aeruginosa,-0.0697532678138026,0.533478434022014
s__Prevotella_fusca,s__Pseudomonas_aeruginosa,-0.208292292709371,0.0603998016880118
s__Treponema_denticola,s__Pseudomonas_aeruginosa,-0.166548748687211,0.134790211651673
s__Rothia_mucilaginosa,s__Pseudomonas_aeruginosa,-0.0879076626718356,0.432254778104055
s__Prevotella_denticola,s__Pseudomonas_aeruginosa,-0.291611793841332,0.0078569084343505
s__Pseudomonas_stutzeri,s__Pseudomonas_aeruginosa,0.368204525418748,0.000665400469243238
s__Tannerella_sp._oral_taxon_HOT-286,s__Pseudomonas_aeruginosa,-0.329284618147386,0.00252153221209439
s__Filifactor_alocis,s__Pseudomonas_aeruginosa,-0.0508293788031204,0.650183872160947
s__Streptococcus_salivarius,s__Pseudomonas_aeruginosa,-0.1383277462974,0.215216276623655
s__Capnocytophaga_sp._oral_taxon_878,s__Pseudomonas_aeruginosa,-0.271548369897524,0.0135952015773424
s__Campylobacter_showae,s__Pseudomonas_aeruginosa,-0.392235609103079,0.000267899195120158
s__Streptococcus_cristatus,s__Pseudomonas_aeruginosa,-0.262727710580899,0.0170962589486128
s__Streptococcus_parasanguinis,s__Pseudomonas_aeruginosa,-0.0139809899309675,0.900788201983388
s__Capnocytophaga_sp._ChDC_OS43,s__Pseudomonas_aeruginosa,-0.218249692537086,0.0488601129195296
s__Streptococcus_sp._oral_taxon_431,s__Pseudomonas_aeruginosa,-0.100761314970392,0.367737142576727
s__Staphylococcus_aureus,s__Pseudomonas_aeruginosa,0.0563446196710963,0.615112586095802
s__Aggregatibacter_aphrophilus,s__Pseudomonas_aeruginosa,-0.271006899059073,0.013790636851398
s__Campylobacter_concisus,s__Pseudomonas_aeruginosa,-0.1703181288841,0.126061265547006
s__Neisseria_sp._oral_taxon_014,s__Pseudomonas_aeruginosa,-0.313989050891225,0.00407016732220455
s__Leptotrichia_sp._oral_taxon_498,s__Pseudomonas_aeruginosa,-0.161608919435685,0.146914039236136
s__Neisseria_lactamica,s__Pseudomonas_aeruginosa,-0.284907323830275,0.00947713307766707
s__Streptococcus_oralis,s__Pseudomonas_aeruginosa,-0.0999466690122402,0.37164245474949
s__Prevotella_dentalis,s__Pseudomonas_aeruginosa,-0.304059833414031,0.00548312663418082
s__Haemophilus_haemolyticus,s__Pseudomonas_aeruginosa,-0.262996321539704,0.0169791648199564
s__Eikenella_corrodens,s__Pseudomonas_aeruginosa,-0.434669511090258,4.49438753795661e-05
s__Ottowia_sp._oral_taxon_894,s__Pseudomonas_aeruginosa,-0.0364532879781366,0.745075868899539
s__Leptotrichia_buccalis,s__Pseudomonas_aeruginosa,-0.203339283683061,0.0669156176762886
s__Pseudomonas_aeruginosa,s__Haemophilus_influenzae,-0.169712339094834,0.127434214560084
s__Prevotella_melaninogenica,s__Haemophilus_influenzae,0.116424863162794,0.297581322608566
s__Escherichia_coli,s__Haemophilus_influenzae,-0.262116479344635,0.0173653027616225
s__Haemophilus_influenzae,s__Haemophilus_influenzae,1,NA
s__Prevotella_intermedia,s__Haemophilus_influenzae,0.335691507388057,0.00204827502880001
s__Neisseria_subflava,s__Haemophilus_influenzae,0.23754067855735,0.0316455865497778
s__Porphyromonas_gingivalis,s__Haemophilus_influenzae,-0.00725954788534947,0.94838926664294
s__Prevotella_jejuni,s__Haemophilus_influenzae,0.180552683463362,0.104537071294332
s__Capnocytophaga_sp._FDAARGOS_737,s__Haemophilus_influenzae,0.354803600471525,0.00107296954543878
s__Haemophilus_parainfluenzae,s__Haemophilus_influenzae,0.491918719301559,2.68537973280303e-06
s__Capnocytophaga_leadbetteri,s__Haemophilus_influenzae,0.335212616672981,0.00208066403185003
s__Klebsiella_pneumoniae,s__Haemophilus_influenzae,-0.232365009741285,0.035667536508222
s__Capnocytophaga_gingivalis,s__Haemophilus_influenzae,0.282142818338702,0.0102260271339421
s__Prevotella_sp._oral_taxon_299,s__Haemophilus_influenzae,0.239956899892503,0.0299028394244258
s__Leptotrichia_sp._oral_taxon_212,s__Haemophilus_influenzae,0.244332219607512,0.0269528061152706
s__Tannerella_forsythia,s__Haemophilus_influenzae,0.0373208241362269,0.73922321575678
s__Fusobacterium_nucleatum,s__Haemophilus_influenzae,0.445705765296771,2.71355633831849e-05
s__Veillonella_dispar,s__Haemophilus_influenzae,0.0015346270642193,0.989082643885099
s__Moraxella_catarrhalis,s__Haemophilus_influenzae,0.243617318668989,0.0274172607517649
s__Neisseria_flavescens,s__Haemophilus_influenzae,0.232642932607714,0.0354411937034533
s__Parvimonas_micra,s__Haemophilus_influenzae,-0.205455000647289,0.0640660647789764
s__Leptotrichia_wadei,s__Haemophilus_influenzae,0.216251809496265,0.0510169634406044
s__Lautropia_mirabilis,s__Haemophilus_influenzae,0.0622666768397066,0.578393884514036
