Group,dataSet,var,X,Method,Estimate,p_value,-logP,-logP*Direction,sigLabels0.05
Commensal,All,AE_1year,CI,MASS::glm.nb,0.0395386795830882,0.338887075619096,0.469944993848784,0.469944993848784,
Commensal,All,AE_1year,Shannon,MASS::glm.nb,0.230625656540599,0.0297005781528459,1.52723509660377,1.52723509660377,+
Commensal,EMBARC,AE_1year,CI,MASS::glm.nb,0.0952076452972156,0.143225756655198,0.843978874714173,0.843978874714173,
Commensal,EMBARC,AE_1year,Shannon,MASS::glm.nb,0.322502085957466,0.0639561091178327,1.19411796518932,1.19411796518932,
Commensal,CAMEB2,AE_1year,CI,MASS::glm.nb,0.0617853372282346,0.328901548779571,0.482934081443348,0.482934081443348,
Commensal,CAMEB2,AE_1year,Shannon,MASS::glm.nb,0.321596964604163,0.0490621169250981,1.3092537168501,1.3092537168501,+
Commensal,China,AE_1year,CI,MASS::glm.nb,-0.0749680511488796,0.733020270819204,0.134884015286297,-0.134884015286297,
Commensal,China,AE_1year,Shannon,MASS::glm.nb,0.0584804797619285,0.797114384998381,0.0984793533728225,0.0984793533728225,
Commensal,All,BSI,CI,MASS::rlm,0.644511019424443,2.92697864723116e-06,5.53358044580109,5.53358044580109,+
Commensal,All,BSI,Shannon,MASS::rlm,1.15212494550934,0.00159134215116819,2.79823643355977,2.79823643355977,+
Commensal,EMBARC,BSI,CI,MASS::rlm,0.764397457859213,5.06860014988414e-05,4.29511196791021,4.29511196791021,+
Commensal,EMBARC,BSI,Shannon,MASS::rlm,1.31609257893485,0.00915284795650192,2.03844375190655,2.03844375190655,+
Commensal,CAMEB2,BSI,CI,MASS::rlm,0.257566273565051,0.246659499959811,0.607902153258106,0.607902153258106,
Commensal,CAMEB2,BSI,Shannon,MASS::rlm,0.206778611926925,0.717137257373124,0.144397714046554,0.144397714046554,
Commensal,China,BSI,CI,MASS::rlm,-0.358017325115048,0.653863088253691,0.184513178649177,-0.184513178649177,
Commensal,China,BSI,Shannon,MASS::rlm,0.0318666273076874,0.970265831113869,0.0131092624665301,0.0131092624665301,
Commensal,All,FEV1pred_perc,CI,MASS::rlm,-3.60639266735287,0.000161326837310696,3.79229338012226,-3.79229338012226,-
Commensal,All,FEV1pred_perc,Shannon,MASS::rlm,-2.10876725230525,0.408634836763931,0.388664611836168,-0.388664611836168,
Commensal,EMBARC,FEV1pred_perc,CI,MASS::rlm,-4.34538756550007,0.0118265555746742,1.92714172305822,-1.92714172305822,-
Commensal,EMBARC,FEV1pred_perc,Shannon,MASS::rlm,-5.48963977142227,0.224240430749495,0.649286080998978,-0.649286080998978,
Commensal,CAMEB2,FEV1pred_perc,CI,MASS::rlm,-2.33684740964197,0.0629793785686754,1.20080162895712,-1.20080162895712,
Commensal,CAMEB2,FEV1pred_perc,Shannon,MASS::rlm,-3.03196886528605,0.36825514401613,0.433851177948422,-0.433851177948422,
Commensal,China,FEV1pred_perc,CI,MASS::rlm,-2.09560316993866,0.674143155111353,0.171247870714894,-0.171247870714894,
Commensal,China,FEV1pred_perc,Shannon,MASS::rlm,7.72420654390705,0.0908823421365686,1.04152048924881,1.04152048924881,
Commensal,All,MMRC,CI,lm,0.0522694971449953,0.209584782142966,0.678640254471087,0.678640254471087,
Commensal,All,MMRC,Shannon,lm,0.191834276709786,0.0760703468925364,1.11878460329052,1.11878460329052,
Commensal,EMBARC,MMRC,CI,lm,0.158218474454137,0.0183413230445491,1.73656933986433,1.73656933986433,+
Commensal,EMBARC,MMRC,Shannon,lm,0.45202586852402,0.0116245009076404,1.93462568426259,1.93462568426259,+
Commensal,CAMEB2,MMRC,CI,lm,0.00733273743447449,0.906140711279155,0.0428043570836192,0.0428043570836192,
Commensal,CAMEB2,MMRC,Shannon,lm,0.0690986714339763,0.677167215353747,0.169304076162069,0.169304076162069,
Commensal,China,MMRC,CI,lm,0.107055689929224,0.549430474713999,0.260087255667051,0.260087255667051,
Commensal,China,MMRC,Shannon,lm,0.0343945968129927,0.84651519980942,0.0723652394049076,0.0723652394049076,
