Group,dataSet,var,X,Method,Estimate,p_value,-logP,-logP*Direction,sigLabels0.05
All,All,AE_1year,CI,MASS::glm.nb,0.00097003943537121,0.966980481701183,0.0145822919718296,0.0145822919718296,
All,All,AE_1year,Shannon,MASS::glm.nb,0.0112188811749347,0.74008631569037,0.130717625888027,0.130717625888027,
All,EMBARC,AE_1year,CI,MASS::glm.nb,0.0134745279803533,0.651071511902298,0.186371307101737,0.186371307101737,
All,EMBARC,AE_1year,Shannon,MASS::glm.nb,0.0112819932193688,0.797155839948882,0.0984567679215327,0.0984567679215327,
All,CAMEB2,AE_1year,CI,MASS::glm.nb,0.0222442773754912,0.59579964974206,0.224899756433388,0.224899756433388,
All,CAMEB2,AE_1year,Shannon,MASS::glm.nb,0.0879304754489976,0.176580038354456,0.753058393184846,0.753058393184846,
All,China,AE_1year,CI,MASS::glm.nb,-0.032684793140873,0.677588785347142,0.169033790549483,-0.169033790549483,
All,China,AE_1year,Shannon,MASS::glm.nb,-0.0343636428768772,0.668262331627881,0.175053018342428,-0.175053018342428,
All,All,BSI,CI,MASS::rlm,0.511243650947275,3.93080351184502e-09,8.40551866461395,8.40551866461395,+
All,All,BSI,Shannon,MASS::rlm,0.506591880084363,4.7709921822315e-05,4.32139129507731,4.32139129507731,+
All,EMBARC,BSI,CI,MASS::rlm,0.643927825907256,2.39594767098858e-09,8.62052267144511,8.62052267144511,+
All,EMBARC,BSI,Shannon,MASS::rlm,0.749178946292003,3.25270973419735e-06,5.48775469062559,5.48775469062559,+
All,CAMEB2,BSI,CI,MASS::rlm,0.172781005150204,0.25674389464091,0.590499875112531,0.590499875112531,
All,CAMEB2,BSI,Shannon,MASS::rlm,0.061542201823335,0.793253837724317,0.100587818126432,0.100587818126432,
All,China,BSI,CI,MASS::rlm,0.44549986218713,0.212449450599903,0.672744387670438,0.672744387670438,
All,China,BSI,Shannon,MASS::rlm,0.279719544617191,0.420927111953433,0.375793100404126,0.375793100404126,
All,All,FEV1pred_perc,CI,MASS::rlm,-4.33345251554725,8.3684913352733e-15,14.0773528292017,-14.0773528292017,-
All,All,FEV1pred_perc,Shannon,MASS::rlm,-5.11082991377292,5.07543251111558e-10,9.29452694273747,-9.29452694273747,-
All,EMBARC,FEV1pred_perc,CI,MASS::rlm,-4.99390142009801,5.28649775925483e-11,10.276831947538,-10.276831947538,-
All,EMBARC,FEV1pred_perc,Shannon,MASS::rlm,-6.40528703690164,2.80202674116332e-08,7.55252772433781,-7.55252772433781,-
All,CAMEB2,FEV1pred_perc,CI,MASS::rlm,-2.44621658450179,0.00922532756624025,2.03501820428165,-2.03501820428165,-
All,CAMEB2,FEV1pred_perc,Shannon,MASS::rlm,-4.1825159262201,0.00361324508236988,2.44210257972426,-2.44210257972426,-
All,China,FEV1pred_perc,CI,MASS::rlm,-4.50214275364118,0.0155620349663949,1.80793361320171,-1.80793361320171,-
All,China,FEV1pred_perc,Shannon,MASS::rlm,0.287628662502626,0.8805416344528,0.0552501045625454,0.0552501045625454,
All,All,MMRC,CI,lm,0.089582155250281,0.00028800089479741,3.54060616291794,3.54060616291794,+
All,All,MMRC,Shannon,lm,0.102655258600537,0.00419267122430243,2.37750919222784,2.37750919222784,+
All,EMBARC,MMRC,CI,lm,0.126875353321654,0.000161096665104818,3.79291344990708,3.79291344990708,+
All,EMBARC,MMRC,Shannon,lm,0.149466686441003,0.00274319703592732,2.56174299715569,2.56174299715569,+
All,CAMEB2,MMRC,CI,lm,0.0478796767588528,0.273581014595616,0.56291404416847,0.56291404416847,
All,CAMEB2,MMRC,Shannon,lm,0.12856993509181,0.0630974403637422,1.19998825816394,1.19998825816394,
All,China,MMRC,CI,lm,0.15607404841506,0.00865617478227167,2.06267398303582,2.06267398303582,+
All,China,MMRC,Shannon,lm,0.0537649537143148,0.373273914223669,0.427972359134935,0.427972359134935,
