Clusters,Variable,value,n,perc
Commensal,MMRC.cat,>2,60,0.201342281879195
Commensal,MMRC.cat,level0,63,0.211409395973154
Commensal,MMRC.cat,level1,120,0.402684563758389
Commensal,MMRC.cat,level2,55,0.184563758389262
Hi,MMRC.cat,>2,18,0.214285714285714
Hi,MMRC.cat,level0,16,0.19047619047619
Hi,MMRC.cat,level1,27,0.321428571428571
Hi,MMRC.cat,level2,23,0.273809523809524
PPM,MMRC.cat,>2,27,0.181208053691275
PPM,MMRC.cat,level0,30,0.201342281879195
PPM,MMRC.cat,level1,53,0.355704697986577
PPM,MMRC.cat,level2,39,0.261744966442953
Pa,MMRC.cat,>2,25,0.203252032520325
Pa,MMRC.cat,level0,23,0.186991869918699
Pa,MMRC.cat,level1,45,0.365853658536585
Pa,MMRC.cat,level2,30,0.24390243902439
