Study,Clusters,Variable,value,n,perc
CAMEB2,Commensal,MMRC.cat,>2,22,0.180327868852459
CAMEB2,Commensal,MMRC.cat,level0,22,0.180327868852459
CAMEB2,Commensal,MMRC.cat,level1,54,0.442622950819672
CAMEB2,Commensal,MMRC.cat,level2,24,0.19672131147541
CAMEB2,Hi,MMRC.cat,>2,7,0.241379310344828
CAMEB2,Hi,MMRC.cat,level0,2,0.0689655172413793
CAMEB2,Hi,MMRC.cat,level1,10,0.344827586206897
CAMEB2,Hi,MMRC.cat,level2,10,0.344827586206897
CAMEB2,PPM,MMRC.cat,>2,15,0.227272727272727
CAMEB2,PPM,MMRC.cat,level0,11,0.166666666666667
CAMEB2,PPM,MMRC.cat,level1,28,0.424242424242424
CAMEB2,PPM,MMRC.cat,level2,12,0.181818181818182
CAMEB2,Pa,MMRC.cat,>2,8,0.25
CAMEB2,Pa,MMRC.cat,level0,4,0.125
CAMEB2,Pa,MMRC.cat,level1,12,0.375
CAMEB2,Pa,MMRC.cat,level2,8,0.25
China,Commensal,MMRC.cat,level0,8,0.444444444444444
China,Commensal,MMRC.cat,level1,9,0.5
China,Commensal,MMRC.cat,level2,1,0.0555555555555556
China,Hi,MMRC.cat,level0,3,0.333333333333333
China,Hi,MMRC.cat,level1,5,0.555555555555556
China,Hi,MMRC.cat,level2,1,0.111111111111111
China,PPM,MMRC.cat,level0,10,0.526315789473684
China,PPM,MMRC.cat,level1,5,0.263157894736842
China,PPM,MMRC.cat,level2,4,0.210526315789474
China,Pa,MMRC.cat,level0,12,0.333333333333333
China,Pa,MMRC.cat,level1,19,0.527777777777778
China,Pa,MMRC.cat,level2,5,0.138888888888889
EMBARC,Commensal,MMRC.cat,>2,38,0.240506329113924
EMBARC,Commensal,MMRC.cat,level0,33,0.208860759493671
EMBARC,Commensal,MMRC.cat,level1,57,0.360759493670886
EMBARC,Commensal,MMRC.cat,level2,30,0.189873417721519
EMBARC,Hi,MMRC.cat,>2,11,0.239130434782609
EMBARC,Hi,MMRC.cat,level0,11,0.239130434782609
EMBARC,Hi,MMRC.cat,level1,12,0.260869565217391
EMBARC,Hi,MMRC.cat,level2,12,0.260869565217391
EMBARC,PPM,MMRC.cat,>2,12,0.1875
EMBARC,PPM,MMRC.cat,level0,9,0.140625
EMBARC,PPM,MMRC.cat,level1,20,0.3125
EMBARC,PPM,MMRC.cat,level2,23,0.359375
EMBARC,Pa,MMRC.cat,>2,17,0.309090909090909
EMBARC,Pa,MMRC.cat,level0,7,0.127272727272727
EMBARC,Pa,MMRC.cat,level1,14,0.254545454545455
EMBARC,Pa,MMRC.cat,level2,17,0.309090909090909
