species	metaG_Pval	metaG_FC	metaT_Pval	metaT_FC
Escherichia_coli	1.729657381	0.154390929	0.846946189	3.141052296
Porphyromonas_gingivalis	1.996087777	1.312802925	0.416861104	2.497094507
Streptococcus_sp._oral_taxon_431	4.398374086	-2.380951284	3.17841769	-3.356018456
Rothia_dentocariosa	3.077956846	-2.428052078	2.040010961	-3.387158525
Schaalia_odontolytica	4.885040659	-3.415432821	3.17841769	-4.6164225
Streptococcus_salivarius	5.259499572	-3.900652786	3.17841769	-4.752735515
Pseudomonas_aeruginosa	6.538253173	7.742314129	2.21403247	8.973758898
Leptotrichia_wadei	3.855206134	-3.571925413	2.368813874	-4.131799041
Streptococcus_oralis	5.936193181	-3.303117605	4.71217837	-3.521148255
Streptococcus_pseudopneumoniae	5.259499572	-3.405496107	3.321078586	-3.362860436
Streptococcus_mitis	5.936193181	-3.518279699	3.983158724	-3.352326416
Streptococcus_pneumoniae	5.259499572	-2.983389663	2.785178484	-2.702799724
Tannerella_forsythia	5.936193181	-3.264265325	3.077956846	-2.93569718
Haemophilus_parainfluenzae	6.538253173	-3.319346452	3.855206134	-2.97464989
Haemophilus_influenzae	6.538253173	6.259906853	5.259499572	5.547704967
Capnocytophaga_sputigena	2.885620104	-2.374109888	1.729657381	-1.965682973
Rothia_mucilaginosa	4.885040659	-3.34890633	1.605885965	-2.599792338
Prevotella_oris	4.398374086	-3.115670871	2.139532137	-2.188571049
Prevotella_intermedia	5.259499572	-3.521090157	2.616618711	-2.064283214
Prevotella_jejuni	4.398374086	-4.394989116	1.927029219	-2.375624052
Prevotella_scopos	4.885040659	-3.468344177	2.703832469	-1.596665308
Prevotella_melaninogenica	4.551481438	-3.014884364	1.996087777	-1.224929616
Prevotella_sp._oral_taxon_299	5.693155133	-3.514147133	1.605885965	-1.312071301
Prevotella_denticola	6.237223177	-3.837016455	2.703832469	-1.399982908
Fusobacterium_pseudoperiodonticum	5.061131918	-3.37597773	0.765461479	-1.209116747
Veillonella_parvula	6.538253173	-3.779990328	0.846946189	-1.309004504
Neisseria_meningitidis	6.237223177	-3.220147165	0.650876151	-1.106042291
Veillonella_dispar	4.885040659	-3.799139369	1.375637992	-1.240559752
Neisseria_elongata	5.459071927	-2.637933582	1.605885965	-0.817686905
Veillonella_atypica	3.983158724	-3.707754969	1.166666315	-1.033215164
Neisseria_flavescens	6.237223177	-3.38077332	0.302566187	-0.625141464
Neisseria_subflava	6.237223177	-3.414855207	0.177943449	-0.416164975
