species	metaG_Pval	metaG_FC	metaT_Pval	metaT_FC
Escherichia_coli	0.104712821	0.638276952	4.897475878	3.544897151
Haemophilus_influenzae	4.054185771	1.608518087	1.955385938	2.864092801
Streptococcus_salivarius	7.605061112	-2.903426005	4.182498905	-3.606479774
Streptococcus_intermedius	6.981286137	-3.347076675	4.820794417	-4.014626969
Staphylococcus_aureus	1.554568511	1.491224757	0.913030956	1.507728059
Pseudomonas_aeruginosa	14.14702095	10.97171234	12.49380843	10.02151497
Leptotrichia_wadei	8.757181783	-3.74634438	3.624034973	-3.219271891
Streptococcus_sp._oral_taxon_431	10.94371603	-3.140502789	5.028452218	-2.591437218
Rothia_dentocariosa	11.06351833	-4.140769361	3.653526686	-3.23151918
Prevotella_oris	9.982014166	-3.459093002	3.55565343	-2.517306417
Tannerella_forsythia	12.49380843	-4.036903621	6.684792969	-2.757029936
Rothia_mucilaginosa	11.44115723	-3.468184524	2.275132929	-2.29459258
Prevotella_jejuni	8.227180107	-4.194280903	4.321755222	-2.564776705
Streptococcus_oralis	11.31196484	-3.270705325	5.486381299	-1.957073651
Haemophilus_parainfluenzae	13.54496095	-3.608576388	4.440426504	-2.157137841
Prevotella_sp._oral_taxon_299	11.06351833	-3.669449572	6.189046277	-2.172604614
Porphyromonas_gingivalis	8.013031371	-2.688121672	4.602550008	-1.583475291
Streptococcus_mitis	9.514260057	-2.792736583	4.167292073	-1.643277691
Prevotella_melaninogenica	11.18559985	-3.574741234	6.800265046	-2.078364074
Streptococcus_pseudopneumoniae	9.165823202	-2.878304836	3.435723767	-1.605466956
Prevotella_scopos	11.85698633	-3.873454458	7.474597765	-2.093605279
Schaalia_odontolytica	12.66989969	-4.271713334	2.724189298	-2.298654982
Haemophilus_haemolyticus	11.57531211	-3.421226896	2.802806966	-1.747544922
Prevotella_denticola	13.30192291	-4.085404668	5.659532976	-1.773647729
Prevotella_intermedia	11.06351833	-3.474234338	3.658570316	-1.046547342
Capnocytophaga_sputigena	8.448841207	-2.8684492	1.72223679	-0.821011433
Veillonella_parvula	13.84599095	-3.689114872	1.554568511	-0.982614545
Fusobacterium_pseudoperiodonticum	10.49371193	-3.827153089	1.877008924	-0.958874787
Veillonella_dispar	11.44115723	-4.242602871	2.468502145	-0.840179568
Streptococcus_pneumoniae	8.757181783	-2.726057366	2.934681221	-0.350606233
Fusobacterium_nucleatum	10.60258081	-3.881297985	1.158779974	-0.416656184
Veillonella_atypica	9.081863407	-4.257798363	1.809739437	-0.27860359
Neisseria_meningitidis	12.49380843	-3.637345833	0.301859214	-0.200567383
