Feature,log10P,Direction,Estimate,Contribution,Hi,Health,dir
map00500,2.098249234,Down,-0.017074382,0.714285614,-1.13906490519818,0.539557060357031,-
map00910,2.483305089,Down,-0.015247279,0.817238686,-0.993543528135656,0.470625881748469,-
M00183,3.393625785,Down,-0.001365812,0.638910717,-0.984076797320291,0.466141640835926,-
map00520,3.121984297,Down,-0.007656442,0.679321348,-0.969924158087174,0.459437759093924,-
M00171,1.855945054,Down,-0.012038413,0.75,-0.966732041118343,0.457925703687635,-
M00172,1.869939084,Down,-0.011384536,1,-0.96537218050309,0.457281559185674,-
M00093,1.709588975,Down,-0.025206782,0.759602074,-0.898918661812083,0.425803576647829,-
M00554,1.689022753,Down,-0.076266221,0.689196911,-0.832552425752351,0.394366938514272,-
M00359,1.762410602,Down,-0.000368732,0.545401597,-0.822124296049517,0.389427298128715,-
M00211,1.909787042,Down,-2.821507378,1,-0.586682905875314,0.277902429098833,-
M00191,2.844910151,Up,0.147610798,0.042233531,0.56913212049783,-0.269588899183182,+
M00234,2.759407308,Up,0.042405821,0.193714062,0.589279476969911,-0.279132383827853,+
map00760,3.768688904,Up,0.003223865,0.215221749,0.64519511454332,-0.305618738467888,+
M00447,3.53521704,Up,0.036249697,0.07451456,0.677227795265236,-0.320792113546691,+
M00061,2.802325928,Up,0.015165383,0.145606744,0.849489500254449,-0.402389763278423,+
M00150,4.268024125,Up,0.0405245,0.073231281,0.981128152700504,-0.464744914437081,+
M00453,2.656942849,Up,0.011009524,0.094143567,0.982669917705575,-0.465475224176325,+
M00456,3.648239697,Up,0.081305751,0.058389953,1.02066822996915,-0.483474424722229,+
M00317,3.829171503,Up,0.000979399,0.026103567,1.08722605454895,-0.515001815312662,+
M00445,3.501781355,Up,0.008408185,0.361951288,1.10714547288673,-0.524437329262137,+
