Feature,log10P,Direction,Estimate,Contribution,Pa,Health,dir
M00490,5.299678718,Down,-0.293821456,1,-0.481928698261253,0.913128059863427,-
M00159,4.10422835,Down,-0.040412046,0.996977657,-0.446926413504565,0.84680794137707,-
M00045,3.465652722,Down,-0.012263122,0.907745248,-0.438488381806506,0.830820091843905,-
M00554,3.670581888,Down,-0.066429349,0.425509072,-0.405849401367344,0.768977813117074,-
M00119,3.253447926,Down,-0.021088226,0.449217863,-0.402852752966128,0.763299952988453,-
M00140,4.149749546,Down,-0.011466727,0.529688538,-0.402483088968262,0.762599536992497,-
M00141,3.793070987,Down,-0.03117082,0.41445696,-0.398654308935675,0.755345006404437,-
M00311,5.011960867,Down,-0.00314552,0.987302602,-0.385275888026228,0.729996419418116,-
M00091,4.021775951,Down,-0.021760286,1,-0.375609716522492,0.711681568147879,-
M00183,3.426056986,Down,-0.000387577,0.661123823,-0.345980156963965,0.655541350036983,-
map00540,4.549865334,Up,0.212335739,0.058131258,0.361339026776034,-0.684642366523011,+
M00010,6.10980987,Up,0.335042503,0.005146678,0.403845499921133,-0.765180947218989,+
M00028,5.378083325,Up,0.222054835,0.01414911,0.457430276028221,-0.866709996685052,+
M00497,4.454492401,Up,0.23410442,0.360215602,0.474419039439328,-0.898899232621884,+
M00230,5.790390389,Up,0.021474136,0.048235153,0.570068061196609,-1.08012895805673,+
M00477,5.306797754,Up,0.008085909,0.088302015,0.574886496693589,-1.08925862531417,+
M00044,5.799920689,Up,0.092718052,0.034799053,0.582988635826047,-1.1046100468283,+
M00445,6.20825177,Up,0.17736879,0.016422695,0.59451842039344,-1.12645595442968,+
M00555,4.688938273,Up,0.048005918,0.009142347,0.60265422612064,-1.14187116528121,+
M00087,7.050697002,Up,0.000743966,0.012906372,0.619015786654436,-1.17287201681893,+
