species	metaG_Pval	metaG_FC	metaT_Pval	metaT_FC
Staphylococcus_aureus	3.183011475	-0.091841956	2.254187066	-1.549249927
Leptotrichia_wadei	0.514213956	0.18992642	1.573938502	2.459271103
Rothia_mucilaginosa	0.237279594	-0.670535986	3.816479931	-4.00874979
Streptococcus_oralis	0.42271175	-0.419051066	2.500509585	-1.487264439
Streptococcus_sp._oral_taxon_431	0.106845383	-0.824216805	1.573938502	-1.307791076
Streptococcus_mitis	0.126878088	-0.858324537	2.254187066	-1.267191654
Moraxella_catarrhalis	1.458545084	-3.967985925	1.187686934	-3.748539091
Tannerella_forsythia	0.68425227	-2.151735475	2.41507939	-1.103162899
Streptococcus_pseudopneumoniae	0.147581737	-1.76891292	1.729665735	-0.457175306
Prevotella_melaninogenica	0.68425227	-0.358266958	1.349019821	-0.073716215
Neisseria_sp._oral_taxon_014	0.068726415	-0.829522607	1.296389603	-1.752212508
Streptococcus_pneumoniae	0.068726415	-1.672819859	1.194992066	-2.251261994
Haemophilus_parahaemolyticus	1.296389603	-2.769696393	0.21380151	-2.99098494
Veillonella_dispar	1.098643063	-0.710583776	0.286433992	-0.042578333
