Feature,Estimate,Direction,log10P,Contribution,log10P_SvsH,FC_SvsH,Exacerbation,Stable,dir,log10P_SvsH*dir
M00152,-0.004659581,Down,3.97113813,1,8.57264e-07,19.43795178,-0.455769428393818,0.0944887839353036,-,6.06688541368097
M00151,-0.00467537,Down,3.963070687,0.665356618,1.06544e-06,19.33615293,-0.455409944863845,0.0944142568620164,-,5.97247100245153
map00630,-0.006090648,Down,2.784031383,0.684894583,0.114733193,-33.22058829,-0.402356336283707,0.0834153380100361,-,-0.940310919925357
M00603,-0.032032523,Down,2.6605849,0.942436787,2.21081e-06,-52.30331825,-0.369916859400646,0.0766900806074511,-,-5.65544857967241
M00045,0.002222759,Down,2.673335892,0.891803841,0.037154399,-26.98414119,-0.354658069531678,0.0735266729516891,-,-1.42998975933748
M00149,-0.002643036,Down,2.86474135,1,0.107248639,-16.70846536,-0.341276492225502,0.0707524435101649,-,-0.969608210365059
M00219,-0.152476373,Down,2.893900448,1,0.11226838,-1.643282447,-0.296244452281043,0.0614165327899723,-,-0.949742544051779
M00172,-0.000696254,Down,2.938019901,1,0.004060186,-117.2789795,-0.219783840345661,0.0455649425106859,-,-2.39145407062888
M00171,0.000162019,Down,2.783443515,1,0.001438223,-118.4038941,-0.162548338464031,0.033699045779128,-,-2.8421737703086
M00173,0.000396392,Down,2.745402206,0.926078481,0.703705667,-322.3338004,-0.148264757372303,0.0307378155527937,-,-0.152608951549102
map02060,-0.146619619,Up,1.31581728,0.244770586,0.101262837,-12.70927976,0.0421647824189563,-0.00874147928197885,+,-0.994549909497216
M00529,0.000630357,Up,1.399314293,0.459371174,0.001807623,29.45606857,0.048059498763555,-0.00996355462171193,+,2.74289214138956
M00019,-0.004234619,Up,1.559561762,0.400341499,0.064669854,-31.86862236,0.0993926598651665,-0.0206057953379006,+,-1.18929811952398
M00307,-0.003050696,Up,1.743123396,0.552834469,0.854007734,-81.55760913,0.120415503976393,-0.0249641898487645,+,-0.0685381962684727
M00359,-0.000478296,Up,2.791726872,0.560382487,0.025125344,-556.9851515,0.124443233634021,-0.025799206972908,+,-1.5998879834509
M00360,-0.000473344,Up,2.64198339,0.574748804,0.046180498,-562.3436903,0.135810904334944,-0.0281559191913913,+,-1.33554138806055
M00052,0.002857054,Up,2.146590746,0.554200911,0.573848651,-30.95891054,0.138932126177907,-0.0288030017685907,+,-0.241202634958687
M00050,-0.004861561,Up,1.451176559,0.574439761,0.133683399,-95.93423118,0.139940019436964,-0.0290119552491267,+,-0.873922520713577
M00447,-0.005783763,Up,1.402401293,0.087743107,0.615962055,0.507298054,0.481549258598221,-0.099833382880119,+,0.210446040776632
map00970,-0.058559413,Up,1.336394142,0.314530083,0.025678897,-0.940635631,0.503532383973292,-0.104390860092024,+,-1.59042363469592
