Feature,V1,Estimate,log10P,Direction,adonis,Hi,Health,dir
MEfirebrick,M228,-5.350815094,5.727615582,Down,0.030925973,-0.887013429660848,0.997890108368453,-
MEindianred1,M229,-4.953219983,5.992270761,Down,0.033070885,-0.884814236469767,0.995416016028488,-
MEmediumaquamarine,M223,-16.25290603,5.301626603,Down,0.043737211,-0.884518625997097,0.995083454246734,-
MEhoneydew,M226,-15.28587542,5.475844395,Down,0.044423188,-0.881698068057587,0.991910326564785,-
MEwhitesmoke,M232,-4.656319451,5.41451471,Down,0.034731768,-0.881190743749719,0.991339586718434,-
MEgreen,M200,-37.49288675,4.978095337,Down,0.049718625,-0.876439015443878,0.985993892374363,-
MElightyellow3,M227,-1.251034117,5.762494785,Down,0.039250747,-0.876229401002718,0.985758076128057,-
MElightsteelblue,M201,-6.905943265,4.974497702,Down,0.036559387,-0.871103395250198,0.979991319656473,-
MEsalmon4,M207,-17.56635534,4.919817801,Down,0.036924453,-0.870003670564232,0.978754129384761,-
MEdarkseagreen4,M195,-31.70389075,4.924891156,Down,0.04772325,-0.857138311280082,0.964280600190093,-
MElightblue1,M018,19.64716479,4.310550697,Up,0.030446236,0.818668319205372,-0.921001859106044,+
MEorange3,M053,10.43609588,4.872600358,Up,0.045577671,0.84374914183788,-0.949217784567615,+
MEdodgerblue1,M072,1.393025942,4.832230332,Up,0.025731572,0.846410839796195,-0.952212194770719,+
MEcornsilk2,M029,44.51864216,3.992270294,Up,0.02548052,0.846991033471086,-0.952864912654971,+
MEtan3,M031,23.37508159,4.204753912,Up,0.031351828,0.852508927115201,-0.959072543004601,+
MElightsteelblue1,M032,40.11179798,4.568890076,Up,0.025179458,0.860472997797809,-0.968032122522535,+
MEmistyrose,M023,15.1996861,4.189490147,Up,0.030027388,0.862042893255993,-0.969798254912992,+
MElightpink4,M020,26.77786475,5.414172443,Up,0.033162864,0.87435336069835,-0.983647530785644,+
MEvioletred,M039,3.284552968,5.980654337,Up,0.035843968,0.878775975969614,-0.988622972965816,+
MEmagenta1,M026,35.00878502,6.214254265,Up,0.026080072,0.879861448557414,-0.989844129627091,+
