Feature,V1,Estimate,Direction,log10P,adonis,Pa,Health,dir
MEhoneydew,M226,-0.746219846,Down,20.34087264,0.022632396,-0.45495509912907,1.99042855868968,-
MEmediumaquamarine,M223,-19.72673809,Down,20.04752937,0.026561376,-0.454351055991398,1.98778586996237,-
MEwhitesmoke,M232,-1.067654677,Down,19.25203265,0.019561966,-0.45192604102607,1.97717642948906,-
MEturquoise4,M230,-4.545284369,Down,17.79512609,0.059782282,-0.447806985762767,1.95915556271211,-
MElightseagreen,M216,-15.53668876,Down,16.0033593,0.040563881,-0.443499090364363,1.94030852034409,-
MEindianred1,M229,-2.984478962,Down,16.6448111,0.047759278,-0.442856557973515,1.93749744113413,-
MEorangered,M224,-10.59525907,Down,15.1981278,0.038057975,-0.441521202340481,1.93165526023961,-
MEyellow3,M177,-7.751436477,Down,14.77155866,0.019677707,-0.439822915651518,1.92422525597539,-
MEsteelblue,M158,-18.1643477,Down,14.07910711,0.031904395,-0.435998962997204,1.90749546311277,-
MEtan2,M163,-18.4037026,Down,14.11032378,0.046863064,-0.435240787780314,1.90417844653888,-
MEtomato2,M010,8.987553893,Up,10.69239891,0.018986843,0.402558232720434,-1.7611922681519,+
MEorange3,M053,1.412247056,Up,11.91252267,0.030847206,0.413699336506312,-1.80993459721511,+
MElightcoral,M008,17.43957008,Up,10.96024646,0.038125967,0.416854656626498,-1.82373912274093,+
MElavenderblush,M058,29.52801985,Up,11.25383465,0.025211129,0.420259207906169,-1.83863403458949,+
MEnavajowhite2,M042,3.479271231,Up,13.86621215,0.01671673,0.425095590772217,-1.85979320962845,+
MEdarkorange,M048,11.13133809,Up,12.73608514,0.010805712,0.427728424427551,-1.87131185687054,+
MEdeepskyblue4,M001,18.92550418,Up,12.68853986,0.027551147,0.429841997009197,-1.88055873691524,+
MElightgoldenrod2,M068,7.296207886,Up,12.80505373,0.004440811,0.430099227138457,-1.88168411873075,+
MEpurple2,M056,21.95266215,Up,15.03678264,0.02168947,0.434860793271666,-1.90251597056354,+
MEmagenta1,M026,0.664088603,Up,15.83844726,0.018761542,0.439441362024658,-1.92255595885788,+
