Feature,Pathway,Estimate,log10P,Direction,Adonis,Hi,Health,dir
Pathway_1071,T0119,-0.320412925,4.483437791,Down,0.051874463,-0.269370607555556,0.385804693421053,-
Pathway_1150,T0121,-0.429661719,4.03210741,Down,0.0562838,-0.263377016777778,0.428088818315789,-
Pathway_668,T0138,-1.861345408,2.745578099,Down,0.095763466,-0.201130582222222,0.368489759526316,-
Pathway_594,T0112,-1.092144147,5.002507579,Down,0.018214458,-0.197546313,0.224525394947368,-
Pathway_364,T0109,-1.413237143,5.403016236,Down,0.03783015,-0.18291256,0.370889876368421,-
Pathway_1102,T0131,-4.767709829,3.13068137,Down,0.034536341,-0.158636616888889,0.333906253368421,-
Pathway_120,T0145,-8.206392654,2.414299855,Down,0.047285174,-0.132329599,0.198401262315789,-
Pathway_611,T0111,-1.074496932,5.062308344,Down,0.055873771,-0.123220150444444,0.465206388473684,-
Pathway_309,T0144,-0.046338087,2.422913312,Down,0.051846693,-0.101289176333333,0.313058607894737,-
Pathway_389,T0141,-2.699170582,2.557065707,Down,0.017371911,-0.0855327414444444,0.404593077315789,-
Pathway_982,T0004,19.73501376,4.482032541,Up,0.033030063,0.0524175338888889,-0.263454445789474,+
Pathway_1391,T0011,3.836590656,3.675014891,Up,0.011736548,0.0543370262222222,-0.175397339947368,+
Pathway_868,T0007,2.268282714,3.851372689,Up,0.012795529,0.0815555082222222,-0.329440380421053,+
Pathway_1174,T0002,17.20236513,6.366245921,Up,0.079155381,0.0819475832222222,-0.243806883315789,+
Pathway_391,T0010,1.196318974,3.706022264,Up,0.011085604,0.0889102787777778,-0.279429355105263,+
Pathway_113,T0005,0.857241581,4.320276129,Up,0.020118341,0.122575403222222,-0.248347633210526,+
Pathway_1147,T0001,2.446610689,6.786358984,Up,0.041366477,0.136850286888889,-0.358779028,+
Pathway_1170,T0003,2.952447781,5.667490047,Up,0.033228796,0.151983724333333,-0.331999775894737,+
Pathway_6,T0006,0.682720028,4.111226373,Up,0.031972405,0.163030303444444,-0.393350684842105,+
Pathway_240,T0008,0.832621902,3.742367214,Up,0.042736667,0.178031196333333,-0.578246416368421,+
