Feature,Pathway,Estimate,log10P,Direction,Adonis,Pa,Health,dir
Pathway_625,T0625,-2.151474476,14.51928425,Down,0.048298058,-0.408203386333333,0.547783497789474,-
Pathway_331,T0331,-2.645520737,13.77588586,Down,0.078365476,-0.403517797222222,0.569500689105263,-
Pathway_1012,T1012,-1.880609426,13.97261635,Down,0.063892045,-0.384476465361111,0.463922742894737,-
Pathway_30,T0030,-0.961903723,11.35242113,Down,0.010663856,-0.351979435611111,0.403089903684211,-
Pathway_1212,T1212,-1.406767756,10.91144342,Down,0.019805273,-0.349892609222222,0.448199249315789,-
Pathway_882,T0882,-1.865309995,12.44501775,Down,0.010688101,-0.322451574888889,0.464081511210526,-
Pathway_1171,T1171,-2.857837222,11.33648266,Down,0.029838968,-0.293901680611111,0.429888069210526,-
Pathway_579,T0579,-6.554247788,12.43696066,Down,0.051524662,-0.269892635416667,0.369641037736842,-
Pathway_611,T0611,-1.914662149,12.91532978,Down,0.010207506,-0.244174012388889,0.465206388473684,-
Pathway_1268,T1268,-4.638364281,11.45672914,Down,0.046409895,-0.20077544975,0.461251931631579,-
Pathway_155,T0155,1.845054352,8.18035688,Up,0.006800167,0.0867247428611111,-0.268565875,+
Pathway_607,T0607,0.021482088,7.924584274,Up,0.061148546,0.0921947837222222,-0.261829205473684,+
Pathway_1166,T1166,1.094144322,8.86716747,Up,0.005657376,0.0925571921111111,-0.276267966210526,+
Pathway_1344,T1344,0.961825127,7.412189549,Up,0.026732959,0.113277386694444,-0.215167582631579,+
Pathway_1035,T1035,2.106010042,7.464049667,Up,0.019434451,0.136707979833333,-0.263973369947368,+
Pathway_868,T0868,4.230351395,10.37822138,Up,0.027807426,0.140814584583333,-0.329440380421053,+
Pathway_990,T0990,1.006837572,7.300689372,Up,0.028821522,0.168878737916667,-0.271034678578947,+
Pathway_1462,T1462,0.130583179,8.047104689,Up,0.022450931,0.223730719888889,-0.325090566894737,+
Pathway_483,T0483,0.960897488,7.841506165,Up,0.019826173,0.250072417055556,-0.381861655631579,+
Pathway_1282,T1282,1.091549723,8.555318803,Up,0.053024631,0.277959567777778,-0.347120102263158,+
