SampleID,Group,Cohort,Read_count,Sample
13LTBlank,blank,CAMEB2,6062,1
ABX-HMSP1162-M-01,blank,CAMEB2,919,2
ABX-HMSP1163-M-01,blank,CAMEB2,525,3
ABX-HMSP1164-M-01,blank,CAMEB2,2645,4
ABX-HMSP1165-M-01,blank,CAMEB2,3153,5
SRR10693275,sample,CAMEB2,11336,6
SRR11661704,sample,CAMEB2,7679,7
SRR11661705,sample,CAMEB2,893038,8
SRR11661706,sample,CAMEB2,401814,9
SRR11661707,sample,CAMEB2,6651,10
SRR11661708,sample,CAMEB2,59357,11
SRR11661709,sample,CAMEB2,151616,12
SRR11661710,sample,CAMEB2,2805,13
SRR11661711,sample,CAMEB2,216888,14
SRR11661712,sample,CAMEB2,148105,15
SRR11661713,sample,CAMEB2,12376,16
SRR11661715,sample,CAMEB2,10103,17
SRR11661716,sample,CAMEB2,324738,18
SRR11661717,sample,CAMEB2,1289165,19
SRR11661718,sample,CAMEB2,84898,20
SRR11661719,sample,CAMEB2,259245,21
SRR11661720,sample,CAMEB2,436464,22
SRR11661721,sample,CAMEB2,392263,23
SRR11661722,sample,CAMEB2,17235,24
SRR11661723,sample,CAMEB2,99671,25
SRR11661724,sample,CAMEB2,713928,26
SRR11661725,sample,CAMEB2,843505,27
SRR11661726,sample,CAMEB2,61951,28
SRR11661727,sample,CAMEB2,88561,29
SRR11661728,sample,CAMEB2,383831,30
SRR11661729,sample,CAMEB2,162833,31
SRR11661730,sample,CAMEB2,92188,32
SRR11661731,sample,CAMEB2,302770,33
SRR11661732,sample,CAMEB2,1666,34
SRR11661733,sample,CAMEB2,327770,35
SRR11661734,sample,CAMEB2,185731,36
SRR11661735,sample,CAMEB2,9741,37
SRR11661736,sample,CAMEB2,5840,38
SRR11661737,sample,CAMEB2,39965,39
SRR11661738,sample,CAMEB2,87276,40
SRR11661739,sample,CAMEB2,54140,41
SRR11661740,sample,CAMEB2,272033,42
SRR11661741,sample,CAMEB2,377743,43
SRR11661742,sample,CAMEB2,14648,44
SRR11661743,sample,CAMEB2,57584,45
SRR11661744,sample,CAMEB2,219627,46
SRR12512274,sample,CAMEB2,32458,47
SRR12512275,sample,CAMEB2,12338,48
SRR12512276,sample,CAMEB2,44315,49
SRR12512277,sample,CAMEB2,53314,50
SRR12512278,sample,CAMEB2,61766,51
SRR12512279,sample,CAMEB2,19957,52
SRR12512280,sample,CAMEB2,6473,53
SRR12512281,sample,CAMEB2,36995,54
SRR12512282,sample,CAMEB2,70669,55
SRR12512283,sample,CAMEB2,110133,56
SRR12512284,sample,CAMEB2,229249,57
SRR12512285,sample,CAMEB2,85137,58
SRR12512286,sample,CAMEB2,88478,59
SRR12512287,sample,CAMEB2,18981,60
SRR12512288,sample,CAMEB2,16375,61
SRR12512289,sample,CAMEB2,63917,62
SRR12512290,sample,CAMEB2,84520,63
SRR12512291,sample,CAMEB2,4108,64
SRR12512292,sample,CAMEB2,4831,65
SRR12512293,sample,CAMEB2,86912,66
SRR12512294,sample,CAMEB2,39929,67
SRR12512295,sample,CAMEB2,10178,68
SRR12512296,sample,CAMEB2,4613,69
SRR12512297,sample,CAMEB2,461471,70
SRR12512298,sample,CAMEB2,18845,71
SRR12512299,sample,CAMEB2,14776,72
SRR12512300,sample,CAMEB2,10631,73
SRR12512301,sample,CAMEB2,123019,74
SRR12512302,sample,CAMEB2,37271,75
SRR12512303,sample,CAMEB2,5722,76
SRR12512304,sample,CAMEB2,4822,77
SRR12512305,sample,CAMEB2,20444,78
SRR12512306,sample,CAMEB2,12561,79
SRR12512307,sample,CAMEB2,157095,80
SRR12512308,sample,CAMEB2,14372,81
SRR12512309,sample,CAMEB2,95696,82
SRR12512310,sample,CAMEB2,29086,83
SRR12512311,sample,CAMEB2,41387,84
SRR12512312,sample,CAMEB2,11217,85
