SampleID,Group,Cohort,Read_count,Sample
1056BRIDGE,blank,EMBARC,3118,1
864BRIDGE,blank,EMBARC,2749,2
984BRIDGE,blank,EMBARC,1505,3
SEQBLANK5,blank,EMBARC,1138,4
SEQBLANK6,blank,EMBARC,5074,5
SEQBLANK7,blank,EMBARC,2524,6
SRR31360146,sample,EMBARC,23022,7
SRR31360147,sample,EMBARC,24449,8
SRR31360148,sample,EMBARC,19953,9
SRR31360149,sample,EMBARC,23455,10
SRR31360150,sample,EMBARC,66204,11
SRR31360151,sample,EMBARC,14250,12
SRR31360152,sample,EMBARC,10349,13
SRR31360153,sample,EMBARC,6941,14
SRR31360154,sample,EMBARC,2486,15
SRR31360155,sample,EMBARC,2067,16
SRR31360156,sample,EMBARC,1990,17
SRR31360157,sample,EMBARC,6492,18
SRR31360158,sample,EMBARC,13225,19
SRR31360159,sample,EMBARC,16822,20
SRR31360160,sample,EMBARC,41496,21
SRR31360161,sample,EMBARC,15278,22
SRR31360162,sample,EMBARC,3563,23
SRR31360163,sample,EMBARC,11220,24
SRR31360164,sample,EMBARC,50558,25
SRR31360165,sample,EMBARC,151599,26
SRR31360166,sample,EMBARC,190524,27
SRR31360167,sample,EMBARC,29937,28
SRR31360168,sample,EMBARC,14109,29
SRR31360169,sample,EMBARC,498563,30
SRR31360170,sample,EMBARC,128800,31
SRR31360171,sample,EMBARC,337,32
SRR31360172,sample,EMBARC,4169,33
SRR31360173,sample,EMBARC,16403,34
SRR31360174,sample,EMBARC,3061,35
SRR31360175,sample,EMBARC,4002,36
SRR31360176,sample,EMBARC,28768,37
SRR31360177,sample,EMBARC,953,38
SRR31360178,sample,EMBARC,261117,39
SRR31360179,sample,EMBARC,4157,40
SRR31360180,sample,EMBARC,10308,41
SRR31360181,sample,EMBARC,5027,42
SRR31360182,sample,EMBARC,25057,43
SRR31360183,sample,EMBARC,1327712,44
SRR31360184,sample,EMBARC,6429,45
SRR31360185,sample,EMBARC,28651,46
SRR31360186,sample,EMBARC,4502,47
SRR31360187,sample,EMBARC,7524,48
SRR31360188,sample,EMBARC,869,49
SRR31360189,sample,EMBARC,68409,50
SRR31360190,sample,EMBARC,409813,51
SRR31360191,sample,EMBARC,190012,52
SRR31360192,sample,EMBARC,378348,53
SRR31360193,sample,EMBARC,11266,54
SRR31360194,sample,EMBARC,102090,55
SRR31360195,sample,EMBARC,4387,56
SRR31360196,sample,EMBARC,373589,57
SRR31360197,sample,EMBARC,21676,58
SRR31360198,sample,EMBARC,32941,59
SRR31360199,sample,EMBARC,29920,60
SRR31360200,sample,EMBARC,6735,61
SRR31360201,sample,EMBARC,38162,62
SRR31360202,sample,EMBARC,1444,63
SRR31360203,sample,EMBARC,138573,64
SRR31360204,sample,EMBARC,68110,65
SRR31360205,sample,EMBARC,270,66
SRR31360206,sample,EMBARC,28575,67
SRR31360207,sample,EMBARC,58526,68
SRR31360208,sample,EMBARC,231236,69
SRR31360209,sample,EMBARC,22794,70
SRR31360210,sample,EMBARC,4887,71
SRR31360211,sample,EMBARC,123392,72
SRR31360212,sample,EMBARC,277906,73
SRR31360213,sample,EMBARC,199225,74
SRR31360214,sample,EMBARC,21452,75
SRR31360215,sample,EMBARC,14284,76
SRR31360216,sample,EMBARC,29235,77
SRR31360217,sample,EMBARC,930746,78
SRR31360218,sample,EMBARC,19159,79
SRR31360219,sample,EMBARC,6088,80
SRR31360220,sample,EMBARC,2705,81
SRR31360221,sample,EMBARC,3166,82
SRR31360222,sample,EMBARC,11057,83
SRR31360223,sample,EMBARC,560495,84
SRR31360224,sample,EMBARC,11430,85
SRR31360225,sample,EMBARC,12931,86
SRR31360226,sample,EMBARC,33960,87
SRR31360227,sample,EMBARC,2572797,88
SRR31360228,sample,EMBARC,891138,89
SRR31360229,sample,EMBARC,12709,90
SRR31360230,sample,EMBARC,15881,91
SRR31360231,sample,EMBARC,69084,92
SRR31360232,sample,EMBARC,65630,93
SRR31360233,sample,EMBARC,107589,94
SRR31360234,sample,EMBARC,127574,95
SRR31360235,sample,EMBARC,69832,96
SRR31360236,sample,EMBARC,31979,97
SRR31360237,sample,EMBARC,8187,98
SRR31360238,sample,EMBARC,93940,99
SRR31360239,sample,EMBARC,60494,100
SRR31360240,sample,EMBARC,27265,101
SRR31360241,sample,EMBARC,581919,102
SRR31360242,sample,EMBARC,11901,103
SRR31360243,sample,EMBARC,365038,104
SRR31360244,sample,EMBARC,3112,105
SRR31360245,sample,EMBARC,31409,106
SRR31360246,sample,EMBARC,1043117,107
SRR31360247,sample,EMBARC,35654,108
SRR31360248,sample,EMBARC,8422,109
SRR31360249,sample,EMBARC,20291,110
SRR31360250,sample,EMBARC,37370,111
SRR31360251,sample,EMBARC,13215,112
SRR31360252,sample,EMBARC,27657,113
SRR31360253,sample,EMBARC,16424,114
SRR31360254,sample,EMBARC,584521,115
SRR31360255,sample,EMBARC,9660,116
SRR31360256,sample,EMBARC,868,117
SRR31360257,sample,EMBARC,1282,118
SRR31360258,sample,EMBARC,4125,119
SRR31360259,sample,EMBARC,1513,120
SRR31360260,sample,EMBARC,1974,121
SRR31360261,sample,EMBARC,5762,122
SRR31360262,sample,EMBARC,3236,123
SRR31360263,sample,EMBARC,10305,124
SRR31360264,sample,EMBARC,1031,125
SRR31360265,sample,EMBARC,138085,126
SRR31360266,sample,EMBARC,3963,127
SRR31360267,sample,EMBARC,12189,128
SRR31360268,sample,EMBARC,27996,129
SRR31360269,sample,EMBARC,3331,130
SRR31360270,sample,EMBARC,11203,131
SRR31360271,sample,EMBARC,54742,132
SRR31360272,sample,EMBARC,105050,133
SRR31360273,sample,EMBARC,68597,134
SRR31360274,sample,EMBARC,9731,135
SRR31360275,sample,EMBARC,3695,136
SRR31360276,sample,EMBARC,153322,137
SRR31360277,sample,EMBARC,281487,138
SRR31360278,sample,EMBARC,346,139
SRR31360279,sample,EMBARC,1864,140
SRR31360280,sample,EMBARC,823,141
