SampleID,Source,Group,Read_count,Sample
L1MLC1706504-SDX_TKB_1,MetaG_blank,blank,3916.37,1
L1MLC1706505-SDX_TKB_2,MetaG_blank,blank,5188.56,2
L1MLC1706506-SDX_TKB_3,MetaG_blank,blank,4389.25,3
002VWWX,Metagenome,sample,64944,4
004AWZY,Metagenome,sample,118147,5
004VWZY,Metagenome,sample,130865,6
006VHQK,Metagenome,sample,5144337,7
021VLSF,Metagenome,sample,102737,8
027VYMX,Metagenome,sample,153851,9
031VPYH,Metagenome,sample,157802,10
036AXHM,Metagenome,sample,50021,11
036VXHM,Metagenome,sample,36924,12
038VLWS,Metagenome,sample,100340,13
040VYDY,Metagenome,sample,436748,14
047VLRL,Metagenome,sample,771879,15
063VWZB,Metagenome,sample,88212,16
083AYGC,Metagenome,sample,42393,17
083VYGC,Metagenome,sample,106645,18
086VHMX,Metagenome,sample,44841,19
110VZSZ,Metagenome,sample,27783,20
136VZXQ,Metagenome,sample,229419,21
139VLTW,Metagenome,sample,42553,22
149VYYD,Metagenome,sample,303836,23
153VWG,Metagenome,sample,531550,24
155VCHJ,Metagenome,sample,120604,25
173VHJW,Metagenome,sample,93629,26
174ALBQ,Metagenome,sample,98445,27
174VLBQ,Metagenome,sample,1109398,28
178VYDM,Metagenome,sample,157558,29
180VHMQ,Metagenome,sample,1528799,30
188VZJH,Metagenome,sample,1036723,31
189VXZJ,Metagenome,sample,152604,32
190VFYK,Metagenome,sample,452199,33
193VZXL,Metagenome,sample,12039174,34
195VXXY,Metagenome,sample,105306,35
199VOZQ,Metagenome,sample,1134553,36
206AZFD,Metagenome,sample,107656,37
206VZFD,Metagenome,sample,120639,38
211VLT,Metagenome,sample,555767,39
214VGWJ,Metagenome,sample,276394,40
215ATKH,Metagenome,sample,328383,41
215VTKH,Metagenome,sample,401646,42
220VDXP,Metagenome,sample,376159,43
227AZMH,Metagenome,sample,121151,44
227VZMH,Metagenome,sample,35676,45
230VLSH,Metagenome,sample,78619,46
235VDBJ,Metagenome,sample,133495,47
243AHZH,Metagenome,sample,269694,48
243VHZH,Metagenome,sample,71815,49
250VSJJ,Metagenome,sample,212548,50
253VXXJ,Metagenome,sample,773765,51
254VLXR,Metagenome,sample,71968,52
275VLSX,Metagenome,sample,218733,53
287ADJQ,Metagenome,sample,846669,54
287VDJQ,Metagenome,sample,104710,55
309VHJD,Metagenome,sample,40699,56
314VLLY,Metagenome,sample,2883400,57
316VYJH,Metagenome,sample,747277,58
317VYL,Metagenome,sample,1096251,59
319VLY,Metagenome,sample,547263,60
322VCHL,Metagenome,sample,272889,61
325ALRY,Metagenome,sample,173013,62
325VLRY,Metagenome,sample,643118,63
331ALDY,Metagenome,sample,428192,64
331VLDY,Metagenome,sample,714393,65
338VHJY,Metagenome,sample,148815,66
342VCSL,Metagenome,sample,1065078,67
347APZL,Metagenome,sample,134098,68
347VPZL,Metagenome,sample,172774,69
348VYQM,Metagenome,sample,803123,70
349VZNL,Metagenome,sample,973249,71
350VLYY,Metagenome,sample,103612,72
351AZDY,Metagenome,sample,378717,73
351VZDY,Metagenome,sample,379747,74
353VGSZ,Metagenome,sample,980515,75
354VPYM,Metagenome,sample,253893,76
357VLTS,Metagenome,sample,511131,77
358AWXC,Metagenome,sample,247849,78
358VWXC,Metagenome,sample,382143,79
359VYSH,Metagenome,sample,384125,80
361ATLX,Metagenome,sample,737029,81
361VTLX,Metagenome,sample,83705,82
362VLBJ,Metagenome,sample,86545,83
363VLH,Metagenome,sample,90083,84
364VCZ,Metagenome,sample,44175,85
366VZMY,Metagenome,sample,141941,86
367VWSY,Metagenome,sample,623810,87
370VLZW,Metagenome,sample,127071,88
371VTYJ,Metagenome,sample,422339,89
372VJHK,Metagenome,sample,229194,90
373VHXR,Metagenome,sample,328666,91
376VYKZ,Metagenome,sample,1520111,92
377VHWH,Metagenome,sample,236941,93
379ALJJ,Metagenome,sample,246443,94
379VLJJ,Metagenome,sample,179934,95
384VCZL,Metagenome,sample,135712,96
388ADHL,Metagenome,sample,151976,97
388VDHL,Metagenome,sample,462981,98
390VNFD,Metagenome,sample,401925,99
392VWLL,Metagenome,sample,381463,100
393VZLH,Metagenome,sample,223677,101
395VGSQ,Metagenome,sample,334726,102
C001CJB,Metagenome,sample,2482891,103
C002HHP,Metagenome,sample,3779914,104
C003XYQ,Metagenome,sample,743196,105
C006LYH,Metagenome,sample,1901139,106
C007XXZ,Metagenome,sample,7572506,107
C008QLX,Metagenome,sample,605421,108
C009HHR,Metagenome,sample,9653456,109
C010WL,Metagenome,sample,2155574,110
C013MJH,Metagenome,sample,445705,111
C014LWG,Metagenome,sample,3296560,112
C017YYM,Metagenome,sample,645669,113
C018LJP,Metagenome,sample,856420,114
C020LBJ,Metagenome,sample,1343190,115
C022SMR,Metagenome,sample,956807,116
C024XHR,Metagenome,sample,5610691,117
C025PCY,Metagenome,sample,944942,118
C026CBR,Metagenome,sample,1630494,119
C031CQS,Metagenome,sample,594809,120
C034LJ,Metagenome,sample,3966821,121
