SampleID,Source,Group,Read_count,Sample
L1MLC1706498-SD_KB_1,MetaT_blank,blank,3902.16,1
L1MLC1706499-SD_KB_2,MetaT_blank,blank,3351.62,2
L1MLC1706500-SD_KB_3,MetaT_blank,blank,3745.68,3
002VWWX,Metatranscriptome,sample,2565250,4
004AWZY,Metatranscriptome,sample,3728902,5
004VWZY,Metatranscriptome,sample,286622,6
006VHQK,Metatranscriptome,sample,1669217,7
021VLSF,Metatranscriptome,sample,833066,8
027VYMX,Metatranscriptome,sample,5058011,9
031VPYH,Metatranscriptome,sample,4712389,10
036AXHM,Metatranscriptome,sample,376380,11
036VXHM,Metatranscriptome,sample,776699,12
038VLWS,Metatranscriptome,sample,2532320,13
040VYDY,Metatranscriptome,sample,794938,14
047VLRL,Metatranscriptome,sample,1736332,15
063VWZB,Metatranscriptome,sample,1339958,16
083AYGC,Metatranscriptome,sample,3650114,17
083VYGC,Metatranscriptome,sample,2117190,18
086VHMX,Metatranscriptome,sample,424928,19
110VZSZ,Metatranscriptome,sample,34611,20
136VZXQ,Metatranscriptome,sample,826397,21
139VLTW,Metatranscriptome,sample,1596388,22
149VYYD,Metatranscriptome,sample,12213466,23
153VWG,Metatranscriptome,sample,785979,24
155VCHJ,Metatranscriptome,sample,192720,25
173VHJW,Metatranscriptome,sample,31914723,26
174ALBQ,Metatranscriptome,sample,7734196,27
174VLBQ,Metatranscriptome,sample,8887553,28
178VYDM,Metatranscriptome,sample,4057756,29
180VHMQ,Metatranscriptome,sample,17511374,30
188VZJH,Metatranscriptome,sample,3563480,31
189VXZJ,Metatranscriptome,sample,13226327,32
190VFYK,Metatranscriptome,sample,1984540,33
193VZXL,Metatranscriptome,sample,25492598,34
195VXXY,Metatranscriptome,sample,261383,35
199VOZQ,Metatranscriptome,sample,445661,36
206AZFD,Metatranscriptome,sample,1261915,37
206VZFD,Metatranscriptome,sample,1249938,38
211VLT,Metatranscriptome,sample,1670264,39
214VGWJ,Metatranscriptome,sample,1311514,40
215ATKH,Metatranscriptome,sample,15036429,41
215VTKH,Metatranscriptome,sample,538810,42
220VDXP,Metatranscriptome,sample,20347069,43
227AZMH,Metatranscriptome,sample,14805107,44
227VZMH,Metatranscriptome,sample,1874220,45
230VLSH,Metatranscriptome,sample,52793,46
235VDBJ,Metatranscriptome,sample,574589,47
243AHZH,Metatranscriptome,sample,11021654,48
243VHZH,Metatranscriptome,sample,371207,49
250VSJJ,Metatranscriptome,sample,418445,50
253VXXJ,Metatranscriptome,sample,424086,51
254VLXR,Metatranscriptome,sample,439606,52
275VLSX,Metatranscriptome,sample,7020930,53
287ADJQ,Metatranscriptome,sample,11507492,54
287VDJQ,Metatranscriptome,sample,759024,55
309VHJD,Metatranscriptome,sample,570005,56
314VLLY,Metatranscriptome,sample,46117602,57
316VYJH,Metatranscriptome,sample,1741488,58
317VYL,Metatranscriptome,sample,13165344,59
319VLY,Metatranscriptome,sample,3867222,60
322VCHL,Metatranscriptome,sample,95892,61
325ALRY,Metatranscriptome,sample,4281689,62
325VLRY,Metatranscriptome,sample,425985,63
331ALDY,Metatranscriptome,sample,10070566,64
331VLDY,Metatranscriptome,sample,1713021,65
338VHJY,Metatranscriptome,sample,1098493,66
342VCSL,Metatranscriptome,sample,16697392,67
347APZL,Metatranscriptome,sample,12504470,68
347VPZL,Metatranscriptome,sample,320228,69
348VYQM,Metatranscriptome,sample,1742838,70
349VZNL,Metatranscriptome,sample,14177960,71
350VLYY,Metatranscriptome,sample,2646890,72
351AZDY,Metatranscriptome,sample,18044743,73
351VZDY,Metatranscriptome,sample,1024589,74
353VGSZ,Metatranscriptome,sample,1181967,75
354VPYM,Metatranscriptome,sample,13160257,76
357VLTS,Metatranscriptome,sample,7187486,77
358AWXC,Metatranscriptome,sample,495423,78
358VWXC,Metatranscriptome,sample,1387201,79
359VYSH,Metatranscriptome,sample,637066,80
361ATLX,Metatranscriptome,sample,22567434,81
361VTLX,Metatranscriptome,sample,2192369,82
362VLBJ,Metatranscriptome,sample,10739921,83
363VLH,Metatranscriptome,sample,20911510,84
364VCZ,Metatranscriptome,sample,13191624,85
366VZMY,Metatranscriptome,sample,1124362,86
367VWSY,Metatranscriptome,sample,740858,87
370VLZW,Metatranscriptome,sample,6424296,88
371VTYJ,Metatranscriptome,sample,1379694,89
372VJHK,Metatranscriptome,sample,3007117,90
373VHXR,Metatranscriptome,sample,1469610,91
376VYKZ,Metatranscriptome,sample,6316549,92
377VHWH,Metatranscriptome,sample,3271491,93
379ALJJ,Metatranscriptome,sample,8716264,94
379VLJJ,Metatranscriptome,sample,471513,95
