SampleID,Group,Read_count,Sample
3ORBITSbl01,blank,656,1
3ORBITSbl02,blank,882,2
3ORBITSbl03,blank,1284,3
3ORBITSbl04,blank,1570,4
3ORBIT01,sample,325675,5
3ORBIT02,sample,491257,6
3ORBIT03,sample,359411,7
3ORBIT05,sample,3921622,8
3ORBIT07,sample,48023,9
3ORBIT08,sample,9552754,10
3ORBIT10,sample,297014,11
3ORBIT100,sample,109092,12
3ORBIT101,sample,270616,13
3ORBIT102,sample,225738,14
3ORBIT103,sample,327053,15
3ORBIT104,sample,456196,16
3ORBIT105,sample,765912,17
3ORBIT106,sample,473242,18
3ORBIT107,sample,87086,19
3ORBIT108,sample,5381,20
3ORBIT109,sample,1849511,21
3ORBIT110,sample,132046,22
3ORBIT111,sample,476559,23
3ORBIT112,sample,440268,24
3ORBIT113,sample,787944,25
3ORBIT114,sample,312775,26
3ORBIT115,sample,155855,27
3ORBIT116,sample,92739,28
3ORBIT117,sample,610991,29
3ORBIT118,sample,36724,30
3ORBIT119,sample,1214167,31
3ORBIT12,sample,393755,32
3ORBIT120,sample,304259,33
3ORBIT121,sample,155375,34
3ORBIT122,sample,2961634,35
3ORBIT124,sample,1651984,36
3ORBIT126,sample,31280,37
3ORBIT127,sample,71416,38
3ORBIT128,sample,1256182,39
3ORBIT129,sample,20302,40
3ORBIT130,sample,165456,41
3ORBIT131,sample,388467,42
3ORBIT132,sample,9733449,43
3ORBIT133,sample,111766,44
3ORBIT135,sample,328803,45
3ORBIT137,sample,2970284,46
3ORBIT138,sample,192824,47
3ORBIT139,sample,5235661,48
3ORBIT14,sample,996233,49
3ORBIT140,sample,8876663,50
3ORBIT141,sample,654064,51
3ORBIT142,sample,371217,52
3ORBIT144,sample,246711,53
3ORBIT145,sample,190478,54
3ORBIT146,sample,187681,55
3ORBIT147,sample,77611,56
3ORBIT148,sample,392464,57
3ORBIT149,sample,1101223,58
3ORBIT15,sample,62883,59
3ORBIT150,sample,9266,60
3ORBIT151,sample,234687,61
3ORBIT152,sample,187410,62
3ORBIT153,sample,761872,63
3ORBIT155,sample,2571331,64
3ORBIT156,sample,375844,65
3ORBIT157,sample,1187930,66
3ORBIT158,sample,89526,67
3ORBIT159,sample,115795,68
3ORBIT16,sample,1467906,69
3ORBIT160,sample,877793,70
3ORBIT161,sample,143237,71
3ORBIT162,sample,810225,72
3ORBIT163,sample,26602,73
3ORBIT168,sample,148298,74
3ORBIT169,sample,494382,75
3ORBIT17,sample,279398,76
3ORBIT170,sample,275072,77
3ORBIT171,sample,125083,78
3ORBIT172,sample,1113877,79
3ORBIT173,sample,1825310,80
3ORBIT174,sample,1371849,81
3ORBIT175,sample,35273,82
3ORBIT176,sample,215395,83
3ORBIT177,sample,245079,84
3ORBIT178,sample,627415,85
3ORBIT179,sample,33896,86
3ORBIT18,sample,55413,87
