SampleID,Group,Read_count,SampleIndex
L1MLC1706485-WJ_TKB_3,blank,3863.259,1
L1MLC1706486-WJ_TKB_4,blank,3922.222,2
L1MLC1706487-WJ_TKB_5,blank,3826.616,3
L1MKG2803377-AS099,sample,4771778,4
L1MKG2803378-AS003,sample,570435,5
L1MKG2803379-AS002,sample,11937926,6
L1MKG2803380-AS109,sample,8121227,7
L1MKG2803381-AS029,sample,2666609,8
L1MKG2803382-AS030,sample,3371036,9
L1MKG2803383-AS032,sample,4616753,10
L1MKG2803384-AS006,sample,247191,11
L1MKG2803385-AS009,sample,704519,12
L1MKG2803386-AS010,sample,1277505,13
L1MKG2803387-AS016,sample,2649253,14
L1MKG2803388-A040,sample,3479981,15
L1MKG2803389-AS074,sample,1639827,16
L1MKG2803390-AS082,sample,11275293,17
L1MKG2803392-AS100,sample,1558975,18
L1MKG2803394-AS004,sample,190523,19
L1MKG2803395-AS007,sample,13500626,20
L1MKG2803396-AS039,sample,1391258,21
L1MKG2803397-AS043,sample,523808,22
L1MKG2803398-AS050,sample,2914680,23
L1MKG2803399-AS075,sample,3214682,24
L1MKG2803400-AS051,sample,501975,25
L1MKG2803401-AS076,sample,540964,26
L1MKG2803402-AS035,sample,2838925,27
L1MKG2803403-AS085,sample,1939676,28
L1MKG2803404-AS086,sample,3114492,29
L1MKG2803405-AS093,sample,1671005,30
L1MKG2803406-AS094,sample,4220808,31
L1MKG2803407-AS001,sample,2711239,32
L1MKG2803408-AS078,sample,254694,33
L1MKG2803409-AS083,sample,3577656,34
L1MKG2803410-AS077,sample,4083901,35
L1MKG2803412-AS040,sample,2342813,36
L1MKG2803414-AS053,sample,7742876,37
L1MKG2803419-AS067,sample,3031624,38
L1MKG2803421-AS071,sample,2155891,39
L1MKG2803422-AS073,sample,12389674,40
L1MKG2803423-AS080,sample,16313031,41
L1MKG2803424-AS089,sample,5802130,42
L1MKG2803426-AS096,sample,3995146,43
L1MLA1612837-YMJ_AS052_V1,sample,229052,44
L1MLA1612839-PW_AS060_V1,sample,1327884,45
L1MLA1612840-WJ_AS061_V1,sample,387995,46
L1MLA1612841-LZ_AS063_V1,sample,174882,47
L1MLA1612842-HFZ_AS079_V1,sample,2898049,48
L1MLA1612843-CXL_AS081_V1,sample,951547,49
L1MLA1612844-TDC_AS101_V1,sample,1413603,50
L1MLA1612846-SXQ_AS103_V1,sample,1612613,51
L1MLA1612847-LJA_AS124_V1,sample,514102,52
L1MLA1612848-YHF_AS098_V1,sample,1863637,53
L1MLA1612849-LSQ_AS015_V1,sample,5571661,54
L1MLA1612850-LYL_AS117_V1,sample,2476554,55
L1MLA1612851-CWQ_AS113_V1,sample,5881,56
L1MLA1612852-ST_AS112_V1,sample,2124553,57
L1MLA1612853-ZHJ_AS066_V1,sample,201458,58
L1MLA1612854-HLC_AS119_V1,sample,992130,59
L1MLA1612855-JYP_AS106_V1,sample,497668,60
L1MLA1612856-HZJ_AS038_V1,sample,2735064,61
L1MLA1612857-WJY_AS062_V1,sample,24158,62
L1MLA1612858-LHN_AS095_V1,sample,2888416,63
L1MLA1612859-LZC_AS104_V1,sample,255088,64
L1MLA1612860-ZHY_AS084_V1,sample,341041,65
L1MLA1612861-FZM_AS123_V1,sample,231392,66
L1MLA1612862-HRM_AS110_V1,sample,948620,67
L1MLA1612863-XJ_406_AS049_V1,sample,154038,68
L1MLA1612864-TYK_196_V1,sample,623598,69
L1MLA1612865-ZBY_306_V1,sample,1766776,70
L1MLA1612866-CJL_397_V1,sample,279592,71
L1MLA1612867-SEF_312_V1,sample,1128771,72
L1MLA1612868-CHJ_155_V2_J6,sample,411016,73
L1MLA1612869-DQP_300_V2,sample,36027,74
L1MLA1612870-YJH_316_V2,sample,65709,75
L1MLA1612871-LY_470_V1,sample,248457,76
L1MLA1612872-SJJ_250_V1,sample,178054,77
L1MLA1612873-YL_317_V2,sample,130662,78
L1MLA1612874-DLQ_204_V1,sample,2690546,79
L1MLA1612875-WQZ_75_V1,sample,168392,80
L1MLA1612877-TSZ_344_V1,sample,211268,81
L1MLA1612878-XYJ_247_V1,sample,1363750,82
L1MLA1612879-ZYZ_472_V1,sample,369219,83
L1MLA1612880-XQR_440_V1,sample,485425,84
L1MLA1612881-ZCF_124_v1,sample,35503,85
L1MLA1612882-LWS_38_V2,sample,36521,86
L1MLA1612883-ZCN_381_V1,sample,228852,87
L1MLA1612884-CZ_400_V1,sample,576444,88
L1MLA1612885-GSZ_353_V2,sample,411988,89
L1MLA1612886-ZXZ_437_V1,sample,200949,90
L1MLA1612887-FYJ_442_V1,sample,870680,91
