#NAME	SRR13061234	SRR13061235	SRR13061236	SRR13061237	SRR13061238	SRR13061239	SRR13061240	SRR13061241	SRR13061242	SRR24889334	SRR24889335	SRR24889336	SRR24889338	SRR24889339	SRR24889340	SRR24889341	SRR24889342	SRR24889343	SRR24889344	SRR24889345	SRR24889346	SRR24889347	SRR24889349	SRR24889350	SRR24889351
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidisarcina;s__Acidisarcina_polymorpha	0	6.81E-06	5.59E-06	3.62E-06	8.03E-06	0	7.27E-06	4.11E-06	0	0	1.00E-05	0	9.90E-06	7.94E-06	0	6.25E-07	0	5.69E-06	0	4.35E-06	0	4.91E-06	0	6.65E-06	5.12E-06
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium;s__Acidobacterium_capsulatum	0	0	1.12E-05	5.42E-06	8.03E-06	0	0	2.06E-06	3.40E-06	0	0	0	0	0	2.00E-06	0	4.54E-06	3.79E-06	0	6.53E-06	0	3.27E-06	2.15E-06	3.33E-06	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Candidatus_Koribacter;s__Candidatus_Koribacter_versatilis	0	0	1.12E-05	1.81E-06	8.03E-06	5.00E-06	3.63E-06	6.17E-06	0	1.48E-06	2.50E-06	0	4.95E-06	3.97E-06	0	5.00E-06	3.03E-06	0	0	2.18E-06	0	1.64E-06	0	0	1.02E-05
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella;s__Granulicella_mallensis	0	2.04E-05	0	7.23E-06	8.03E-06	0	7.27E-06	2.06E-06	0	7.40E-07	1.00E-05	0	9.90E-06	3.97E-06	3.99E-06	2.50E-06	0	0	0	4.35E-06	0	6.54E-06	0	1.66E-05	7.68E-06
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella;s__Granulicella_tundricola	0	6.81E-06	1.12E-05	5.42E-06	8.03E-06	5.00E-06	3.63E-06	2.06E-06	0	0	0	0	0	3.97E-06	5.99E-06	6.25E-07	0	0	2.85E-06	2.18E-06	0	0	2.15E-06	3.33E-06	1.79E-05
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__Terriglobus_albidus	0	0	1.12E-05	9.04E-06	0	0	7.27E-06	6.17E-06	0	3.70E-06	5.00E-06	0	4.95E-06	7.94E-06	3.99E-06	4.38E-06	6.06E-06	9.48E-06	0	2.18E-06	0	0	6.46E-06	3.33E-06	5.12E-06
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__Terriglobus_roseus	0	6.81E-06	0	1.99E-05	8.03E-06	5.00E-06	1.09E-05	1.85E-05	3.40E-06	9.61E-06	1.25E-05	0	2.47E-05	1.19E-05	7.98E-06	5.63E-06	1.21E-05	5.69E-06	0	2.18E-06	0	3.27E-06	1.08E-05	9.98E-06	1.28E-05
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__Terriglobus_saanensis	0	1.36E-05	5.59E-06	3.62E-06	0	2.00E-05	0	4.11E-06	3.40E-06	7.40E-07	0	0	0	1.19E-05	3.99E-06	6.25E-07	0	1.90E-06	0	0	0	1.64E-06	2.15E-06	9.98E-06	1.28E-05
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__Candidatus_Solibacter;s__Candidatus_Solibacter_usitatus	0	0	5.59E-06	9.04E-06	8.03E-06	0	7.27E-06	2.06E-06	6.81E-06	1.48E-06	2.00E-05	0	0	0	0	1.25E-06	1.51E-06	0	2.85E-06	4.35E-06	0	6.54E-06	2.15E-06	6.65E-06	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Acidimicrobium;s__Acidimicrobium_ferrooxidans	0	6.81E-06	5.59E-06	9.04E-06	8.03E-06	1.00E-05	3.63E-06	4.11E-06	3.40E-06	3.70E-06	0	0	9.90E-06	0	0	0	3.03E-06	5.69E-06	2.00E-05	1.09E-05	0	4.91E-06	0	1.66E-05	0
