#NAME	C001CJB	C002HHP	C003XYQ	C006LYH	C007XXZ	C008QLX	C009HHR	C010WL	C013MJH	C014LWG	C017YYM	C018LJP	C020LBJ	C022SMR	C024XHR	C025PCY	C026CBR	C031CQS	C034LJ
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidisarcina;s__Acidisarcina_polymorpha	5.64E-06	7.41E-06	1.08E-05	2.63E-06	7.66E-06	1.16E-05	1.32E-05	9.74E-06	1.35E-05	4.85E-06	3.10E-06	9.34E-06	2.23E-06	3.14E-06	6.95E-06	6.35E-06	1.84E-06	6.72E-06	2.17E-05
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium;s__Acidobacterium_capsulatum	5.24E-06	1.51E-05	2.69E-06	2.10E-06	5.55E-06	1.16E-05	3.52E-06	3.71E-06	1.79E-05	1.82E-06	9.29E-06	2.34E-06	3.72E-06	7.32E-06	3.21E-06	4.23E-06	9.20E-06	1.01E-05	7.81E-06
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Candidatus_Koribacter;s__Candidatus_Koribacter_versatilis	5.64E-06	2.70E-05	1.61E-05	7.36E-06	8.85E-06	8.26E-06	7.77E-06	1.11E-05	8.97E-06	4.85E-06	1.39E-05	8.17E-06	0	4.18E-06	6.24E-06	5.29E-06	1.84E-05	1.34E-05	1.54E-05
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella;s__Granulicella_mallensis	7.65E-06	1.64E-05	1.35E-05	3.68E-06	8.72E-06	6.61E-06	2.79E-05	6.96E-06	4.49E-06	1.06E-05	1.55E-05	1.75E-05	2.23E-06	4.18E-06	2.32E-06	1.27E-05	7.36E-06	3.36E-06	8.07E-06
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella;s__Granulicella_tundricola	8.86E-06	8.20E-06	1.88E-05	3.68E-06	2.77E-06	8.26E-06	4.35E-06	4.64E-06	6.73E-06	3.34E-06	1.08E-05	3.50E-06	1.49E-06	1.05E-05	3.39E-06	2.12E-06	2.45E-06	3.36E-06	8.07E-06
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__Terriglobus_albidus	7.25E-06	1.75E-05	1.08E-05	4.73E-06	8.72E-06	1.82E-05	1.08E-05	9.74E-06	1.12E-05	1.52E-06	0	1.87E-05	4.47E-06	4.18E-06	8.73E-06	1.27E-05	7.97E-06	8.41E-06	9.58E-06
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__Terriglobus_roseus	1.21E-05	2.46E-05	1.21E-05	1.16E-05	1.81E-05	2.15E-05	2.82E-05	9.74E-06	3.59E-05	6.37E-06	1.08E-05	2.69E-05	3.72E-06	8.36E-06	9.09E-06	1.16E-05	1.53E-05	1.85E-05	1.76E-05
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__Terriglobus_saanensis	4.43E-06	3.70E-06	2.69E-06	2.63E-06	4.62E-06	3.30E-06	5.59E-06	4.64E-07	2.24E-06	2.73E-06	7.74E-06	9.34E-06	4.47E-06	7.32E-06	4.63E-06	3.17E-06	3.07E-06	3.36E-06	7.81E-06
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__Candidatus_Solibacter;s__Candidatus_Solibacter_usitatus	4.43E-06	2.78E-05	9.42E-06	1.16E-05	9.38E-06	9.91E-06	5.39E-06	6.49E-06	2.24E-06	3.64E-06	6.20E-06	7.01E-06	2.23E-06	1.46E-05	7.31E-06	3.17E-06	4.29E-06	3.36E-05	9.33E-06
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Acidimicrobium;s__Acidimicrobium_ferrooxidans	8.46E-06	3.70E-06	4.04E-06	3.68E-06	7.13E-06	1.65E-05	1.15E-05	4.64E-06	6.73E-06	3.64E-06	4.65E-06	9.34E-06	7.44E-07	7.32E-06	3.74E-06	6.35E-06	9.81E-06	3.36E-06	4.03E-06
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter;s__Ilumatobacter_coccineus	2.42E-06	3.70E-06	1.35E-06	2.10E-06	6.47E-06	3.30E-06	4.77E-06	2.32E-06	2.24E-06	5.16E-06	6.20E-06	1.17E-06	7.44E-06	3.14E-06	3.03E-06	8.47E-06	5.52E-06	8.41E-06	5.04E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidothermales;f__Acidothermaceae;g__Acidothermus;s__Acidothermus_cellulolyticus	1.21E-06	1.85E-06	0	3.16E-06	2.64E-06	1.16E-05	1.55E-06	4.64E-06	1.79E-05	2.73E-06	1.55E-06	2.34E-06	4.47E-06	2.09E-06	5.17E-06	5.29E-06	0	6.72E-06	1.76E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum_sp._313	1.01E-05	6.61E-06	5.38E-06	1.79E-05	1.53E-05	1.82E-05	2.01E-05	4.36E-05	2.24E-06	2.06E-05	4.49E-05	1.17E-05	2.23E-06	7.32E-06	1.87E-05	1.27E-05	1.10E-05	3.03E-05	1.13E-05
