#NAME	SRR24889266	SRR24889267	SRR24889268	SRR24889269	SRR24889270	SRR24889271	SRR24889272	SRR24889273	SRR24889274	SRR24889275	SRR24889276	SRR24889277	SRR24889278	SRR24889279	SRR24889280	SRR24889281	SRR24889282	SRR24889283	SRR24889284	SRR24889285	SRR24889286	SRR24889287	SRR24889288	SRR24889289	SRR24889290	SRR24889291	SRR24889292	SRR24889293	SRR24889294	SRR24889295	SRR24889297	SRR24889308	SRR24889319	SRR24889337	SRR24889348	SRR24889362	SRR24889373	SRR24889380	SRR24889381	SRR24889382	SRR24889383	SRR24889384	SRR24889385	SRR24889386	SRR24889387	SRR24889388	SRR24889389	SRR24889390	SRR24889391	SRR24889402	SRR24889413	SRR24889424	SRR24889425	SRR24889426
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_influenzae	0.005626904	9.86E-05	0.000393686	0.000103389	0.971500617	0.00623053	0.004627981	0.001916909	0.000766023	2.03E-05	0.000300653	0.965183849	0.000615729	0.002391119	0.000301978	0.784572342	0.000305117	0.001408073	0.946872742	0.90752846	0.009587115	0.001565354	0.000135814	0.002524556	0.001504558	9.83E-05	0.915282994	0.00306383	0.004070405	0.450181029	0.000748503	0.000540273	0.813174658	0.599987019	0.000716846	0.615756274	0.973537699	0.973850725	3.88E-05	0.004427442	5.95E-05	0.00153249	0.861162206	0.00092511	0.001953401	0.007015082	0.000868357	0.000576332	0.001953494	0.003825311	0.00023907	0.002167787	0.005211527	0.869786185
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_aeruginosa	0.034253009	0.000257592	1.87E-05	0.002065371	9.07E-05	0.684958863	0.091135635	0.003566527	0.786620138	0.003334734	0.879520048	2.49E-05	0.000464165	0.001195559	0.594707836	0.00017486	8.72E-05	0.000201153	6.20E-06	1.38E-05	0.001278282	0.503000261	0.000271628	0.000106074	0.66129746	1.13E-05	1.15E-05	0.411489362	1.49E-05	0	0.613211078	0.000135068	4.36E-05	0.000129811	0.000318598	6.71E-05	6.79E-05	1.13E-05	0.377398804	2.91E-05	0.00365357	0.015274932	0.000161867	0.673259912	0.000283102	0.684847422	0.799235846	8.23E-06	6.30E-05	0.00079694	0.001361661	0.626273575	0.001226242	9.48E-06
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_tolaasii	0.004860264	0.000865154	0.040643395	0.001695095	0.005805094	0.050323508	0.433012935	0.003634347	0.11217976	0.009019229	0.06327384	0.012347704	0.014512248	0.122715628	0.08342141	0.025029976	0.008804812	0.156765455	0.001232669	0.020483062	0.171417615	0.211844508	0.010865136	0.008379829	0.205327905	0.003611494	0.003266752	0.102808511	0.001833919	0.001114024	0.091504491	0.008374229	0.000212512	0.018984877	0.099880526	0.072809019	0.00483756	0.003401901	0.028902183	0.002242849	0.013357639	0.016232739	0.007519461	0.190220264	0.030518359	0.094703613	0.071899965	0.001833971	0.030877812	0.04510679	0.00057169	0.129850423	0.063151441	0.001213673
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus	1.17E-05	4.62E-05	0.909770912	1.20E-05	5.44E-05	0.000958543	0.000593331	0.001434191	0.000595795	1.01E-05	8.20E-05	1.49E-05	0.13649281	0	0	5.00E-05	0.000348705	0.000469358	0	1.38E-05	0.000255656	0.000521785	0.000203721	4.24E-05	0.000442517	2.19E-05	5.75E-06	0.000170213	7.45E-05	2.40E-05	0.000374251	0.917653415	0	9.74E-05	0.001194743	0	5.09E-05	2.27E-05	3.88E-05	6.80E-05	1.55E-05	0.000108274	4.41E-05	0.000264317	0.000169861	0	0.000173671	1.44E-05	0.000189048	0.00079694	0.070588113	0.000216779	0.00030656	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	1.46E-05	4.62E-05	1.87E-05	4.81E-06	9.07E-05	0.000159757	0	2.79E-05	0	2.03E-05	0	5.47E-05	0	0	0.000113242	5.00E-05	0.315055357	0.000871664	3.10E-05	5.54E-05	0.002684392	0.000521785	0.889243515	0.000763731	8.85E-05	6.01E-05	7.48E-05	0.000170213	4.47E-05	3.36E-05	0.000187126	0	1.09E-05	3.25E-05	0.738590203	0.00013421	3.39E-05	5.67E-05	0.000349623	4.85E-05	1.55E-05	4.16E-05	1.47E-05	0.000132159	0	0	0	6.17E-06	0.00031508	0.000159388	2.08E-05	0	0.00030656	4.98E-05
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	0.29697938	0.060431991	0.003299464	1.44E-05	0.000235832	0.003594536	0.009374629	0.061297195	0	0.014807537	0.000163993	0.000268428	0.153373245	0.066268147	0.048995923	0.007144285	0.000130765	0.023534934	0.006247073	0.000276985	0.00357919	0.001043569	0.00047535	0.199630863	0	0.168244442	0.000810937	0.042297872	0.010123827	0.048277584	0.008888473	0.002971501	0.000583046	0.001233206	0	0.006710509	0	1.13E-05	3.88E-05	0.005835291	0.005595418	0.110172738	0.000544462	4.41E-05	0.134246808	0.009119607	0.0012157	0.005366064	0.055391014	0.032355754	0.000374197	0.000433557	0.017780503	0.004456455
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_maltophilia	1.46E-05	0.001200024	5.62E-05	0.728121258	5.44E-05	0.000319514	0.000237332	0.045211917	0.000170227	8.36E-05	2.73E-05	1.49E-05	5.68E-05	8.54E-05	0.000226483	2.50E-05	0.000435882	0.000268204	1.55E-06	1.38E-05	0.116834974	0.000260892	0.000135814	2.12E-05	0	0.000667303	1.15E-05	0.002553191	2.24E-05	1.44E-05	0	0	0	9.74E-05	0.000159299	0	0.000288556	0.000136076	0.068331909	6.80E-05	0.040378027	0.000483068	1.47E-05	8.81E-05	0.000424652	0.000350754	0.000347343	2.06E-05	0.003087781	0	0.500249465	0.000216779	0.011649295	1.42E-05
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_subflava	0.082451844	0.001157388	7.50E-05	0.133143066	0.000235832	0.001038422	0.022190578	0.001861057	0.003915227	7.60E-06	0	0.000412584	0.000113673	0.180614859	7.55E-05	0.00044964	0.010722692	0	0.000113188	2.77E-05	0.002300908	0	0.000339536	0.009992151	8.85E-05	0.122295974	0.00265136	0.078978723	0.021880288	0.010328733	0.024981287	9.00E-05	0.000719272	0.001525281	0.000318598	0.004428936	0.000101843	0.000737078	0.000252506	0.021205119	0	0.131519331	0.000309019	0.000132159	0.063839425	0.000876885	0.000521014	0.001191772	0.31810448	0	0.001798225	0.000216779	0.0309626	1.19E-05
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis	0.082068524	0.074773652	0.004817967	0.012704794	0.000562368	0.000639029	0.00498398	0.016883158	0.000340455	0.006464371	0.001147949	0.00049709	0.15738969	0.002903501	0.000981428	0.006669664	0.003487054	0.019176613	0.001652862	0.000290835	0.015722868	0	0.001222328	0.0598044	0	0.048062772	0.020399947	0.012425532	0.170599155	0.019356171	0.011508234	0.006708388	0.000741068	0.023560719	0.000637196	0.040464367	8.49E-05	0.000612342	1.94E-05	0.225935491	0.001204928	0.000449753	0.017319776	0	0.049882513	0.000175377	0.000694686	0.008268307	0.000693175	0.053235575	0.001049831	0.000216779	0.034947885	0.018001233
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_euvesicatoria	0.001846374	0.000538279	0.006655169	0.0017528	0.001433133	0.011103123	0.10157826	0.001555868	0.008936931	0.001931968	0.005220433	0.0039966	0.012589281	0.065841161	0.029140873	0.007394085	0.005317758	0.055317152	0.001041954	0.010857823	0.102134731	0.09157318	0.011544208	0.00700087	0.04832286	0.006072173	0.001713895	0.077957447	0.001796644	0.001090015	0.021051647	0.014407276	0.0002779	0.007756215	0.031461569	0.043752516	0.008537869	0.001871045	0.003923549	0.003165233	0.004173292	0.011776856	0.006621834	0.06814978	0.033377686	0.064889512	0.015804099	0.001759871	0.017329384	0.018329614	0.001205746	0.135920225	0.028816677	0.000440905
