#NAME	SRR24889296	SRR24889327	SRR24889328	SRR24889329	SRR24889330	SRR24889331	SRR24889332	SRR24889333	SRR29195097	SRR29195098	SRR29195099	SRR29195100	SRR29195101	SRR29195102	SRR29195103	SRR29195104
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_aeruginosa	0.021244857	0.750597066	0.006739049	0.440286014	7.20E-05	0.034248934	0.000219234	0.105477285	0.071000575	0.04020973	0.267151637	0.049127343	0.002394095	0.812664042	0.00426671	0.035348837
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	0.201970503	0.0174855	0.091351554	0.083110037	0.039404966	0.220856621	0.028792751	0.020116025	0.168636625	0.179033994	0.031481249	0.029896574	0.00017734	0.002952756	0.043298342	0.030697674
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus|s__Proteus_mirabilis	0	0	0	0	7.20E-06	2.65E-05	0.637971353	0.475627213	0	0	0	0	0	0.000164042	1.17E-05	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis	0.031518418	0.018594336	0.010108574	0.011867633	0.052538755	0.027229624	0.004457761	0.005876592	0.020561438	0.015660266	0.002383043	0.00258565	1.11E-05	0.001148294	0.334884156	0.000930233
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis	0.149267377	0.036591607	0.00935979	0.021121605	0.02686146	0.005032713	0.024992692	0.067204099	0.045144874	0.050869822	0.003762699	0.012201034	0.000121921	0.012959318	0.058752016	0.001860465
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp._oral_taxon_431	0.190000722	0.01032071	0.03257207	0.022620006	0.015304158	0.001880645	0.011327097	0.005499887	0.054296971	0.046008542	0.008277938	0.005979315	4.43E-05	0.014435696	0.059394945	0.005581395
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_odontolytica	0.022965137	0.0034971	0.033695245	0.0208434	0.014742669	0.005668424	0.005042385	0.002938296	0.028769597	0.032153894	0.067101467	0.183419522	3.33E-05	0	0.000420826	0.002790698
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_influenzae	8.42E-05	0.000255885	0.001871958	0.001173829	0.403846915	0.00156279	0.001096171	0.003616364	0.002995978	0.000937533	0.003010159	0	1.11E-05	0	0.000198723	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_tolaasii	0.001082694	0.005629478	0.00935979	0.053083437	0.006651478	0.004979737	0.000803859	0.002260228	0.023803661	0.001145873	0.173711276	0.047511312	0.000520937	0.013451444	0.013863886	0.055813953
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica	0.048937757	0.004691232	0.01160614	0.001373941	0.010182376	0.037401001	0.002046185	0.001205455	0.052573258	0.089204486	0.01442368	0.076195863	1.11E-05	0	0.002267786	0.000930233
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	0.00344056	0.002388263	0.140022463	0.004087659	0.019882447	0.003258019	0.000511546	0.000301364	0.013215136	0.044897392	0.032233789	0.038623142	2.22E-05	0.000328084	0.003495196	0.002790698
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_subflava	0.000132329	0.000511771	0.057281917	0.02468946	0.079558584	0.03533494	0.005042385	0.001356137	0.040096856	0.000312511	0.003637276	0.000323206	1.11E-05	0	0.037114535	0.001860465
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae	0.062856387	0.014414875	0.004867091	0.008597506	0.00950931	0.002807724	0.005846244	0.039252618	0.013830748	0.013924095	0.001254233	0.004363284	2.22E-05	0.005413386	0.040714937	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Gemella|s__Gemella_sanguinis	4.81E-05	0.002729444	0.01385249	0.007294336	0.03159092	0.03676529	0.00263081	0.001582159	0.018919806	0.04791833	0.021321962	0.016806723	2.22E-05	0.000164042	0.011373998	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_gilardii	0	0	0	2.44E-06	0	0	0	0	0	0	0.000250847	0	0.173993039	0	0	0.001860465
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	0.000120299	0.004350051	0.014226881	0.032098494	0.016013217	0.056313406	0.003873137	0.001431477	0.022038907	0.011979583	0.008277938	0.002424047	2.22E-05	0.000164042	0.000163655	0
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica	0.004102206	0.000597066	0.021340322	0.003833858	0.002382726	0.006251159	0	0.000452046	0.007017976	0.022674398	0.036874451	0.058015514	1.11E-05	0.000492126	0.001016997	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	0.004727763	0.007420676	0.029576937	0.0043439	0.011640086	0.02209096	0.001973107	0.000452046	0.007141098	0.009375326	0.018562649	0.033936652	0.000886702	0.00082021	0.011455825	0
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_jejuni	0.003669129	0.000852951	0.011231748	0.0006223	0.000712658	0.003363971	7.31E-05	0.000226023	0.010301239	0.021077121	0.035996488	0.072317388	1.11E-05	0.000328084	0.000280551	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_taiwanensis	1.20E-05	8.53E-05	0	7.32E-06	0	0.000105952	0	7.53E-05	4.10E-05	0	0	8.08E-05	0.156425262	0.000164042	1.17E-05	0.001860465
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	0.015241922	0.004776527	0.008985399	0.00465383	0.006676673	0.008873467	7.31E-05	0.000602727	0.016498399	0.032709469	0.018060956	0.027149321	3.33E-05	0	0.004664157	0
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	0.017720088	0.004520641	0.006739049	0.004116944	0.006986211	0.029560565	0.007965507	0.004821819	0.02068456	0.020521546	0.008277938	0.011393019	0	0.000492126	0.003904332	0.000930233
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii	0.004414984	0.001023541	0.005615874	0.001908388	0.037947256	0.004052658	0.002411576	0.001431477	0.008741689	0.004930727	0.006898282	0.00105042	7.76E-05	0.000164042	0.046185678	0.001860465
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp._LPB0220	0.003187932	0.005629478	0.01160614	0.002428191	0.010934626	0.016660928	0.001680795	0.001130114	0.005294262	0.010035071	0.01367114	0.021978022	0.001119461	0.000656168	0.013326164	0.001860465
d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra	0.000120299	0	0.025833021	0.00428045	0.000719857	0.015733849	0.00862321	0.044978528	0.009193138	0.003368173	0.001755926	0.002908856	1.11E-05	0	0	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp._A12	0.004282655	0.000767656	0.016098839	0.003331137	0.011049803	0.051042301	0	0.004219091	0.006402364	0.00739609	0.001755926	0.00210084	3.33E-05	0.000164042	0.004114745	0.001860465
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp._HSISM1	0.003861608	0.00733538	0.008236615	0.00241843	0.01086624	0.016263608	0.001680795	0.000753409	0.005089059	0.008541963	0.013044024	0.0208468	0.000953204	0.000328084	0.012309167	0.001860465
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_mucosa	1.20E-05	0	0.007487832	0.024928618	0.000914218	0.000238392	0.059193218	0.014314774	0.00307806	0.00111115	0.000501693	0	1.11E-05	0	0.000409137	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_euvesicatoria	0.001215023	0.000597066	0.009734182	0.000905386	0.002382726	0.001271422	0.000950015	0.001130114	0.001682673	0.001284767	0.006898282	0.001535229	0.000332513	0.008366142	0.003074369	0.069767442
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis	0.002766884	0.001108837	0.01385249	0.004553774	0.014717474	0.011336847	0.018196434	0.004219091	0.0082492	0.006354387	0.010284711	0.000484809	2.22E-05	0.000164042	0.010976551	0.00372093
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_pauculus	0	0	0	1.22E-05	0	0	0	0	4.10E-05	0	0	0	0.109263816	0	0	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	0.008998388	0.003155919	0.006739049	0.003030969	0.009365338	0.015972241	0.001315405	0.003239659	0.011081015	0.012396264	0.00188135	0.001858436	4.43E-05	0.000492126	0.026851051	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp._ChDC_B345	0.025732021	0.005714773	0.003369525	0.004397589	0.004308344	0.001642254	0.007600117	0.009342274	0.005499466	0.005729366	0.00112881	0.005090498	1.11E-05	0.002132546	0.007130667	0
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum	4.81E-05	0.00034118	0.009734182	0.002189033	0.000784644	0.016925807	0.007161649	0.018157161	0.008167118	0.013854648	0.002508466	0.001777634	1.11E-05	0	2.34E-05	0.000930233
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Gemella|s__Gemella_haemolysans	0.000409018	0.015267827	0	0.003484882	0.007385732	0.000317856	0.001169249	0.001732841	0.030206025	0.014410223	0.000877963	0.001858436	1.11E-05	0.000492126	0.000116896	0.001860465
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_basilensis	0	0	0	4.88E-06	7.20E-06	0	0.000146156	0	0	3.47E-05	0	0	0.069184899	0	2.34E-05	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp._116-D4	0.020462912	0.003241215	0.003743916	0.003511726	0.003052193	0.000768151	0.001973107	0.007157387	0.00619716	0.005139067	0.00075254	0.001454428	0	0.000656168	0.008697075	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_necator	0	0	0.000374392	1.22E-05	0	2.65E-05	0	0	0	0	0.000125423	0.000242405	0.064529716	0	0	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp._NPS_308	0.006363833	0.002302968	0.005241483	0.002176831	0.005319742	0.00246338	0.001096171	0.000904091	0.003570549	0.003264002	0.001003386	0.000404008	0	0.001148294	0.024068922	0.001860465
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_oxalaticus	2.41E-05	0	0	1.95E-05	3.60E-06	0	0	7.53E-05	4.10E-05	3.47E-05	0	8.08E-05	0.060727982	0	0	0
